SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 06",1594650,OH,MEDINA COUNTY,2020,June,Not Adj,Ohio,"86,300","97,000","10,800",11.10%
"2020, 06",1594656,OH,MEIGS COUNTY,2020,June,Not Adj,Ohio,"7,900","9,000","1,000",11.60%
"2020, 06",1594662,OH,MERCER COUNTY,2020,June,Not Adj,Ohio,"21,900","23,700","1,900",7.90%
"2020, 06",1594668,OH,MIAMI COUNTY,2020,June,Not Adj,Ohio,"49,100","54,100","5,000",9.20%
"2020, 06",1594674,OH,MONROE COUNTY,2020,June,Not Adj,Ohio,"4,600","5,400",700,13.50%
"2020, 06",1594680,OH,MONTGOMERY COUNTY,2020,June,Not Adj,Ohio,"228,000","257,900","29,900",11.60%
"2020, 06",1594686,OH,MORGAN COUNTY,2020,June,Not Adj,Ohio,"6,000","6,700",700,11.10%
"2020, 06",1594692,OH,MORROW COUNTY,2020,June,Not Adj,Ohio,"15,000","16,500","1,500",8.90%
"2020, 06",1594698,OH,MUSKINGUM COUNTY,2020,June,Not Adj,Ohio,"36,500","40,400","3,900",9.70%
"2020, 06",1594704,OH,NOBLE COUNTY,2020,June,Not Adj,Ohio,"4,300","4,800",500,10.80%
"2020, 06",1594710,OH,OTTAWA COUNTY,2020,June,Not Adj,Ohio,"18,600","20,800","2,200",10.60%
"2020, 06",1594716,OH,PAULDING COUNTY,2020,June,Not Adj,Ohio,"7,900","8,700",800,9.50%
"2020, 06",1594722,OH,PERRY COUNTY,2020,June,Not Adj,Ohio,"14,100","15,700","1,700",10.60%
"2020, 06",1594728,OH,PICKAWAY COUNTY,2020,June,Not Adj,Ohio,"23,700","26,000","2,400",9.10%
"2020, 06",1594734,OH,PIKE COUNTY,2020,June,Not Adj,Ohio,"9,700","11,100","1,300",12.00%
"2020, 06",1594740,OH,PORTAGE COUNTY,2020,June,Not Adj,Ohio,"76,300","84,500","8,300",9.80%
"2020, 06",1594746,OH,PREBLE COUNTY,2020,June,Not Adj,Ohio,"19,200","21,200","1,900",9.00%
"2020, 06",1594752,OH,PUTNAM COUNTY,2020,June,Not Adj,Ohio,"17,600","19,000","1,400",7.20%
"2020, 06",1594758,OH,RICHLAND COUNTY,2020,June,Not Adj,Ohio,"47,000","53,000","6,000",11.30%
"2020, 06",1594764,OH,ROSS COUNTY,2020,June,Not Adj,Ohio,"32,400","36,200","3,700",10.30%
"2020, 06",1594770,OH,SANDUSKY COUNTY,2020,June,Not Adj,Ohio,"28,000","31,100","3,100",10.00%
"2020, 06",1594776,OH,SCIOTO COUNTY,2020,June,Not Adj,Ohio,"26,500","29,800","3,200",10.80%
"2020, 06",1594782,OH,SENECA COUNTY,2020,June,Not Adj,Ohio,"25,600","28,400","2,800",9.90%
"2020, 06",1594788,OH,SHELBY COUNTY,2020,June,Not Adj,Ohio,"22,200","24,700","2,500",10.10%
"2020, 06",1594794,OH,STARK COUNTY,2020,June,Not Adj,Ohio,"164,900","184,800","19,900",10.80%
"2020, 06",1594800,OH,SUMMIT COUNTY,2020,June,Not Adj,Ohio,"237,600","268,400","30,800",11.50%
"2020, 06",1594806,OH,TRUMBULL COUNTY,2020,June,Not Adj,Ohio,"74,300","85,900","11,700",13.60%
"2020, 06",1594812,OH,TUSCARAWAS COUNTY,2020,June,Not Adj,Ohio,"41,600","45,900","4,300",9.30%
"2020, 06",1594818,OH,UNION COUNTY,2020,June,Not Adj,Ohio,"26,200","28,200","2,100",7.30%
"2020, 06",1594824,OH,VAN WERT COUNTY,2020,June,Not Adj,Ohio,"13,500","15,500","2,000",12.90%
"2020, 06",1594830,OH,VINTON COUNTY,2020,June,Not Adj,Ohio,"5,000","5,700",600,11.30%
"2020, 06",1594836,OH,WARREN COUNTY,2020,June,Not Adj,Ohio,"108,900","119,400","10,500",8.80%
"2020, 06",1594842,OH,WASHINGTON COUNTY,2020,June,Not Adj,Ohio,"25,400","28,300","3,000",10.40%
"2020, 06",1594848,OH,WAYNE COUNTY,2020,June,Not Adj,Ohio,"57,700","62,600","4,900",7.80%
"2020, 06",1594854,OH,WILLIAMS COUNTY,2020,June,Not Adj,Ohio,"17,800","19,600","1,800",9.00%
"2020, 06",1594860,OH,WOOD COUNTY,2020,June,Not Adj,Ohio,"63,100","69,700","6,600",9.50%
"2020, 06",1594866,OH,WYANDOT COUNTY,2020,June,Not Adj,Ohio,"12,500","13,500","1,000",7.70%
"2020, 06",1594878,OH,Akron City,2020,June,Not Adj,Ohio,"78,900","91,700","12,800",14.00%
"2020, 06",1594884,OH,Athens,2020,June,Not Adj,Ohio,"9,400","10,300",900,9.00%
"2020, 06",1594890,OH,Barberton City,2020,June,Not Adj,Ohio,"10,900","12,500","1,600",12.70%
"2020, 06",1594896,OH,Beavercreek City,2020,June,Not Adj,Ohio,"21,700","23,500","1,800",7.60%
"2020, 06",1594902,OH,Bowling Green City,2020,June,Not Adj,Ohio,"15,000","16,500","1,500",8.90%
"2020, 06",1594908,OH,Brunswick City,2020,June,Not Adj,Ohio,"17,900","20,300","2,400",11.70%
"2020, 06",1594914,OH,Canton City,2020,June,Not Adj,Ohio,"27,500","31,600","4,200",13.20%
"2020, 06",1594920,OH,Cincinnati City,2020,June,Not Adj,Ohio,"133,600","153,300","19,600",12.80%
"2020, 06",1594926,OH,Cleveland City,2020,June,Not Adj,Ohio,"137,700","170,800","33,100",19.40%
"2020, 06",1594932,OH,Cleveland Heights City,2020,June,Not Adj,Ohio,"20,200","23,400","3,200",13.60%
"2020, 06",1594938,OH,Columbus City,2020,June,Not Adj,Ohio,"427,100","481,600","54,500",11.30%
"2020, 06",1594944,OH,Cuyahoga Falls City,2020,June,Not Adj,Ohio,"23,200","26,100","2,800",10.80%
"2020, 06",1594950,OH,Dayton City,2020,June,Not Adj,Ohio,"52,600","61,600","9,000",14.60%
"2020, 06",1594956,OH,Delaware City,2020,June,Not Adj,Ohio,"19,400","21,400","2,000",9.20%
"2020, 06",1594962,OH,Dublin City,2020,June,Not Adj,Ohio,"23,900","25,800","1,800",7.10%
"2020, 06",1594968,OH,Elyria City,2020,June,Not Adj,Ohio,"23,800","28,000","4,200",14.90%
"2020, 06",1594974,OH,Euclid City,2020,June,Not Adj,Ohio,"19,600","24,100","4,500",18.70%
"2020, 06",1594980,OH,Fairborn City,2020,June,Not Adj,Ohio,"15,500","17,300","1,800",10.30%
"2020, 06",1594986,OH,Fairfield City,2020,June,Not Adj,Ohio,"22,300","24,900","2,600",10.40%
"2020, 06",1594992,OH,Findlay City,2020,June,Not Adj,Ohio,"20,500","22,900","2,400",10.30%
"2020, 06",1594998,OH,Gahanna City,2020,June,Not Adj,Ohio,"18,500","20,300","1,900",9.20%
"2020, 06",1595004,OH,Garfield Heights City,2020,June,Not Adj,Ohio,"11,900","14,600","2,700",18.40%
"2020, 06",1595010,OH,Green,2020,June,Not Adj,Ohio,"12,200","13,500","1,300",9.70%
"2020, 06",1595016,OH,Grove City,2020,June,Not Adj,Ohio,"20,300","22,300","2,000",8.80%
"2020, 06",1595022,OH,Hamilton City,2020,June,Not Adj,Ohio,"25,500","28,800","3,300",11.30%
"2020, 06",1595028,OH,Hilliard City,2020,June,Not Adj,Ohio,"18,000","19,400","1,500",7.50%
"2020, 06",1595034,OH,Huber Heights City,2020,June,Not Adj,Ohio,"16,500","18,800","2,300",12.00%
"2020, 06",1595040,OH,Kent City,2020,June,Not Adj,Ohio,"14,600","15,900","1,400",8.60%
"2020, 06",1595046,OH,Kettering City,2020,June,Not Adj,Ohio,"26,400","29,500","3,000",10.30%
"2020, 06",1595052,OH,Lakewood City,2020,June,Not Adj,Ohio,"26,600","31,000","4,400",14.30%
"2020, 06",1595058,OH,Lancaster City,2020,June,Not Adj,Ohio,"16,300","18,200","1,900",10.50%
"2020, 06",1595064,OH,Lima City,2020,June,Not Adj,Ohio,"12,900","15,100","2,200",14.30%
"2020, 06",1595070,OH,Lorain City,2020,June,Not Adj,Ohio,"23,800","28,900","5,100",17.80%
"2020, 06",1595076,OH,Mansfield City,2020,June,Not Adj,Ohio,"15,500","18,000","2,500",14.00%
"2020, 06",1595082,OH,Maple Heights City,2020,June,Not Adj,Ohio,"8,800","11,000","2,200",20.30%
"2020, 06",1595088,OH,Marion City,2020,June,Not Adj,Ohio,"12,600","14,200","1,600",11.20%
"2020, 06",1595094,OH,Mason City,2020,June,Not Adj,Ohio,"15,900","17,500","1,500",8.80%
"2020, 06",1595100,OH,Massillon City,2020,June,Not Adj,Ohio,"13,600","15,400","1,800",11.50%
"2020, 06",1595106,OH,Medina City,2020,June,Not Adj,Ohio,"11,700","13,500","1,800",13.20%
"2020, 06",1595112,OH,Mentor City,2020,June,Not Adj,Ohio,"23,700","26,700","2,900",11.00%
"2020, 06",1595118,OH,Middletown City,2020,June,Not Adj,Ohio,"19,000","22,100","3,100",13.90%
"2020, 06",1595124,OH,Newark City,2020,June,Not Adj,Ohio,"21,700","24,300","2,600",10.60%
"2020, 06",1595130,OH,North Olmsted City,2020,June,Not Adj,Ohio,"15,400","17,700","2,300",13.10%
"2020, 06",1595136,OH,North Ridgeville,2020,June,Not Adj,Ohio,"16,100","18,200","2,100",11.50%
"2020, 06",1595142,OH,North Royalton,2020,June,Not Adj,Ohio,"15,500","17,500","2,000",11.30%
"2020, 06",1595148,OH,Parma City,2020,June,Not Adj,Ohio,"37,000","43,500","6,400",14.80%
"2020, 06",1595154,OH,Reynoldsburg City,2020,June,Not Adj,Ohio,"19,100","21,500","2,400",11.20%
"2020, 06",1595160,OH,Riverside City,2020,June,Not Adj,Ohio,"9,800","11,100","1,300",12.10%
"2020, 06",1595166,OH,Sandusky City,2020,June,Not Adj,Ohio,"10,300","12,500","2,100",17.00%
"2020, 06",1595172,OH,Shaker Heights City,2020,June,Not Adj,Ohio,"12,600","14,200","1,600",11.60%
"2020, 06",1595178,OH,South Euclid City,2020,June,Not Adj,Ohio,"10,800","12,600","1,800",14.10%
"2020, 06",1595184,OH,Springfield City,2020,June,Not Adj,Ohio,"23,100","26,300","3,200",12.20%
"2020, 06",1595190,OH,Stow City,2020,June,Not Adj,Ohio,"16,400","18,100","1,700",9.40%
"2020, 06",1595196,OH,Strongsville City,2020,June,Not Adj,Ohio,"21,900","24,600","2,700",11.10%
"2020, 06",1595202,OH,Toledo City,2020,June,Not Adj,Ohio,"111,800","132,500","20,700",15.60%
"2020, 06",1595208,OH,Trotwood City,2020,June,Not Adj,Ohio,"9,600","11,200","1,600",14.30%
"2020, 06",1595214,OH,Troy,2020,June,Not Adj,Ohio,"12,600","14,000","1,400",9.70%
"2020, 06",1595220,OH,Upper Arlington City,2020,June,Not Adj,Ohio,"16,800","18,100","1,300",6.90%
"2020, 06",1595226,OH,Warren City,2020,June,Not Adj,Ohio,"11,500","13,800","2,300",16.90%
"2020, 06",1595232,OH,Westerville City,2020,June,Not Adj,Ohio,"20,500","22,400","1,900",8.60%
"2020, 06",1595238,OH,Westlake City,2020,June,Not Adj,Ohio,"15,200","17,100","1,900",11.10%
"2020, 06",1595244,OH,Wooster City,2020,June,Not Adj,Ohio,"13,100","14,500","1,300",9.30%
"2020, 06",1595250,OH,Xenia City,2020,June,Not Adj,Ohio,"10,400","11,800","1,400",11.60%
"2020, 06",1595256,OH,Youngstown City,2020,June,Not Adj,Ohio,"19,100","22,800","3,700",16.30%
"2020, 06",1595262,OH,Zanesville City,2020,June,Not Adj,Ohio,"9,000","10,200","1,200",11.90%
"2020, 05",1594335,OH,Ohio,2020,May,Not Adj,Ohio,"4,981,788","5,759,306","777,518",13.50%
"2020, 05",1594343,OH,ADAMS COUNTY,2020,May,Not Adj,Ohio,"9,300","10,600","1,300",12.60%
"2020, 05",1594349,OH,ALLEN COUNTY,2020,May,Not Adj,Ohio,"41,300","48,700","7,400",15.20%
"2020, 05",1594355,OH,ASHLAND COUNTY,2020,May,Not Adj,Ohio,"23,700","26,300","2,500",9.70%
"2020, 05",1594361,OH,ASHTABULA COUNTY,2020,May,Not Adj,Ohio,"37,800","43,200","5,400",12.40%
"2020, 05",1594367,OH,ATHENS COUNTY,2020,May,Not Adj,Ohio,"24,400","26,900","2,500",9.10%
"2020, 05",1594373,OH,AUGLAIZE COUNTY,2020,May,Not Adj,Ohio,"22,200","25,200","3,000",11.80%
"2020, 05",1594379,OH,BELMONT COUNTY,2020,May,Not Adj,Ohio,"24,900","29,400","4,500",15.30%
"2020, 05",1594385,OH,BROWN COUNTY,2020,May,Not Adj,Ohio,"16,900","19,200","2,400",12.30%
"2020, 05",1594391,OH,BUTLER COUNTY,2020,May,Not Adj,Ohio,"169,600","192,500","22,900",11.90%
"2020, 05",1594397,OH,CARROLL COUNTY,2020,May,Not Adj,Ohio,"11,100","12,800","1,700",13.20%
"2020, 05",1594403,OH,CHAMPAIGN COUNTY,2020,May,Not Adj,Ohio,"17,400","19,600","2,200",11.10%
"2020, 05",1594409,OH,CLARK COUNTY,2020,May,Not Adj,Ohio,"55,900","63,900","8,000",12.50%
"2020, 05",1594415,OH,CLERMONT COUNTY,2020,May,Not Adj,Ohio,"92,900","104,600","11,700",11.20%
"2020, 05",1594421,OH,CLINTON COUNTY,2020,May,Not Adj,Ohio,"15,500","17,900","2,300",13.00%
"2020, 05",1594427,OH,COLUMBIANA COUNTY,2020,May,Not Adj,Ohio,"39,900","47,300","7,400",15.60%
"2020, 05",1594433,OH,COSHOCTON COUNTY,2020,May,Not Adj,Ohio,"12,100","14,000","1,800",13.00%
"2020, 05",1594439,OH,CRAWFORD COUNTY,2020,May,Not Adj,Ohio,"14,900","18,300","3,400",18.60%
"2020, 05",1594445,OH,CUYAHOGA COUNTY,2020,May,Not Adj,Ohio,"508,100","620,500","112,400",18.10%
"2020, 05",1594451,OH,DARKE COUNTY,2020,May,Not Adj,Ohio,"22,600","25,600","3,000",11.80%
"2020, 05",1594457,OH,DEFIANCE COUNTY,2020,May,Not Adj,Ohio,"15,300","18,300","2,900",16.10%
"2020, 05",1594463,OH,DELAWARE COUNTY,2020,May,Not Adj,Ohio,"97,100","106,000","8,900",8.40%
"2020, 05",1594469,OH,ERIE COUNTY,2020,May,Not Adj,Ohio,"30,000","37,600","7,600",20.20%
"2020, 05",1594475,OH,FAIRFIELD COUNTY,2020,May,Not Adj,Ohio,"68,300","76,200","7,900",10.30%
"2020, 05",1594481,OH,FAYETTE COUNTY,2020,May,Not Adj,Ohio,"12,200","13,900","1,700",12.00%
"2020, 05",1594487,OH,FRANKLIN COUNTY,2020,May,Not Adj,Ohio,"610,800","691,100","80,300",11.60%
"2020, 05",1594493,OH,FULTON COUNTY,2020,May,Not Adj,Ohio,"19,100","22,300","3,200",14.30%
"2020, 05",1594499,OH,GALLIA COUNTY,2020,May,Not Adj,Ohio,"11,200","12,500","1,300",10.40%
"2020, 05",1594505,OH,GEAUGA COUNTY,2020,May,Not Adj,Ohio,"41,300","46,700","5,400",11.70%
"2020, 05",1594511,OH,GREENE COUNTY,2020,May,Not Adj,Ohio,"73,400","81,500","8,000",9.90%
"2020, 05",1594517,OH,GUERNSEY COUNTY,2020,May,Not Adj,Ohio,"16,200","18,500","2,300",12.30%
"2020, 05",1594523,OH,HAMILTON COUNTY,2020,May,Not Adj,Ohio,"361,400","411,600","50,200",12.20%
"2020, 05",1594529,OH,HANCOCK COUNTY,2020,May,Not Adj,Ohio,"37,100","42,700","5,600",13.10%
"2020, 05",1594535,OH,HARDIN COUNTY,2020,May,Not Adj,Ohio,"11,800","13,800","2,000",14.60%
