Congressional District 7,County,F9,geogfips,State,WED,WED_Title,F5,F7,Number of Records,Total,Ucfe,UCX,UI
Calhoun,Calhoun,0,15,Alabama,5/23/20,5/23/20,5093,0,1,15,0,0,639
Chambers,Chambers,0,17,Alabama,5/23/20,5/23/20,1375,0,1,17,0,0,219
Cherokee,Cherokee,0,19,Alabama,5/23/20,5/23/20,564,0,1,19,0,0,61
Chilton,Chilton,0,21,Alabama,5/23/20,5/23/20,1421,0,1,21,0,0,193
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,5/23/20,5/23/20,224,0,1,23,0,0,51
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,5/23/20,5/23/20,781,0,1,25,0,0,129
Clay,Clay,0,27,Alabama,5/23/20,5/23/20,203,0,1,27,0,0,38
Cleburne,Cleburne,0,29,Alabama,5/23/20,5/23/20,220,0,1,29,0,0,39
Coffee,Coffee,0,31,Alabama,5/23/20,5/23/20,1164,0,1,31,0,0,178
Colbert,Colbert,0,33,Alabama,5/23/20,5/23/20,2313,0,1,33,0,0,206
Conecuh,Conecuh,0,35,Alabama,5/23/20,5/23/20,317,0,1,35,0,0,65
Coosa,Coosa,0,37,Alabama,5/23/20,5/23/20,358,0,1,37,0,0,29
Covington,Covington,0,39,Alabama,5/23/20,5/23/20,788,0,1,39,0,0,133
Crenshaw,Crenshaw,0,41,Alabama,5/23/20,5/23/20,486,0,1,41,0,0,55
Cullman,Cullman,0,43,Alabama,5/23/20,5/23/20,2546,0,1,43,0,0,292
Dale,Dale,0,45,Alabama,5/23/20,5/23/20,1137,0,1,45,0,0,182
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,5/23/20,5/23/20,2339,0,1,47,0,0,329
DeKalb,DeKalb,0,49,Alabama,5/23/20,5/23/20,1770,0,1,49,0,0,253
Elmore,Elmore,0,51,Alabama,5/23/20,5/23/20,2753,0,1,51,0,0,395
Escambia,Escambia,0,53,Alabama,5/23/20,5/23/20,856,0,1,53,0,0,207
Etowah,Etowah,0,55,Alabama,5/23/20,5/23/20,4467,0,1,55,0,0,542
Fayette,Fayette,0,57,Alabama,5/23/20,5/23/20,349,0,1,57,0,0,89
Franklin,Franklin,0,59,Alabama,5/23/20,5/23/20,772,0,1,59,0,0,125
Geneva,Geneva,0,61,Alabama,5/23/20,5/23/20,453,0,1,61,0,0,81
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,5/23/20,5/23/20,421,0,1,63,0,0,84
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,5/23/20,5/23/20,1018,0,1,65,0,0,208
Henry,Henry,0,67,Alabama,5/23/20,5/23/20,333,0,1,67,0,0,60
Houston,Houston,0,69,Alabama,5/23/20,5/23/20,2982,0,1,69,0,0,503
Jackson,Jackson,0,71,Alabama,5/23/20,5/23/20,1599,0,1,71,0,0,171
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,5/23/20,5/23/20,28812,0,1,73,0,0,4221
Lamar,Lamar,0,75,Alabama,5/23/20,5/23/20,279,0,1,75,0,0,118
Lauderdale,Lauderdale,0,77,Alabama,5/23/20,5/23/20,3650,0,1,77,0,0,295
Lawrence,Lawrence,0,79,Alabama,5/23/20,5/23/20,702,0,1,79,0,0,103
Lee,Lee,0,81,Alabama,5/23/20,5/23/20,5358,0,1,81,0,0,606
Limestone,Limestone,0,83,Alabama,5/23/20,5/23/20,2074,0,1,83,0,0,229
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,5/23/20,5/23/20,676,0,1,85,0,0,80
Macon,Macon,0,87,Alabama,5/23/20,5/23/20,840,0,1,87,0,0,120
Madison,Madison,0,89,Alabama,5/23/20,5/23/20,12850,0,1,89,0,0,1564
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,5/23/20,5/23/20,436,0,1,91,0,0,91
Marion,Marion,0,93,Alabama,5/23/20,5/23/20,625,0,1,93,0,0,144
Marshall,Marshall,0,95,Alabama,5/23/20,5/23/20,2852,0,1,95,0,0,569
Mobile,Mobile,0,97,Alabama,5/23/20,5/23/20,17828,0,1,97,0,0,3167
Monroe,Monroe,0,99,Alabama,5/23/20,5/23/20,559,0,1,99,0,0,127
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,5/23/20,5/23/20,12596,0,1,101,0,0,1891
Morgan,Morgan,0,103,Alabama,5/23/20,5/23/20,3965,0,1,103,0,0,516
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,5/23/20,5/23/20,431,0,1,105,0,0,99
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,5/23/20,5/23/20,633,0,1,107,0,0,155
Pike,Pike,0,109,Alabama,5/23/20,5/23/20,824,0,1,109,0,0,164
Randolph,Randolph,0,111,Alabama,5/23/20,5/23/20,382,0,1,111,0,0,77
Russell,Russell,0,113,Alabama,5/23/20,5/23/20,879,0,1,113,0,0,264
St. Clair,St. Clair,0,115,Alabama,5/23/20,5/23/20,2752,0,1,115,0,0,361
Shelby,Shelby,0,117,Alabama,5/23/20,5/23/20,4593,0,1,117,0,0,583
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,5/23/20,5/23/20,329,0,1,119,0,0,81
Talladega,Talladega,0,121,Alabama,5/23/20,5/23/20,3685,0,1,121,0,0,431
Tallapoosa,Tallapoosa,0,123,Alabama,5/23/20,5/23/20,1534,0,1,123,0,0,185
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,5/23/20,5/23/20,10527,0,1,125,0,0,2272
Walker,Walker,0,127,Alabama,5/23/20,5/23/20,2094,0,1,127,0,0,312
Washington,Washington,0,129,Alabama,5/23/20,5/23/20,562,0,1,129,0,0,114
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,5/23/20,5/23/20,451,0,1,131,0,0,62
Winston,Winston,0,133,Alabama,5/23/20,5/23/20,576,0,1,133,0,0,159
INA,INA,0,,Alabama,5/23/20,5/23/20,8733,0,1,,0,0,1441
Total,Total,0,,Alabama,5/23/20,5/23/20,185765,0,1,,0,0,27919
Autauga,Autauga,0,1,Alabama,5/16/20,5/16/20,1925,0,1,1,0,0,266
Baldwin,Baldwin,0,3,Alabama,5/16/20,5/16/20,9198,0,1,3,0,0,811
Barbour,Barbour,0,5,Alabama,5/16/20,5/16/20,481,0,1,5,0,0,110
Bibb,Bibb,0,7,Alabama,5/16/20,5/16/20,953,0,1,7,0,0,134
Blount,Blount,0,9,Alabama,5/16/20,5/16/20,1040,0,1,9,0,0,160
Bullock,Bullock,0,11,Alabama,5/16/20,5/16/20,269,0,1,11,0,0,48
Butler,Butler,0,13,Alabama,5/16/20,5/16/20,1188,0,1,13,0,0,119
Calhoun,Calhoun,0,15,Alabama,5/16/20,5/16/20,7084,0,1,15,0,0,569
Chambers,Chambers,0,17,Alabama,5/16/20,5/16/20,1413,0,1,17,0,0,201
Cherokee,Cherokee,0,19,Alabama,5/16/20,5/16/20,629,0,1,19,0,0,54
Chilton,Chilton,0,21,Alabama,5/16/20,5/16/20,1458,0,1,21,0,0,169
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,5/16/20,5/16/20,226,0,1,23,0,0,58
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,5/16/20,5/16/20,749,0,1,25,0,0,132
Clay,Clay,0,27,Alabama,5/16/20,5/16/20,336,0,1,27,0,0,26
Cleburne,Cleburne,0,29,Alabama,5/16/20,5/16/20,329,0,1,29,0,0,21
Coffee,Coffee,0,31,Alabama,5/16/20,5/16/20,1243,0,1,31,0,0,154
Colbert,Colbert,0,33,Alabama,5/16/20,5/16/20,2481,0,1,33,0,0,239
Conecuh,Conecuh,0,35,Alabama,5/16/20,5/16/20,323,0,1,35,0,0,65
Coosa,Coosa,0,37,Alabama,5/16/20,5/16/20,482,0,1,37,0,0,44
Covington,Covington,0,39,Alabama,5/16/20,5/16/20,826,0,1,39,0,0,143
Crenshaw,Crenshaw,0,41,Alabama,5/16/20,5/16/20,469,0,1,41,0,0,43
Cullman,Cullman,0,43,Alabama,5/16/20,5/16/20,2800,0,1,43,0,0,285
Dale,Dale,0,45,Alabama,5/16/20,5/16/20,1182,0,1,45,0,0,193
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,5/16/20,5/16/20,2180,0,1,47,0,0,291
DeKalb,DeKalb,0,49,Alabama,5/16/20,5/16/20,1986,0,1,49,0,0,226
Elmore,Elmore,0,51,Alabama,5/16/20,5/16/20,2739,0,1,51,0,0,364
Escambia,Escambia,0,53,Alabama,5/16/20,5/16/20,857,0,1,53,0,0,142
Etowah,Etowah,0,55,Alabama,5/16/20,5/16/20,5406,0,1,55,0,0,462
Fayette,Fayette,0,57,Alabama,5/16/20,5/16/20,333,0,1,57,0,0,42
Franklin,Franklin,0,59,Alabama,5/16/20,5/16/20,824,0,1,59,0,0,120
Geneva,Geneva,0,61,Alabama,5/16/20,5/16/20,495,0,1,61,0,0,67
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,5/16/20,5/16/20,449,0,1,63,0,0,72
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,5/16/20,5/16/20,981,0,1,65,0,0,147
Henry,Henry,0,67,Alabama,5/16/20,5/16/20,338,0,1,67,0,0,55
Houston,Houston,0,69,Alabama,5/16/20,5/16/20,3176,0,1,69,0,0,449
Jackson,Jackson,0,71,Alabama,5/16/20,5/16/20,1695,0,1,71,0,0,168
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,5/16/20,5/16/20,30333,0,1,73,0,0,3715
Lamar,Lamar,0,75,Alabama,5/16/20,5/16/20,230,0,1,75,0,0,43
Lauderdale,Lauderdale,0,77,Alabama,5/16/20,5/16/20,4015,0,1,77,0,0,417
Lawrence,Lawrence,0,79,Alabama,5/16/20,5/16/20,741,0,1,79,0,0,103
Lee,Lee,0,81,Alabama,5/16/20,5/16/20,5548,0,1,81,0,0,611
Limestone,Limestone,0,83,Alabama,5/16/20,5/16/20,2279,0,1,83,0,0,295
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,5/16/20,5/16/20,658,0,1,85,0,0,72
Macon,Macon,0,87,Alabama,5/16/20,5/16/20,800,0,1,87,0,0,99
Madison,Madison,0,89,Alabama,5/16/20,5/16/20,13822,0,1,89,0,0,1606
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,5/16/20,5/16/20,437,0,1,91,0,0,71
Marion,Marion,0,93,Alabama,5/16/20,5/16/20,627,0,1,93,0,0,141
Marshall,Marshall,0,95,Alabama,5/16/20,5/16/20,3463,0,1,95,0,0,348
Mobile,Mobile,0,97,Alabama,5/16/20,5/16/20,18466,0,1,97,0,0,3000
Monroe,Monroe,0,99,Alabama,5/16/20,5/16/20,593,0,1,99,0,0,101
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,5/16/20,5/16/20,12055,0,1,101,0,0,1596
Morgan,Morgan,0,103,Alabama,5/16/20,5/16/20,4243,0,1,103,0,0,495
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,5/16/20,5/16/20,415,0,1,105,0,0,70
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,5/16/20,5/16/20,647,0,1,107,0,0,96
Pike,Pike,0,109,Alabama,5/16/20,5/16/20,820,0,1,109,0,0,139
Randolph,Randolph,0,111,Alabama,5/16/20,5/16/20,503,0,1,111,0,0,73
Russell,Russell,0,113,Alabama,5/16/20,5/16/20,889,0,1,113,0,0,224
St. Clair,St. Clair,0,115,Alabama,5/16/20,5/16/20,3640,0,1,115,0,0,315
Shelby,Shelby,0,117,Alabama,5/16/20,5/16/20,5027,0,1,117,0,0,508
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,5/16/20,5/16/20,325,0,1,119,0,0,68
Talladega,Talladega,0,121,Alabama,5/16/20,5/16/20,5276,0,1,121,0,0,397
Tallapoosa,Tallapoosa,0,123,Alabama,5/16/20,5/16/20,1892,0,1,123,0,0,174
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,5/16/20,5/16/20,10792,0,1,125,0,0,1587
Walker,Walker,0,127,Alabama,5/16/20,5/16/20,2254,0,1,127,0,0,270
Washington,Washington,0,129,Alabama,5/16/20,5/16/20,537,0,1,129,0,0,125
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,5/16/20,5/16/20,427,0,1,131,0,0,79
Winston,Winston,0,133,Alabama,5/16/20,5/16/20,585,0,1,133,0,0,129
INA,INA,0,,Alabama,5/16/20,5/16/20,7941,0,1,,0,0,1534
Total,Total,0,,Alabama,5/16/20,5/16/20,198823,0,1,,0,0,25150
Autauga,Autauga,0,1,Alabama,5/9/20,5/9/20,2180,0,1,1,0,0,265
Baldwin,Baldwin,0,3,Alabama,5/9/20,5/9/20,9966,0,1,3,0,0,922
Barbour,Barbour,0,5,Alabama,5/9/20,5/9/20,471,0,1,5,0,0,119
Bibb,Bibb,0,7,Alabama,5/9/20,5/9/20,1108,0,1,7,0,0,105
Blount,Blount,0,9,Alabama,5/9/20,5/9/20,1107,0,1,9,0,0,137
Bullock,Bullock,0,11,Alabama,5/9/20,5/9/20,290,0,1,11,0,0,53
Butler,Butler,0,13,Alabama,5/9/20,5/9/20,1274,0,1,13,0,0,128
Calhoun,Calhoun,0,15,Alabama,5/9/20,5/9/20,7256,0,1,15,0,0,606
Chambers,Chambers,0,17,Alabama,5/9/20,5/9/20,1532,0,1,17,0,0,228
Cherokee,Cherokee,0,19,Alabama,5/9/20,5/9/20,702,0,1,19,0,0,51
Chilton,Chilton,0,21,Alabama,5/9/20,5/9/20,1537,0,1,21,0,0,169
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,5/9/20,5/9/20,210,0,1,23,0,0,56
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,5/9/20,5/9/20,844,0,1,25,0,0,172
Clay,Clay,0,27,Alabama,5/9/20,5/9/20,337,0,1,27,0,0,29
Cleburne,Cleburne,0,29,Alabama,5/9/20,5/9/20,332,0,1,29,0,0,27
Coffee,Coffee,0,31,Alabama,5/9/20,5/9/20,1336,0,1,31,0,0,190
Colbert,Colbert,0,33,Alabama,5/9/20,5/9/20,2567,0,1,33,0,0,247
Conecuh,Conecuh,0,35,Alabama,5/9/20,5/9/20,362,0,1,35,0,0,54
Coosa,Coosa,0,37,Alabama,5/9/20,5/9/20,494,0,1,37,0,0,43
Covington,Covington,0,39,Alabama,5/9/20,5/9/20,867,0,1,39,0,0,144
Crenshaw,Crenshaw,0,41,Alabama,5/9/20,5/9/20,544,0,1,41,0,0,73
Cullman,Cullman,0,43,Alabama,5/9/20,5/9/20,3024,0,1,43,0,0,341
Dale,Dale,0,45,Alabama,5/9/20,5/9/20,1194,0,1,45,0,0,172
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,5/9/20,5/9/20,2255,0,1,47,0,0,320
DeKalb,DeKalb,0,49,Alabama,5/9/20,5/9/20,2204,0,1,49,0,0,218
Elmore,Elmore,0,51,Alabama,5/9/20,5/9/20,3172,0,1,51,0,0,351
Escambia,Escambia,0,53,Alabama,5/9/20,5/9/20,886,0,1,53,0,0,176
Etowah,Etowah,0,55,Alabama,5/9/20,5/9/20,5759,0,1,55,0,0,500
Fayette,Fayette,0,57,Alabama,5/9/20,5/9/20,389,0,1,57,0,0,85
Franklin,Franklin,0,59,Alabama,5/9/20,5/9/20,857,0,1,59,0,0,124
Geneva,Geneva,0,61,Alabama,5/9/20,5/9/20,544,0,1,61,0,0,76
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,5/9/20,5/9/20,473,0,1,63,0,0,49
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,5/9/20,5/9/20,1064,0,1,65,0,0,114
Henry,Henry,0,67,Alabama,5/9/20,5/9/20,360,0,1,67,0,0,43
Houston,Houston,0,69,Alabama,5/9/20,5/9/20,3254,0,1,69,0,0,497
Jackson,Jackson,0,71,Alabama,5/9/20,5/9/20,1862,0,1,71,0,0,251
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,5/9/20,5/9/20,30923,0,1,73,0,0,3920
Lamar,Lamar,0,75,Alabama,5/9/20,5/9/20,245,0,1,75,0,0,42
Lauderdale,Lauderdale,0,77,Alabama,5/9/20,5/9/20,4181,0,1,77,0,0,337
Lawrence,Lawrence,0,79,Alabama,5/9/20,5/9/20,813,0,1,79,0,0,113
Lee,Lee,0,81,Alabama,5/9/20,5/9/20,5843,0,1,81,0,0,652
Limestone,Limestone,0,83,Alabama,5/9/20,5/9/20,2668,0,1,83,0,0,352
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,5/9/20,5/9/20,757,0,1,85,0,0,76
Macon,Macon,0,87,Alabama,5/9/20,5/9/20,820,0,1,87,0,0,107
Madison,Madison,0,89,Alabama,5/9/20,5/9/20,14542,0,1,89,0,0,1916
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,5/9/20,5/9/20,458,0,1,91,0,0,76
Marion,Marion,0,93,Alabama,5/9/20,5/9/20,679,0,1,93,0,0,135
Marshall,Marshall,0,95,Alabama,5/9/20,5/9/20,3819,0,1,95,0,0,404
Mobile,Mobile,0,97,Alabama,5/9/20,5/9/20,18520,0,1,97,0,0,3043
Monroe,Monroe,0,99,Alabama,5/9/20,5/9/20,639,0,1,99,0,0,95
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,5/9/20,5/9/20,12847,0,1,101,0,0,1725
Morgan,Morgan,0,103,Alabama,5/9/20,5/9/20,4649,0,1,103,0,0,612
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,5/9/20,5/9/20,422,0,1,105,0,0,47
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,5/9/20,5/9/20,691,0,1,107,0,0,87
Pike,Pike,0,109,Alabama,5/9/20,5/9/20,887,0,1,109,0,0,137
Randolph,Randolph,0,111,Alabama,5/9/20,5/9/20,417,0,1,111,0,0,60
Russell,Russell,0,113,Alabama,5/9/20,5/9/20,902,0,1,113,0,0,189
St. Clair,St. Clair,0,115,Alabama,5/9/20,5/9/20,3905,0,1,115,0,0,332
Shelby,Shelby,0,117,Alabama,5/9/20,5/9/20,5422,0,1,117,0,0,611
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,5/9/20,5/9/20,336,0,1,119,0,0,59
Talladega,Talladega,0,121,Alabama,5/9/20,5/9/20,5295,0,1,121,0,0,401
Tallapoosa,Tallapoosa,0,123,Alabama,5/9/20,5/9/20,2121,0,1,123,0,0,157
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,5/9/20,5/9/20,11460,0,1,125,0,0,1319
Walker,Walker,0,127,Alabama,5/9/20,5/9/20,2448,0,1,127,0,0,262
Washington,Washington,0,129,Alabama,5/9/20,5/9/20,485,0,1,129,0,0,154
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,5/9/20,5/9/20,443,0,1,131,0,0,79
Winston,Winston,0,999,Alabama,5/9/20,5/9/20,733,0,1,133,0,0,147
INA,INA,0,,Alabama,5/9/20,5/9/20,11273,0,1,,0,0,1885
Total,Total,0,,Alabama,5/9/20,5/9/20,212256,0,1,,0,0,26666
Autauga,Autauga,0,1,Alabama,5/2/20,5/2/20,2090,0,1,1,0,0,314
Baldwin,Baldwin,0,3,Alabama,5/2/20,5/2/20,9779,0,1,3,0,0,1280
Barbour,Barbour,0,5,Alabama,5/2/20,5/2/20,449,0,1,5,0,0,102
Bibb,Bibb,0,7,Alabama,5/2/20,5/2/20,1309,0,1,7,0,0,93
Blount,Blount,0,9,Alabama,5/2/20,5/2/20,1137,0,1,9,0,0,146
Bullock,Bullock,0,11,Alabama,5/2/20,5/2/20,277,0,1,11,0,0,53
Butler,Butler,0,13,Alabama,5/2/20,5/2/20,1343,0,1,13,0,0,132
Calhoun,Calhoun,0,15,Alabama,5/2/20,5/2/20,7169,0,1,15,0,0,735
Chambers,Chambers,0,17,Alabama,5/2/20,5/2/20,1497,0,1,17,0,0,223
Cherokee,Cherokee,0,19,Alabama,5/2/20,5/2/20,576,0,1,19,0,0,70
Chilton,Chilton,0,21,Alabama,5/2/20,5/2/20,1486,0,1,21,0,0,197
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,5/2/20,5/2/20,195,0,1,23,0,0,40
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,5/2/20,5/2/20,655,0,1,25,0,0,134
Clay,Clay,0,27,Alabama,5/2/20,5/2/20,335,0,1,27,0,0,51
Cleburne,Cleburne,0,29,Alabama,5/2/20,5/2/20,335,0,1,29,0,0,33
Coffee,Coffee,0,31,Alabama,5/2/20,5/2/20,1253,0,1,31,0,0,242
Colbert,Colbert,0,33,Alabama,5/2/20,5/2/20,2566,0,1,33,0,0,245
Conecuh,Conecuh,0,35,Alabama,5/2/20,5/2/20,368,0,1,35,0,0,47
Coosa,Coosa,0,37,Alabama,5/2/20,5/2/20,456,0,1,37,0,0,63
Covington,Covington,0,39,Alabama,5/2/20,5/2/20,864,0,1,39,0,0,131
Crenshaw,Crenshaw,0,41,Alabama,5/2/20,5/2/20,650,0,1,41,0,0,62
Cullman,Cullman,0,43,Alabama,5/2/20,5/2/20,3024,0,1,43,0,0,363
Dale,Dale,0,45,Alabama,5/2/20,5/2/20,1159,0,1,45,0,0,195
"Choctaw, Clarke, Dallas and 11 more",Dallas,0,47,Alabama,5/2/20,5/2/20,2204,0,1,47,0,0,295
DeKalb,DeKalb,0,49,Alabama,5/2/20,5/2/20,2147,0,1,49,0,0,230
Elmore,Elmore,0,51,Alabama,5/2/20,5/2/20,3080,0,1,51,0,0,392
Escambia,Escambia,0,53,Alabama,5/2/20,5/2/20,934,0,1,53,0,0,188
Etowah,Etowah,0,55,Alabama,5/2/20,5/2/20,5715,0,1,55,0,0,520
Fayette,Fayette,0,57,Alabama,5/2/20,5/2/20,505,0,1,57,0,0,35
Franklin,Franklin,0,59,Alabama,5/2/20,5/2/20,793,0,1,59,0,0,123
Geneva,Geneva,0,61,Alabama,5/2/20,5/2/20,542,0,1,61,0,0,103
"Choctaw, Clarke, Dallas and 11 more",Greene,0,63,Alabama,5/2/20,5/2/20,521,0,1,63,0,0,46
"Choctaw, Clarke, Dallas and 11 more",Hale,0,65,Alabama,5/2/20,5/2/20,1325,0,1,65,0,0,103
Henry,Henry,0,67,Alabama,5/2/20,5/2/20,368,0,1,67,0,0,69
Houston,Houston,0,69,Alabama,5/2/20,5/2/20,3238,0,1,69,0,0,538
Jackson,Jackson,0,71,Alabama,5/2/20,5/2/20,1815,0,1,71,0,0,229
"Choctaw, Clarke, Dallas and 11 more",Jefferson,0,73,Alabama,5/2/20,5/2/20,30524,0,1,73,0,0,3985
Lamar,Lamar,0,75,Alabama,5/2/20,5/2/20,275,0,1,75,0,0,43
Lauderdale,Lauderdale,0,77,Alabama,5/2/20,5/2/20,4096,0,1,77,0,0,400
Lawrence,Lawrence,0,79,Alabama,5/2/20,5/2/20,765,0,1,79,0,0,110
Lee,Lee,0,81,Alabama,5/2/20,5/2/20,5620,0,1,81,0,0,722
Limestone,Limestone,0,83,Alabama,5/2/20,5/2/20,2679,0,1,83,0,0,310
"Choctaw, Clarke, Dallas and 11 more",Lowndes,0,85,Alabama,5/2/20,5/2/20,694,0,1,85,0,0,83
Macon,Macon,0,87,Alabama,5/2/20,5/2/20,794,0,1,87,0,0,95
Madison,Madison,0,89,Alabama,5/2/20,5/2/20,13943,0,1,89,0,0,1964
"Choctaw, Clarke, Dallas and 11 more",Marengo,0,91,Alabama,5/2/20,5/2/20,479,0,1,91,0,0,66
Marion,Marion,0,93,Alabama,5/2/20,5/2/20,660,0,1,93,0,0,107
Marshall,Marshall,0,95,Alabama,5/2/20,5/2/20,3725,0,1,95,0,0,512
Mobile,Mobile,0,97,Alabama,5/2/20,5/2/20,17517,0,1,97,0,0,3353
Monroe,Monroe,0,99,Alabama,5/2/20,5/2/20,627,0,1,99,0,0,107
"Choctaw, Clarke, Dallas and 11 more",Montgomery,0,101,Alabama,5/2/20,5/2/20,12143,0,1,101,0,0,1665
Morgan,Morgan,0,103,Alabama,5/2/20,5/2/20,4470,0,1,103,0,0,582
"Choctaw, Clarke, Dallas and 11 more",Perry,0,105,Alabama,5/2/20,5/2/20,467,0,1,105,0,0,45
"Choctaw, Clarke, Dallas and 11 more",Pickens,0,107,Alabama,5/2/20,5/2/20,889,0,1,107,0,0,81
Pike,Pike,0,109,Alabama,5/2/20,5/2/20,877,0,1,109,0,0,150
Randolph,Randolph,0,111,Alabama,5/2/20,5/2/20,407,0,1,111,0,0,60
Russell,Russell,0,113,Alabama,5/2/20,5/2/20,852,0,1,113,0,0,221
St. Clair,St. Clair,0,115,Alabama,5/2/20,5/2/20,3864,0,1,115,0,0,403
Shelby,Shelby,0,117,Alabama,5/2/20,5/2/20,5423,0,1,117,0,0,648
"Choctaw, Clarke, Dallas and 11 more",Sumter,0,119,Alabama,5/2/20,5/2/20,370,0,1,119,0,0,47
Talladega,Talladega,0,121,Alabama,5/2/20,5/2/20,5378,0,1,121,0,0,437
Tallapoosa,Tallapoosa,0,123,Alabama,5/2/20,5/2/20,1975,0,1,123,0,0,213
"Choctaw, Clarke, Dallas and 11 more",Tuscaloosa,0,125,Alabama,5/2/20,5/2/20,13834,0,1,125,0,0,1137
Walker,Walker,0,127,Alabama,5/2/20,5/2/20,2425,0,1,127,0,0,283
Washington,Washington,0,129,Alabama,5/2/20,5/2/20,457,0,1,129,0,0,125
"Choctaw, Clarke, Dallas and 11 more",Wilcox,0,131,Alabama,5/2/20,5/2/20,406,0,1,131,0,0,70
Winston,Winston,0,133,Alabama,5/2/20,5/2/20,650,0,1,133,0,0,86
INA,INA,0,999,Alabama,5/2/20,5/2/20,10875,0,1,,0,0,3053
Total,Total,0,,Alabama,5/2/20,5/2/20,210319,0,1,,0,0,28985
Autauga,Autauga,0,1,Alabama,4/25/20,4/25/20,1585,0,1,1,0,0,736
Baldwin,Baldwin,0,3,Alabama,4/25/20,4/25/20,8232,0,1,3,0,0,4099
Barbour,Barbour,0,5,Alabama,4/25/20,4/25/20,338,0,1,5,0,0,208
Bibb,Bibb,0,7,Alabama,4/25/20,4/25/20,973,0,1,7,0,0,312
Blount,Blount,0,9,Alabama,4/25/20,4/25/20,963,0,1,9,0,0,491
Bullock,Bullock,0,11,Alabama,4/25/20,4/25/20,221,0,1,11,0,0,101
Butler,Butler,0,13,Alabama,4/25/20,4/25/20,1071,0,1,13,0,0,262
Calhoun,Calhoun,0,15,Alabama,4/25/20,4/25/20,5832,0,1,15,0,0,2293
Chambers,Chambers,0,17,Alabama,4/25/20,4/25/20,1282,0,1,17,0,0,481
Cherokee,Cherokee,0,19,Alabama,4/25/20,4/25/20,647,0,1,19,0,0,235
Chilton,Chilton,0,21,Alabama,4/25/20,4/25/20,1244,0,1,21,0,0,529
"Choctaw, Clarke, Dallas and 11 more",Choctaw,0,23,Alabama,4/25/20,4/25/20,145,0,1,23,0,0,123
"Choctaw, Clarke, Dallas and 11 more",Clarke,0,25,Alabama,4/25/20,4/25/20,509,0,1,25,0,0,290
Clay,Clay,0,27,Alabama,4/25/20,4/25/20,258,0,1,27,0,0,128
Cleburne,Cleburne,0,29,Alabama,4/25/20,4/25/20,263,0,1,29,0,0,154
