Date,Geo Name,Geo Name County,Type,E,E-OTY#,E-OTY%,LF,LF-OTY#,LF-OTY%,Number of Records,Pmur,Pyur,U,U-Oty#,U-OTY%,UR,Ur-Oty#,UR-OTY%
16-Jun,Ohio,Ohio,State,5485455,28471,0.521735083,5777330,28052,0.487922136,1,4.4,5.1,291875,-419,-0.14334882,5.1,0,0
16-Jul,Ohio,Ohio,State,5506574,37072,0.677794797,5798098,42979,0.746796026,1,5.1,5,291524,5907,2.068154207,5,0,0
16-Aug,Ohio,Ohio,State,5488180,27143,0.497030143,5772246,58360,1.021371445,1,5,4.4,284066,31217,12.3461038,4.9,0.5,11.36363636
16-Sep,Ohio,Ohio,State,5453929,45555,0.842304915,5741031,87526,1.548172328,1,4.9,4.3,287102,41971,17.12186545,5,0.7,16.27906977
16-Oct,Ohio,Ohio,State,5480356,28509,0.522923699,5758834,59843,1.050063073,1,5,4.3,278478,31334,12.67843848,4.8,0.5,11.62790698
16-Nov,Ohio,Ohio,State,5476203,30452,0.559188255,5744555,40504,0.710091828,1,4.8,4.5,268352,10052,3.891598916,4.7,0.2,4.444444444
16-Dec,Ohio,Ohio,State,5429277,7939,0.146439864,5714376,22965,0.403502752,1,4.7,4.7,285099,15026,5.563680931,5,0.3,6.382978723
17-Jan,Ohio,Ohio,State,5358674,15443,0.289019883,5707205,45049,0.795615663,1,5,5.6,348531,29606,9.283060281,6.1,0.5,8.928571429
17-Feb,Ohio,Ohio,State,5406070,17861,0.331483059,5743568,40100,0.703081003,1,6.1,5.5,337498,22239,7.05419988,5.9,0.4,7.272727273
17-Mar,Ohio,Ohio,State,5455213,29011,0.534646517,5759230,26004,0.453566631,1,5.9,5.4,304017,-3007,-0.979402262,5.3,-0.1,-1.851851852
17-Apr,Ohio,Ohio,State,5495473,40535,0.743088189,5761735,30879,0.53882003,1,5.3,4.8,266262,-9656,-3.499590458,4.6,-0.2,-4.166666667
17-May,Ohio,Ohio,State,5511498,28270,0.515572214,5776692,41313,0.72031857,1,4.6,4.4,265194,13043,5.17269414,4.6,0.2,4.545454545
17-Jun,Ohio,Ohio,State,5533886,48431,0.882898502,5836256,58926,1.019952123,1,4.6,5.1,302370,10495,3.595717345,5.2,0.1,1.960784314
17-Jul,Ohio,Ohio,State,5554609,48035,0.872320975,5864866,66768,1.151550043,1,5.2,5,310257,18733,6.425886033,5.3,0.3,6
17-Aug,Ohio,Ohio,State,5532904,44724,0.814914963,5830467,58221,1.008636846,1,5.3,4.9,297563,13497,4.751360599,5.1,0.2,4.081632653
17-Sep,Ohio,Ohio,State,5529534,75605,1.386248336,5800421,59390,1.034483179,1,5.1,5,270887,-16215,-5.647818545,4.7,-0.3,-6
17-Oct,Ohio,Ohio,State,5528810,48454,0.884139643,5780912,22078,0.383376218,1,4.7,4.8,252102,-26376,-9.471484282,4.4,-0.4,-8.333333333
17-Nov,Ohio,Ohio,State,5514732,38529,0.703571434,5766426,21871,0.380725748,1,4.4,4.7,251694,-16658,-6.207518483,4.4,-0.3,-6.382978723
17-Dec,Ohio,Ohio,State,5472684,43407,0.799498718,5732467,18091,0.316587498,1,4.4,5,259783,-25316,-8.879722482,4.5,-0.5,-10
18-Jan,Ohio,Ohio,State,5375750,17076,0.318660922,5669900,-37305,-0.653647451,1,4.5,6.1,294150,-54381,-15.60291624,5.2,-0.9,-14.75409836
