county,month,claims,,,,,,,,,,,,,
Otter Tail County,3/1/20,"2,343",,,,,,,,,,,,,
Pope County,3/1/20,406,,,,,,,,,,,,,
Stevens County,3/1/20,232,,,,,,,,,,,,,
Traverse County,3/1/20,59,,,,,,,,,,,,,
Wilkin County,3/1/20,101,,,,,,,,,,,,,
Cass County,3/1/20,"1,396",,,,,,,,,,,,,
Crow Wing County,3/1/20,"4,004",,,,,,,,,,,,,
Morrison County,3/1/20,"1,373",,,,,,,,,,,,,
Todd County,3/1/20,729,,,,,,,,,,,,,
Wadena County,3/1/20,605,,,,,,,,,,,,,
Kandiyohi County,3/1/20,"1,514",,,,,,,,,,,,,
McLeod County,3/1/20,"1,599",,,,,,,,,,,,,
Meeker County,3/1/20,900,,,,,,,,,,,,,
Renville County,3/1/20,552,,,,,,,,,,,,,
Big Stone County,3/1/20,124,,,,,,,,,,,,,
Chippewa County,3/1/20,455,,,,,,,,,,,,,
Lac qui Parle County,3/1/20,173,,,,,,,,,,,,,
Swift County,3/1/20,277,,,,,,,,,,,,,
Yellow Medicine County,3/1/20,390,,,,,,,,,,,,,
Chisago County,3/1/20,"3,007",,,,,,,,,,,,,
Isanti County,3/1/20,"2,303",,,,,,,,,,,,,
Kanabec County,3/1/20,664,,,,,,,,,,,,,
Mille Lacs County,3/1/20,"1,268",,,,,,,,,,,,,
Pine County,3/1/20,"1,193",,,,,,,,,,,,,
Benton County,3/1/20,"2,240",,,,,,,,,,,,,
Sherburne County,3/1/20,"5,214",,,,,,,,,,,,,
Stearns County,3/1/20,"7,663",,,,,,,,,,,,,
Wright County,3/1/20,"6,943",,,,,,,,,,,,,
Cottonwood County,3/1/20,247,,,,,,,,,,,,,
Jackson County,3/1/20,226,,,,,,,,,,,,,
Lincoln County,3/1/20,102,,,,,,,,,,,,,
Lyon County,3/1/20,850,,,,,,,,,,,,,
Murray County,3/1/20,217,,,,,,,,,,,,,
Nobles County,3/1/20,376,,,,,,,,,,,,,
Pipestone County,3/1/20,183,,,,,,,,,,,,,
Redwood County,3/1/20,785,,,,,,,,,,,,,
Rock County,3/1/20,201,,,,,,,,,,,,,
Blue Earth County,3/1/20,"3,981",,,,,,,,,,,,,
Brown County,3/1/20,"1,129",,,,,,,,,,,,,
Faribault County,3/1/20,495,,,,,,,,,,,,,
