Claim Type1,Parish1,Region,Week Ending,Claims,Number of Records
Initial,St. Mary Parish,RLMA 4 - Lafayette,6/27/20,201,1
Initial,Vermilion Parish,RLMA 4 - Lafayette,6/27/20,204,1
Initial,Acadia Parish,RLMA 4 - Lafayette,7/4/20,318,1
Initial,Evangeline Parish,RLMA 4 - Lafayette,7/4/20,155,1
Initial,Iberia Parish,RLMA 4 - Lafayette,7/4/20,516,1
Initial,Lafayette Parish,RLMA 4 - Lafayette,7/4/20,1417,1
Initial,St. Landry Parish,RLMA 4 - Lafayette,7/4/20,504,1
Initial,St. Martin Parish,RLMA 4 - Lafayette,7/4/20,306,1
Initial,St. Mary Parish,RLMA 4 - Lafayette,7/4/20,279,1
Initial,Vermilion Parish,RLMA 4 - Lafayette,7/4/20,310,1
Initial,Acadia Parish,RLMA 4 - Lafayette,7/11/20,259,1
Initial,Evangeline Parish,RLMA 4 - Lafayette,7/11/20,122,1
Initial,Iberia Parish,RLMA 4 - Lafayette,7/11/20,410,1
Initial,Lafayette Parish,RLMA 4 - Lafayette,7/11/20,1173,1
Initial,St. Landry Parish,RLMA 4 - Lafayette,7/11/20,384,1
Initial,St. Martin Parish,RLMA 4 - Lafayette,7/11/20,269,1
Initial,St. Mary Parish,RLMA 4 - Lafayette,7/11/20,264,1
Initial,Vermilion Parish,RLMA 4 - Lafayette,7/11/20,267,1
Initial,Allen Parish,RLMA 5 - Lake Charles,4/25/20,233,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,4/25/20,267,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,4/25/20,3002,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,4/25/20,39,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,4/25/20,358,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,4/25/20,390,1
Initial,Allen Parish,RLMA 5 - Lake Charles,5/2/20,181,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,5/2/20,255,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,5/2/20,2432,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,5/2/20,43,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,5/2/20,277,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,5/2/20,266,1
Initial,Allen Parish,RLMA 5 - Lake Charles,5/9/20,119,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,5/9/20,195,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,5/9/20,1788,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,5/9/20,44,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,5/9/20,210,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,5/9/20,204,1
Initial,Allen Parish,RLMA 5 - Lake Charles,5/16/20,113,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,5/16/20,153,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,5/16/20,1305,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,5/16/20,20,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,5/16/20,126,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,5/16/20,160,1
Initial,Allen Parish,RLMA 5 - Lake Charles,5/23/20,88,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,5/23/20,98,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,5/23/20,1010,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,5/23/20,14,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,5/23/20,117,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,5/23/20,127,1
Initial,Allen Parish,RLMA 5 - Lake Charles,5/30/20,98,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,5/30/20,107,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,5/30/20,932,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,5/30/20,14,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,5/30/20,153,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,5/30/20,114,1
Initial,Allen Parish,RLMA 5 - Lake Charles,6/6/20,90,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,6/6/20,124,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,6/6/20,1010,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,6/6/20,11,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,6/6/20,107,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,6/6/20,139,1
Initial,Allen Parish,RLMA 5 - Lake Charles,6/13/20,96,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,6/13/20,116,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,6/13/20,995,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,6/13/20,17,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,6/13/20,123,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,6/13/20,142,1
Initial,Allen Parish,RLMA 5 - Lake Charles,6/20/20,73,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,6/20/20,103,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,6/20/20,834,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,6/20/20,10,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,6/20/20,107,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,6/20/20,116,1
Initial,Allen Parish,RLMA 5 - Lake Charles,6/27/20,83,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,6/27/20,128,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,6/27/20,1041,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,6/27/20,9,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,6/27/20,131,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,6/27/20,158,1
Initial,Allen Parish,RLMA 5 - Lake Charles,7/4/20,132,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,7/4/20,162,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,7/4/20,1370,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,7/4/20,21,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,7/4/20,139,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,7/4/20,181,1
Initial,Allen Parish,RLMA 5 - Lake Charles,7/11/20,103,1
Initial,Beauregard Parish,RLMA 5 - Lake Charles,7/11/20,160,1
Initial,Calcasieu Parish,RLMA 5 - Lake Charles,7/11/20,1171,1
Initial,Cameron Parish,RLMA 5 - Lake Charles,7/11/20,17,1
Initial,Jefferson Davis Parish,RLMA 5 - Lake Charles,7/11/20,124,1
Initial,Vernon Parish,RLMA 5 - Lake Charles,7/11/20,158,1
Initial,La Salle Parish,RLMA 6 - Alexandria,4/18/20,339,1
Initial,Rapides Parish,RLMA 6 - Alexandria,4/18/20,1541,1
Initial,Winn Parish,RLMA 6 - Alexandria,4/18/20,126,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,4/25/20,359,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,4/25/20,88,1
Initial,Concordia Parish,RLMA 6 - Alexandria,4/25/20,177,1
Initial,Grant Parish,RLMA 6 - Alexandria,4/25/20,141,1
Initial,La Salle Parish,RLMA 6 - Alexandria,4/25/20,243,1
Initial,Rapides Parish,RLMA 6 - Alexandria,4/25/20,1125,1
Initial,Winn Parish,RLMA 6 - Alexandria,4/25/20,62,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,5/2/20,290,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,5/2/20,69,1
Initial,Concordia Parish,RLMA 6 - Alexandria,5/2/20,125,1
Initial,Grant Parish,RLMA 6 - Alexandria,5/2/20,115,1
Initial,La Salle Parish,RLMA 6 - Alexandria,5/2/20,178,1
Initial,Rapides Parish,RLMA 6 - Alexandria,5/2/20,955,1
Initial,Winn Parish,RLMA 6 - Alexandria,5/2/20,60,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,5/9/20,234,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,5/9/20,52,1
Initial,Concordia Parish,RLMA 6 - Alexandria,5/9/20,127,1
Initial,Grant Parish,RLMA 6 - Alexandria,5/9/20,98,1
Initial,La Salle Parish,RLMA 6 - Alexandria,5/9/20,142,1
Initial,Rapides Parish,RLMA 6 - Alexandria,5/9/20,841,1
Initial,Winn Parish,RLMA 6 - Alexandria,5/9/20,72,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,5/16/20,159,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,5/16/20,41,1
Initial,Concordia Parish,RLMA 6 - Alexandria,5/16/20,92,1
Initial,Grant Parish,RLMA 6 - Alexandria,5/16/20,78,1
Initial,La Salle Parish,RLMA 6 - Alexandria,5/16/20,124,1
Initial,Rapides Parish,RLMA 6 - Alexandria,5/16/20,617,1
Initial,Winn Parish,RLMA 6 - Alexandria,5/16/20,52,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,5/23/20,157,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,5/23/20,48,1
Initial,Concordia Parish,RLMA 6 - Alexandria,5/23/20,99,1
Initial,Grant Parish,RLMA 6 - Alexandria,5/23/20,73,1
Initial,La Salle Parish,RLMA 6 - Alexandria,5/23/20,97,1
Initial,Rapides Parish,RLMA 6 - Alexandria,5/23/20,525,1
Initial,Winn Parish,RLMA 6 - Alexandria,5/23/20,48,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,5/30/20,119,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,5/30/20,48,1
Initial,Concordia Parish,RLMA 6 - Alexandria,5/30/20,80,1
Initial,Grant Parish,RLMA 6 - Alexandria,5/30/20,67,1
Initial,La Salle Parish,RLMA 6 - Alexandria,5/30/20,71,1
Initial,Rapides Parish,RLMA 6 - Alexandria,5/30/20,489,1
Initial,Winn Parish,RLMA 6 - Alexandria,5/30/20,52,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,6/6/20,175,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,6/6/20,53,1
Initial,Concordia Parish,RLMA 6 - Alexandria,6/6/20,114,1
Initial,Grant Parish,RLMA 6 - Alexandria,6/6/20,77,1
Initial,La Salle Parish,RLMA 6 - Alexandria,6/6/20,108,1
Initial,Rapides Parish,RLMA 6 - Alexandria,6/6/20,518,1
Initial,Winn Parish,RLMA 6 - Alexandria,6/6/20,73,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,6/13/20,153,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,6/13/20,44,1
Initial,Concordia Parish,RLMA 6 - Alexandria,6/13/20,122,1
Initial,Grant Parish,RLMA 6 - Alexandria,6/13/20,60,1
Initial,La Salle Parish,RLMA 6 - Alexandria,6/13/20,99,1
Initial,Rapides Parish,RLMA 6 - Alexandria,6/13/20,509,1
Initial,Winn Parish,RLMA 6 - Alexandria,6/13/20,62,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,6/20/20,122,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,6/20/20,35,1
Initial,Concordia Parish,RLMA 6 - Alexandria,6/20/20,93,1
Initial,Grant Parish,RLMA 6 - Alexandria,6/20/20,55,1
Initial,La Salle Parish,RLMA 6 - Alexandria,6/20/20,74,1
Initial,Rapides Parish,RLMA 6 - Alexandria,6/20/20,410,1
Initial,Winn Parish,RLMA 6 - Alexandria,6/20/20,39,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,6/27/20,160,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,6/27/20,35,1
Initial,Concordia Parish,RLMA 6 - Alexandria,6/27/20,97,1
Initial,Grant Parish,RLMA 6 - Alexandria,6/27/20,56,1
Initial,La Salle Parish,RLMA 6 - Alexandria,6/27/20,65,1
Initial,Rapides Parish,RLMA 6 - Alexandria,6/27/20,495,1
Initial,Winn Parish,RLMA 6 - Alexandria,6/27/20,38,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,7/4/20,191,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,7/4/20,57,1
Initial,Concordia Parish,RLMA 6 - Alexandria,7/4/20,140,1
Initial,Grant Parish,RLMA 6 - Alexandria,7/4/20,85,1
Initial,La Salle Parish,RLMA 6 - Alexandria,7/4/20,128,1
Initial,Rapides Parish,RLMA 6 - Alexandria,7/4/20,562,1
Initial,Winn Parish,RLMA 6 - Alexandria,7/4/20,53,1
Initial,Avoyelles Parish,RLMA 6 - Alexandria,7/11/20,170,1
Initial,Catahoula Parish,RLMA 6 - Alexandria,7/11/20,43,1
Initial,Concordia Parish,RLMA 6 - Alexandria,7/11/20,96,1
Initial,Grant Parish,RLMA 6 - Alexandria,7/11/20,73,1
Initial,La Salle Parish,RLMA 6 - Alexandria,7/11/20,106,1
Initial,Rapides Parish,RLMA 6 - Alexandria,7/11/20,533,1
Initial,Winn Parish,RLMA 6 - Alexandria,7/11/20,53,1
Initial,Bienville Parish,RLMA 7 - Shreveport,4/18/20,135,1
Initial,Bossier Parish,RLMA 7 - Shreveport,4/18/20,1805,1
Initial,Caddo Parish,RLMA 7 - Shreveport,4/18/20,4310,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,4/18/20,100,1
Initial,De Soto Parish,RLMA 7 - Shreveport,4/18/20,326,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,4/18/20,669,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,4/18/20,485,1
Initial,Red River Parish,RLMA 7 - Shreveport,4/18/20,76,1
Initial,Sabine Parish,RLMA 7 - Shreveport,4/18/20,245,1
Initial,Webster Parish,RLMA 7 - Shreveport,4/18/20,458,1
Initial,Bienville Parish,RLMA 7 - Shreveport,4/25/20,105,1
Initial,Bossier Parish,RLMA 7 - Shreveport,4/25/20,1302,1
Initial,Caddo Parish,RLMA 7 - Shreveport,4/25/20,3428,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,4/25/20,82,1
Initial,De Soto Parish,RLMA 7 - Shreveport,4/25/20,264,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,4/25/20,478,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,4/25/20,371,1
Initial,Red River Parish,RLMA 7 - Shreveport,4/25/20,52,1
Initial,Sabine Parish,RLMA 7 - Shreveport,4/25/20,194,1
Initial,Webster Parish,RLMA 7 - Shreveport,4/25/20,384,1
Initial,Bienville Parish,RLMA 7 - Shreveport,5/2/20,100,1
Initial,Bossier Parish,RLMA 7 - Shreveport,5/2/20,1110,1
Initial,Caddo Parish,RLMA 7 - Shreveport,5/2/20,2833,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,5/2/20,77,1
Initial,De Soto Parish,RLMA 7 - Shreveport,5/2/20,208,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,5/2/20,464,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,5/2/20,259,1
Initial,Red River Parish,RLMA 7 - Shreveport,5/2/20,50,1
Initial,Sabine Parish,RLMA 7 - Shreveport,5/2/20,131,1
Initial,Webster Parish,RLMA 7 - Shreveport,5/2/20,308,1
Initial,Bienville Parish,RLMA 7 - Shreveport,5/9/20,82,1
Initial,Bossier Parish,RLMA 7 - Shreveport,5/9/20,732,1
Initial,Caddo Parish,RLMA 7 - Shreveport,5/9/20,2217,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,5/9/20,51,1
Initial,De Soto Parish,RLMA 7 - Shreveport,5/9/20,155,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,5/9/20,311,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,5/9/20,226,1
Initial,Red River Parish,RLMA 7 - Shreveport,5/9/20,39,1
Initial,Sabine Parish,RLMA 7 - Shreveport,5/9/20,102,1
Initial,Webster Parish,RLMA 7 - Shreveport,5/9/20,220,1
Initial,Bienville Parish,RLMA 7 - Shreveport,5/16/20,71,1
Initial,Bossier Parish,RLMA 7 - Shreveport,5/16/20,559,1
Initial,Caddo Parish,RLMA 7 - Shreveport,5/16/20,1649,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,5/16/20,58,1
Initial,De Soto Parish,RLMA 7 - Shreveport,5/16/20,111,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,5/16/20,251,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,5/16/20,173,1
Initial,Red River Parish,RLMA 7 - Shreveport,5/16/20,37,1
Initial,Sabine Parish,RLMA 7 - Shreveport,5/16/20,94,1
Initial,Webster Parish,RLMA 7 - Shreveport,5/16/20,186,1
Initial,Bienville Parish,RLMA 7 - Shreveport,5/23/20,60,1
Initial,Bossier Parish,RLMA 7 - Shreveport,5/23/20,453,1
Initial,Caddo Parish,RLMA 7 - Shreveport,5/23/20,1514,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,5/23/20,51,1
Initial,De Soto Parish,RLMA 7 - Shreveport,5/23/20,121,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,5/23/20,163,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,5/23/20,258,1
Initial,Red River Parish,RLMA 7 - Shreveport,5/23/20,41,1
Initial,Sabine Parish,RLMA 7 - Shreveport,5/23/20,125,1
Initial,Webster Parish,RLMA 7 - Shreveport,5/23/20,137,1
Initial,Bienville Parish,RLMA 7 - Shreveport,5/30/20,37,1
Initial,Bossier Parish,RLMA 7 - Shreveport,5/30/20,375,1
Initial,Caddo Parish,RLMA 7 - Shreveport,5/30/20,1121,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,5/30/20,48,1
Initial,De Soto Parish,RLMA 7 - Shreveport,5/30/20,97,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,5/30/20,171,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,5/30/20,179,1
Initial,Red River Parish,RLMA 7 - Shreveport,5/30/20,26,1
Initial,Sabine Parish,RLMA 7 - Shreveport,5/30/20,110,1
Initial,Webster Parish,RLMA 7 - Shreveport,5/30/20,107,1
Initial,Bienville Parish,RLMA 7 - Shreveport,6/6/20,58,1
Initial,Bossier Parish,RLMA 7 - Shreveport,6/6/20,402,1
Initial,Caddo Parish,RLMA 7 - Shreveport,6/6/20,1299,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,6/6/20,48,1
Initial,De Soto Parish,RLMA 7 - Shreveport,6/6/20,103,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,6/6/20,241,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,6/6/20,158,1
Initial,Red River Parish,RLMA 7 - Shreveport,6/6/20,32,1
Initial,Sabine Parish,RLMA 7 - Shreveport,6/6/20,70,1
Initial,Webster Parish,RLMA 7 - Shreveport,6/6/20,141,1
Initial,Bienville Parish,RLMA 7 - Shreveport,6/13/20,64,1
Initial,Bossier Parish,RLMA 7 - Shreveport,6/13/20,443,1
Initial,Caddo Parish,RLMA 7 - Shreveport,6/13/20,1378,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,6/13/20,36,1
Initial,De Soto Parish,RLMA 7 - Shreveport,6/13/20,117,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,6/13/20,200,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,6/13/20,163,1
Initial,Red River Parish,RLMA 7 - Shreveport,6/13/20,27,1
Initial,Sabine Parish,RLMA 7 - Shreveport,6/13/20,62,1
Initial,Webster Parish,RLMA 7 - Shreveport,6/13/20,142,1
Initial,Bienville Parish,RLMA 7 - Shreveport,6/20/20,46,1
Initial,Bossier Parish,RLMA 7 - Shreveport,6/20/20,333,1
Initial,Caddo Parish,RLMA 7 - Shreveport,6/20/20,967,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,6/20/20,31,1
Initial,De Soto Parish,RLMA 7 - Shreveport,6/20/20,87,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,6/20/20,137,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,6/20/20,143,1
Initial,Red River Parish,RLMA 7 - Shreveport,6/20/20,32,1
Initial,Sabine Parish,RLMA 7 - Shreveport,6/20/20,48,1
Initial,Webster Parish,RLMA 7 - Shreveport,6/20/20,143,1
Initial,Bienville Parish,RLMA 7 - Shreveport,6/27/20,39,1
Initial,Bossier Parish,RLMA 7 - Shreveport,6/27/20,386,1
Initial,Caddo Parish,RLMA 7 - Shreveport,6/27/20,1112,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,6/27/20,32,1
Initial,De Soto Parish,RLMA 7 - Shreveport,6/27/20,91,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,6/27/20,182,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,6/27/20,121,1
Initial,Red River Parish,RLMA 7 - Shreveport,6/27/20,23,1
Initial,Sabine Parish,RLMA 7 - Shreveport,6/27/20,48,1
Initial,Webster Parish,RLMA 7 - Shreveport,6/27/20,128,1
Initial,Bienville Parish,RLMA 7 - Shreveport,7/4/20,71,1
Initial,Bossier Parish,RLMA 7 - Shreveport,7/4/20,524,1
Initial,Caddo Parish,RLMA 7 - Shreveport,7/4/20,1437,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,7/4/20,40,1
Initial,De Soto Parish,RLMA 7 - Shreveport,7/4/20,115,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,7/4/20,206,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,7/4/20,172,1
Initial,Red River Parish,RLMA 7 - Shreveport,7/4/20,44,1
Initial,Sabine Parish,RLMA 7 - Shreveport,7/4/20,76,1
Initial,Webster Parish,RLMA 7 - Shreveport,7/4/20,153,1
Initial,Bienville Parish,RLMA 7 - Shreveport,7/11/20,54,1
Initial,Bossier Parish,RLMA 7 - Shreveport,7/11/20,392,1
Initial,Caddo Parish,RLMA 7 - Shreveport,7/11/20,1231,1
Initial,Claiborne Parish,RLMA 7 - Shreveport,7/11/20,34,1
Initial,De Soto Parish,RLMA 7 - Shreveport,7/11/20,114,1
Initial,Lincoln Parish,RLMA 7 - Shreveport,7/11/20,175,1
Initial,Natchitoches Parish,RLMA 7 - Shreveport,7/11/20,134,1
Initial,Red River Parish,RLMA 7 - Shreveport,7/11/20,25,1
Initial,Sabine Parish,RLMA 7 - Shreveport,7/11/20,72,1
Initial,Webster Parish,RLMA 7 - Shreveport,7/11/20,153,1
Initial,Caldwell Parish,RLMA 8 - Monroe,4/18/20,84,1
Initial,East Carroll Parish,RLMA 8 - Monroe,4/18/20,55,1
Initial,Franklin Parish,RLMA 8 - Monroe,4/18/20,224,1
Initial,Jackson Parish,RLMA 8 - Monroe,4/18/20,123,1
Initial,Madison Parish,RLMA 8 - Monroe,4/18/20,89,1
Initial,Morehouse Parish,RLMA 8 - Monroe,4/18/20,329,1
Initial,Ouachita Parish,RLMA 8 - Monroe,4/18/20,2312,1
Initial,Richland Parish,RLMA 8 - Monroe,4/18/20,245,1
Initial,Tensas Parish,RLMA 8 - Monroe,4/18/20,33,1
Initial,Union Parish,RLMA 8 - Monroe,4/18/20,227,1
Initial,West Carroll Parish,RLMA 8 - Monroe,4/18/20,94,1
Initial,Caldwell Parish,RLMA 8 - Monroe,4/25/20,74,1
Initial,East Carroll Parish,RLMA 8 - Monroe,4/25/20,50,1
Initial,Franklin Parish,RLMA 8 - Monroe,4/25/20,197,1
Initial,Jackson Parish,RLMA 8 - Monroe,4/25/20,115,1
Initial,Madison Parish,RLMA 8 - Monroe,4/25/20,89,1
Initial,Morehouse Parish,RLMA 8 - Monroe,4/25/20,281,1
Initial,Ouachita Parish,RLMA 8 - Monroe,4/25/20,1759,1
Initial,Richland Parish,RLMA 8 - Monroe,4/25/20,165,1
Initial,Tensas Parish,RLMA 8 - Monroe,4/25/20,32,1
Initial,Union Parish,RLMA 8 - Monroe,4/25/20,177,1
Initial,West Carroll Parish,RLMA 8 - Monroe,4/25/20,96,1
Initial,Caldwell Parish,RLMA 8 - Monroe,5/2/20,66,1
Initial,East Carroll Parish,RLMA 8 - Monroe,5/2/20,45,1
Initial,Franklin Parish,RLMA 8 - Monroe,5/2/20,169,1
Initial,Jackson Parish,RLMA 8 - Monroe,5/2/20,93,1
Initial,Madison Parish,RLMA 8 - Monroe,5/2/20,85,1
Initial,Morehouse Parish,RLMA 8 - Monroe,5/2/20,251,1
Initial,Ouachita Parish,RLMA 8 - Monroe,5/2/20,1473,1
Initial,Richland Parish,RLMA 8 - Monroe,5/2/20,150,1
Initial,Tensas Parish,RLMA 8 - Monroe,5/2/20,29,1
Initial,Union Parish,RLMA 8 - Monroe,5/2/20,163,1
Initial,West Carroll Parish,RLMA 8 - Monroe,5/2/20,69,1
Initial,Caldwell Parish,RLMA 8 - Monroe,5/9/20,70,1
Initial,East Carroll Parish,RLMA 8 - Monroe,5/9/20,62,1
Initial,Franklin Parish,RLMA 8 - Monroe,5/9/20,121,1
Initial,Jackson Parish,RLMA 8 - Monroe,5/9/20,74,1
Initial,Madison Parish,RLMA 8 - Monroe,5/9/20,61,1
Initial,Morehouse Parish,RLMA 8 - Monroe,5/9/20,208,1
Initial,Ouachita Parish,RLMA 8 - Monroe,5/9/20,1248,1
Initial,Richland Parish,RLMA 8 - Monroe,5/9/20,125,1
Initial,Tensas Parish,RLMA 8 - Monroe,5/9/20,26,1
Initial,Union Parish,RLMA 8 - Monroe,5/9/20,139,1
Initial,West Carroll Parish,RLMA 8 - Monroe,5/9/20,45,1
Initial,Caldwell Parish,RLMA 8 - Monroe,5/16/20,41,1
Initial,East Carroll Parish,RLMA 8 - Monroe,5/16/20,40,1
Initial,Franklin Parish,RLMA 8 - Monroe,5/16/20,85,1
Initial,Jackson Parish,RLMA 8 - Monroe,5/16/20,68,1
Initial,Madison Parish,RLMA 8 - Monroe,5/16/20,50,1
Initial,Morehouse Parish,RLMA 8 - Monroe,5/16/20,186,1
Initial,Ouachita Parish,RLMA 8 - Monroe,5/16/20,915,1
Initial,Richland Parish,RLMA 8 - Monroe,5/16/20,111,1
Initial,Tensas Parish,RLMA 8 - Monroe,5/16/20,21,1
Initial,Union Parish,RLMA 8 - Monroe,5/16/20,137,1
Initial,West Carroll Parish,RLMA 8 - Monroe,5/16/20,39,1
Initial,Caldwell Parish,RLMA 8 - Monroe,5/23/20,36,1
Initial,East Carroll Parish,RLMA 8 - Monroe,5/23/20,34,1
Initial,Franklin Parish,RLMA 8 - Monroe,5/23/20,107,1
Initial,Jackson Parish,RLMA 8 - Monroe,5/23/20,42,1
Initial,Madison Parish,RLMA 8 - Monroe,5/23/20,51,1
Initial,Morehouse Parish,RLMA 8 - Monroe,5/23/20,148,1
Initial,Ouachita Parish,RLMA 8 - Monroe,5/23/20,745,1
Initial,Richland Parish,RLMA 8 - Monroe,5/23/20,105,1
Initial,Tensas Parish,RLMA 8 - Monroe,5/23/20,14,1
Initial,Union Parish,RLMA 8 - Monroe,5/23/20,110,1
Initial,West Carroll Parish,RLMA 8 - Monroe,5/23/20,40,1
Initial,Caldwell Parish,RLMA 8 - Monroe,5/30/20,37,1
Initial,East Carroll Parish,RLMA 8 - Monroe,5/30/20,32,1
Initial,Franklin Parish,RLMA 8 - Monroe,5/30/20,75,1
Initial,Jackson Parish,RLMA 8 - Monroe,5/30/20,38,1
Initial,Madison Parish,RLMA 8 - Monroe,5/30/20,44,1
Initial,Morehouse Parish,RLMA 8 - Monroe,5/30/20,135,1
Initial,Ouachita Parish,RLMA 8 - Monroe,5/30/20,673,1
Initial,Richland Parish,RLMA 8 - Monroe,5/30/20,90,1
Initial,Tensas Parish,RLMA 8 - Monroe,5/30/20,16,1
Initial,Union Parish,RLMA 8 - Monroe,5/30/20,78,1
