SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 05",1578839,AR,Montgomery County,2020,May,Not Adj,Arkansas,"2,516","2,796",280,10.00%
"2020, 05",1578844,AR,Nevada County,2020,May,Not Adj,Arkansas,"3,253","3,544",291,8.20%
"2020, 05",1578849,AR,Newton County,2020,May,Not Adj,Arkansas,"3,009","3,268",259,7.90%
"2020, 05",1578854,AR,Ouachita County,2020,May,Not Adj,Arkansas,"8,771","9,539",768,8.10%
"2020, 05",1578859,AR,Perry County,2020,May,Not Adj,Arkansas,"3,749","4,096",347,8.50%
"2020, 05",1578864,AR,Phillips County,2020,May,Not Adj,Arkansas,"5,414","6,268",854,13.60%
"2020, 05",1578869,AR,Pike County,2020,May,Not Adj,Arkansas,"3,792","4,160",368,8.80%
"2020, 05",1578874,AR,Poinsett County,2020,May,Not Adj,Arkansas,"9,315","10,104",789,7.80%
"2020, 05",1578879,AR,Polk County,2020,May,Not Adj,Arkansas,"7,146","7,879",733,9.30%
"2020, 05",1578884,AR,Pope County,2020,May,Not Adj,Arkansas,"26,127","28,572","2,445",8.60%
"2020, 05",1578889,AR,Prairie County,2020,May,Not Adj,Arkansas,"3,187","3,434",247,7.20%
"2020, 05",1578894,AR,Pulaski County,2020,May,Not Adj,Arkansas,"168,746","190,468","21,722",11.40%
"2020, 05",1578899,AR,Randolph County,2020,May,Not Adj,Arkansas,"6,666","7,288",622,8.50%
"2020, 05",1578904,AR,St. Francis County,2020,May,Not Adj,Arkansas,"7,195","8,166",971,11.90%
"2020, 05",1578909,AR,Saline County,2020,May,Not Adj,Arkansas,"52,749","57,420","4,671",8.10%
"2020, 05",1578914,AR,Scott County,2020,May,Not Adj,Arkansas,"3,925","4,181",256,6.10%
"2020, 05",1578919,AR,Searcy County,2020,May,Not Adj,Arkansas,"2,568","2,839",271,9.50%
"2020, 05",1578924,AR,Sebastian County,2020,May,Not Adj,Arkansas,"51,012","56,978","5,966",10.50%
"2020, 05",1578929,AR,Sevier County,2020,May,Not Adj,Arkansas,"4,899","5,272",373,7.10%
"2020, 05",1578934,AR,Sharp County,2020,May,Not Adj,Arkansas,"5,138","5,710",572,10.00%
"2020, 05",1578939,AR,Stone County,2020,May,Not Adj,Arkansas,"4,123","4,571",448,9.80%
"2020, 05",1578944,AR,Union County,2020,May,Not Adj,Arkansas,"13,812","15,685","1,873",11.90%
