area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,May,SHERIDAN COUNTY,"1,374","1,335",39,2.80%,Yes
county,May,SHERMAN COUNTY,"2,746","2,626",120,4.40%,Yes
county,May,SMITH COUNTY,"1,952","1,888",64,3.30%,Yes
county,May,STAFFORD COUNTY,"1,966","1,873",93,4.70%,Yes
county,May,STANTON COUNTY,941,915,26,2.80%,Yes
county,May,STEVENS COUNTY,"2,701","2,608",93,3.40%,Yes
county,May,SUMNER COUNTY,"11,312","9,846","1,466",13.00%,Yes
county,May,THOMAS COUNTY,"4,131","3,975",156,3.80%,Yes
county,May,TREGO COUNTY,"1,324","1,250",74,5.60%,Yes
county,May,WABAUNSEE COUNTY,"3,516","3,293",223,6.30%,Yes
county,May,WALLACE COUNTY,976,958,18,1.80%,Yes
county,May,WASHINGTON COUNTY,"2,927","2,829",98,3.30%,Yes
county,May,WICHITA COUNTY,"1,299","1,273",26,2.00%,Yes
county,May,WILSON COUNTY,"4,056","3,661",395,9.70%,Yes
county,May,WOODSON COUNTY,"1,664","1,526",138,8.30%,Yes
county,May,WYANDOTTE COUNTY,"79,439","68,306","11,133",14.00%,Yes
county,April,ALLEN COUNTY,"6,506","5,948",558,8.60%,No
county,April,ANDERSON COUNTY,"4,093","3,827",266,6.50%,No
county,April,ATCHISON COUNTY,"7,119","6,281",838,11.80%,No
county,April,BARBER COUNTY,"2,189","2,080",109,5.00%,No
county,April,BARTON COUNTY,"13,690","12,641","1,049",7.70%,No
county,April,BOURBON COUNTY,"6,608","6,027",581,8.80%,No
county,April,BROWN COUNTY,"5,350","4,891",459,8.60%,No
county,April,BUTLER COUNTY,"33,259","28,435","4,824",14.50%,No
county,April,CHASE COUNTY,"1,662","1,495",167,10.00%,No
county,April,CHAUTAUQUA COUNTY,"1,459","1,319",140,9.60%,No
county,April,CHEROKEE COUNTY,"10,215","9,149","1,066",10.40%,No
county,April,CHEYENNE COUNTY,"1,180","1,142",38,3.20%,No
county,April,CLARK COUNTY,963,939,24,2.50%,No
county,April,CLAY COUNTY,"3,658","3,371",287,7.80%,No
county,April,CLOUD COUNTY,"3,662","3,458",204,5.60%,No
county,April,COFFEY COUNTY,"3,961","3,628",333,8.40%,No
county,April,COMANCHE COUNTY,832,796,36,4.30%,No
county,April,COWLEY COUNTY,"17,345","14,913","2,432",14.00%,No
county,April,CRAWFORD COUNTY,"19,131","17,414","1,717",9.00%,No
county,April,DECATUR COUNTY,"1,133","1,075",58,5.10%,No
county,April,DICKINSON COUNTY,"8,795","8,091",704,8.00%,No
county,April,DONIPHAN COUNTY,"4,006","3,633",373,9.30%,No
county,April,DOUGLAS COUNTY,"65,917","58,350","7,567",11.50%,No
county,April,EDWARDS COUNTY,"1,222","1,172",50,4.10%,No
county,April,ELK COUNTY,"1,157","1,051",106,9.20%,No
county,April,ELLIS COUNTY,"16,903","15,688","1,215",7.20%,No
county,April,ELLSWORTH COUNTY,"2,574","2,458",116,4.50%,No
county,April,FINNEY COUNTY,"20,188","18,988","1,200",5.90%,No
county,April,FORD COUNTY,"16,414","15,673",741,4.50%,No
county,April,FRANKLIN COUNTY,"14,227","12,895","1,332",9.40%,No
county,April,GEARY COUNTY,"11,463","10,219","1,244",10.90%,No
county,April,GOVE COUNTY,"1,403","1,336",67,4.80%,No
county,April,GRAHAM COUNTY,"1,048",993,55,5.20%,No
county,April,GRANT COUNTY,"2,882","2,759",123,4.30%,No
county,April,GRAY COUNTY,"2,969","2,890",79,2.70%,No
county,April,GREELEY COUNTY,742,727,15,2.00%,No
county,April,GREENWOOD COUNTY,"3,294","2,994",300,9.10%,No
county,April,HAMILTON COUNTY,"1,429","1,402",27,1.90%,No
county,April,HARPER COUNTY,"2,812","2,643",169,6.00%,No
county,April,HARVEY COUNTY,"16,779","14,902","1,877",11.20%,No
county,April,HASKELL COUNTY,"2,048","1,986",62,3.00%,No
county,April,HODGEMAN COUNTY,923,888,35,3.80%,No
county,April,JACKSON COUNTY,"7,247","6,339",908,12.50%,No
county,April,JEFFERSON COUNTY,"9,914","8,904","1,010",10.20%,No
county,April,JEWELL COUNTY,"1,203","1,154",49,4.10%,No
county,April,JOHNSON COUNTY,"334,774","299,312","35,462",10.60%,No
county,April,KEARNY COUNTY,"1,913","1,820",93,4.90%,No
