area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,February,ROOKS COUNTY,"2,461","2,384",77,3.10%,No
county,February,RUSH COUNTY,"1,614","1,571",43,2.70%,No
county,February,RUSSELL COUNTY,"3,221","3,123",98,3.00%,No
county,February,SALINE COUNTY,"30,271","29,257","1,014",3.30%,No
county,February,SCOTT COUNTY,"2,809","2,756",53,1.90%,No
county,February,SEDGWICK COUNTY,"256,380","246,239","10,141",4.00%,No
county,February,SEWARD COUNTY,"9,259","8,976",283,3.10%,No
county,February,SHAWNEE COUNTY,"90,878","87,620","3,258",3.60%,No
county,February,SHERIDAN COUNTY,"1,390","1,358",32,2.30%,No
county,February,SHERMAN COUNTY,"2,760","2,680",80,2.90%,No
county,February,SMITH COUNTY,"1,961","1,906",55,2.80%,No
county,February,STAFFORD COUNTY,"2,035","1,974",61,3.00%,No
county,February,STANTON COUNTY,967,940,27,2.80%,No
county,February,STEVENS COUNTY,"2,478","2,401",77,3.10%,No
county,February,SUMNER COUNTY,"11,068","10,671",397,3.60%,No
county,February,THOMAS COUNTY,"4,267","4,180",87,2.00%,No
county,February,TREGO COUNTY,"1,419","1,374",45,3.20%,No
county,February,WABAUNSEE COUNTY,"3,665","3,522",143,3.90%,No
county,February,WALLACE COUNTY,782,762,20,2.60%,No
county,February,WASHINGTON COUNTY,"2,893","2,813",80,2.80%,No
county,February,WICHITA COUNTY,"1,183","1,162",21,1.80%,No
county,February,WILSON COUNTY,"3,991","3,811",180,4.50%,No
county,February,WOODSON COUNTY,"1,575","1,516",59,3.70%,No
county,February,WYANDOTTE COUNTY,"78,140","74,664","3,476",4.40%,No
county,January,ALLEN COUNTY,"6,282","6,045",237,3.80%,No
county,January,ANDERSON COUNTY,"4,159","4,003",156,3.80%,No
county,January,ATCHISON COUNTY,"6,951","6,583",368,5.30%,No
county,January,BARBER COUNTY,"2,294","2,225",69,3.00%,No
county,January,BARTON COUNTY,"13,134","12,633",501,3.80%,No
county,January,BOURBON COUNTY,"6,585","6,282",303,4.60%,No
county,January,BROWN COUNTY,"5,352","5,176",176,3.30%,No
county,January,BUTLER COUNTY,"32,722","31,559","1,163",3.60%,No
county,January,CHASE COUNTY,"1,536","1,491",45,2.90%,No
county,January,CHAUTAUQUA COUNTY,"1,425","1,373",52,3.60%,No
county,January,CHEROKEE COUNTY,"10,107","9,784",323,3.20%,No
county,January,CHEYENNE COUNTY,"1,301","1,269",32,2.50%,No
county,January,CLARK COUNTY,"1,080","1,053",27,2.50%,No
county,January,CLAY COUNTY,"3,747","3,621",126,3.40%,No
county,January,CLOUD COUNTY,"3,735","3,609",126,3.40%,No
county,January,COFFEY COUNTY,"4,161","3,944",217,5.20%,No
county,January,COMANCHE COUNTY,832,807,25,3.00%,No
county,January,COWLEY COUNTY,"16,109","15,536",573,3.60%,No
county,January,CRAWFORD COUNTY,"18,582","17,800",782,4.20%,No
county,January,DECATUR COUNTY,"1,178","1,139",39,3.30%,No
county,January,DICKINSON COUNTY,"8,759","8,367",392,4.50%,No
county,January,DONIPHAN COUNTY,"4,118","3,963",155,3.80%,No
county,January,DOUGLAS COUNTY,"65,869","63,756","2,113",3.20%,No
county,January,EDWARDS COUNTY,"1,362","1,327",35,2.60%,No
county,January,ELK COUNTY,"1,154","1,117",37,3.20%,No
county,January,ELLIS COUNTY,"16,918","16,530",388,2.30%,No
county,January,ELLSWORTH COUNTY,"2,696","2,622",74,2.70%,No
county,January,FINNEY COUNTY,"20,753","20,292",461,2.20%,No
county,January,FORD COUNTY,"16,858","16,431",427,2.50%,No
county,January,FRANKLIN COUNTY,"14,167","13,644",523,3.70%,No
county,January,GEARY COUNTY,"11,275","10,741",534,4.70%,No
county,January,GOVE COUNTY,"1,470","1,435",35,2.40%,No
county,January,GRAHAM COUNTY,"1,080","1,046",34,3.10%,No
county,January,GRANT COUNTY,"3,099","3,020",79,2.50%,No
county,January,GRAY COUNTY,"3,121","3,049",72,2.30%,No
county,January,GREELEY COUNTY,767,752,15,2.00%,No
county,January,GREENWOOD COUNTY,"3,285","3,162",123,3.70%,No
county,January,HAMILTON COUNTY,"1,608","1,578",30,1.90%,No
county,January,HARPER COUNTY,"2,987","2,905",82,2.70%,No
county,January,HARVEY COUNTY,"17,082","16,541",541,3.20%,No
county,January,HASKELL COUNTY,"2,146","2,101",45,2.10%,No
county,January,HODGEMAN COUNTY,974,942,32,3.30%,No
county,January,JACKSON COUNTY,"7,201","6,937",264,3.70%,No
county,January,JEFFERSON COUNTY,"10,126","9,746",380,3.80%,No
county,January,JEWELL COUNTY,"1,247","1,213",34,2.70%,No
county,January,JOHNSON COUNTY,"341,859","332,373","9,486",2.80%,No
county,January,KEARNY COUNTY,"1,994","1,949",45,2.30%,No
county,January,KINGMAN COUNTY,"3,424","3,305",119,3.50%,No
county,January,KIOWA COUNTY,"1,268","1,238",30,2.40%,No
county,January,LABETTE COUNTY,"9,861","9,461",400,4.10%,No
county,January,LANE COUNTY,733,715,18,2.50%,No
county,January,LEAVENWORTH COUNTY,"36,973","35,543","1,430",3.90%,No
county,January,LINCOLN COUNTY,"1,726","1,677",49,2.80%,No
county,January,LINN COUNTY,"4,491","4,190",301,6.70%,No
county,January,LOGAN COUNTY,"1,596","1,562",34,2.10%,No
county,January,LYON COUNTY,"16,610","15,997",613,3.70%,No
county,January,MARION COUNTY,"5,871","5,705",166,2.80%,No
county,January,MARSHALL COUNTY,"5,434","5,274",160,2.90%,No
county,January,MCPHERSON COUNTY,"17,054","16,642",412,2.40%,No
county,January,MEADE COUNTY,"2,049","2,000",49,2.40%,No
county,January,MIAMI COUNTY,"17,755","17,042",713,4.00%,No
county,January,MITCHELL COUNTY,"3,252","3,178",74,2.30%,No
county,January,MONTGOMERY COUNTY,"14,537","13,814",723,5.00%,No
county,January,MORRIS COUNTY,"3,020","2,917",103,3.40%,No
county,January,MORTON COUNTY,"1,103","1,071",32,2.90%,No
county,January,NEMAHA COUNTY,"5,254","5,103",151,2.90%,No
county,January,NEOSHO COUNTY,"6,153","5,864",289,4.70%,No
county,January,NESS COUNTY,"1,312","1,277",35,2.70%,No
county,January,NORTON COUNTY,"2,641","2,587",54,2.00%,No
county,January,OSAGE COUNTY,"7,984","7,646",338,4.20%,No
county,January,OSBORNE COUNTY,"2,051","2,009",42,2.00%,No
county,January,OTTAWA COUNTY,"2,975","2,888",87,2.90%,No
county,January,PAWNEE COUNTY,"2,820","2,721",99,3.50%,No
county,January,PHILLIPS COUNTY,"2,593","2,524",69,2.70%,No
county,January,POTTAWATOMIE COUNTY,"12,306","11,913",393,3.20%,No
county,January,PRATT COUNTY,"4,878","4,738",140,2.90%,No
county,January,RAWLINS COUNTY,"1,462","1,428",34,2.30%,No
county,January,RENO COUNTY,"29,380","28,383",997,3.40%,No
county,January,REPUBLIC COUNTY,"2,169","2,110",59,2.70%,No
county,January,RICE COUNTY,"5,160","5,017",143,2.80%,No
county,January,RILEY COUNTY,"34,731","33,723","1,008",2.90%,No
county,January,ROOKS COUNTY,"2,464","2,382",82,3.30%,No
county,January,RUSH COUNTY,"1,604","1,554",50,3.10%,No
county,January,RUSSELL COUNTY,"3,214","3,115",99,3.10%,No
county,January,SALINE COUNTY,"30,169","29,122","1,047",3.50%,No
county,January,SCOTT COUNTY,"2,783","2,728",55,2.00%,No
county,January,SEDGWICK COUNTY,"253,382","243,656","9,726",3.80%,No
county,January,SEWARD COUNTY,"9,184","8,887",297,3.20%,No
county,January,SHAWNEE COUNTY,"90,603","87,289","3,314",3.70%,No
county,January,SHERIDAN COUNTY,"1,374","1,337",37,2.70%,No
county,January,SHERMAN COUNTY,"2,731","2,654",77,2.80%,No
county,January,SMITH COUNTY,"1,939","1,887",52,2.70%,No
county,January,STAFFORD COUNTY,"2,012","1,948",64,3.20%,No
county,January,STANTON COUNTY,959,929,30,3.10%,No
county,January,STEVENS COUNTY,"2,451","2,379",72,2.90%,No
county,January,SUMNER COUNTY,"10,923","10,552",371,3.40%,No
county,January,THOMAS COUNTY,"4,225","4,128",97,2.30%,No
county,January,TREGO COUNTY,"1,411","1,364",47,3.30%,No
county,January,WABAUNSEE COUNTY,"3,646","3,501",145,4.00%,No
county,January,WALLACE COUNTY,775,753,22,2.80%,No
county,January,WASHINGTON COUNTY,"2,876","2,797",79,2.70%,No
county,January,WICHITA COUNTY,"1,173","1,144",29,2.50%,No
county,January,WILSON COUNTY,"3,945","3,770",175,4.40%,No
county,January,WOODSON COUNTY,"1,545","1,479",66,4.30%,No
county,January,WYANDOTTE COUNTY,"78,141","74,623","3,518",4.50%,No
state,January,Kansas,"1,489,402","1,438,709","50,693",3.40%,No
state,February,Kansas,"1,499,466","1,449,696","49,770",3.30%,No
state,March,Kansas,"1,501,963","1,458,466","43,497",2.90%,No
state,April,Kansas,"1,496,570","1,321,993","174,577",11.70%,No
state,May,Kansas,"1,498,065","1,350,797","147,268",9.80%,Yes
city,January,Dodge City,"13,398","13,065",333,2.50%,No
city,January,Emporia City,"12,382","11,917",465,3.80%,No
city,January,Garden City,"15,084","14,764",320,2.10%,No
city,January,Hutchinson City,"18,643","17,962",681,3.70%,No
city,January,Junction City,"8,550","8,151",399,4.70%,No
city,January,Kansas City,"71,446","68,248","3,198",4.50%,No
city,January,Lawrence City,"53,033","51,367","1,666",3.10%,No
city,January,Leavenworth City,"14,079","13,485",594,4.20%,No
city,January,Leawood City,"17,677","17,230",447,2.50%,No
city,January,Lenexa City,"32,622","31,705",917,2.80%,No
city,January,Manhattan City,"28,816","28,042",774,2.70%,No
city,January,Olathe City,"80,374","78,191","2,183",2.70%,No
city,January,Overland Park City,"110,733","107,756","2,977",2.70%,No
city,January,Salina City,"25,649","24,723",926,3.60%,No
city,January,Shawnee City,"36,914","35,803","1,111",3.00%,No
city,January,Topeka City,"62,731","60,284","2,447",3.90%,No
city,January,Wichita City,"191,247","183,620","7,627",4.00%,No
city,February,Dodge City,"13,484","13,164",320,2.40%,No
city,February,Emporia City,"12,544","12,100",444,3.50%,No
city,February,Garden City,"15,172","14,872",300,2.00%,No
city,February,Hutchinson City,"18,827","18,154",673,3.60%,No
city,February,Junction City,"8,640","8,262",378,4.40%,No
city,February,Kansas City,"71,449","68,285","3,164",4.40%,No
city,February,Lawrence City,"54,006","52,431","1,575",2.90%,No
city,February,Leavenworth City,"14,072","13,497",575,4.10%,No
city,February,Leawood City,"17,688","17,254",434,2.50%,No
city,February,Lenexa City,"32,645","31,750",895,2.70%,No
city,February,Manhattan City,"29,705","28,980",725,2.40%,No
city,February,Olathe City,"80,443","78,301","2,142",2.70%,No
city,February,Overland Park City,"110,792","107,907","2,885",2.60%,No
city,February,Salina City,"25,731","24,837",894,3.50%,No
city,February,Shawnee City,"36,921","35,853","1,068",2.90%,No
city,February,Topeka City,"62,909","60,512","2,397",3.80%,No
city,February,Wichita City,"193,584","185,566","8,018",4.10%,No
city,March,Dodge City,"13,851","13,557",294,2.10%,No
city,March,Emporia City,"13,046","12,681",365,2.80%,No
city,March,Garden City,"15,347","15,068",279,1.80%,No
city,March,Hutchinson City,"19,512","18,916",596,3.10%,No
city,March,Junction City,"8,840","8,462",378,4.30%,No
city,March,Kansas City,"70,450","67,780","2,670",3.80%,No
city,March,Lawrence City,"53,294","51,885","1,409",2.60%,No
city,March,Leavenworth City,"13,902","13,396",506,3.60%,No
city,March,Leawood City,"17,529","17,123",406,2.30%,No
city,March,Lenexa City,"32,338","31,508",830,2.60%,No
city,March,Manhattan City,"29,153","28,536",617,2.10%,No
city,March,Olathe City,"79,577","77,706","1,871",2.40%,No
city,March,Overland Park City,"109,838","107,087","2,751",2.50%,No
city,March,Salina City,"26,366","25,575",791,3.00%,No
city,March,Shawnee City,"36,551","35,581",970,2.70%,No
city,March,Topeka City,"62,814","60,747","2,067",3.30%,No
city,March,Wichita City,"191,926","185,197","6,729",3.50%,No
city,April,Dodge City,"13,079","12,462",617,4.70%,No
city,April,Emporia City,"12,642","11,669",973,7.70%,No
city,April,Garden City,"14,728","13,815",913,6.20%,No
city,April,Hutchinson City,"19,653","17,498","2,155",11.00%,No
city,April,Junction City,"8,698","7,755",943,10.80%,No
city,April,Kansas City,"72,259","61,420","10,839",15.00%,No
city,April,Lawrence City,"53,322","47,012","6,310",11.80%,No
city,April,Leavenworth City,"13,923","12,136","1,787",12.80%,No
city,April,Leawood City,"16,804","15,516","1,288",7.70%,No
city,April,Lenexa City,"32,112","28,552","3,560",11.10%,No
city,April,Manhattan City,"27,697","25,376","2,321",8.40%,No
city,April,Olathe City,"78,449","70,414","8,035",10.20%,No
city,April,Overland Park City,"108,751","97,038","11,713",10.80%,No
city,April,Salina City,"26,328","23,700","2,628",10.00%,No
city,April,Shawnee City,"36,487","32,242","4,245",11.60%,No
city,April,Topeka City,"63,363","55,150","8,213",13.00%,No
city,April,Wichita City,"204,937","165,531","39,406",19.20%,No
city,May,Dodge City,"13,370","12,720",650,4.90%,Yes
city,May,Emporia City,"12,681","11,729",952,7.50%,Yes
city,May,Garden City,"14,876","14,065",811,5.50%,Yes
city,May,Hutchinson City,"19,425","17,687","1,738",8.90%,Yes
city,May,Junction City,"8,726","7,784",942,10.80%,Yes
city,May,Kansas City,"72,739","62,470","10,269",14.10%,Yes
city,May,Lawrence City,"53,394","47,684","5,710",10.70%,Yes
city,May,Leavenworth City,"14,012","12,354","1,658",11.80%,Yes
city,May,Leawood City,"16,946","15,793","1,153",6.80%,Yes
city,May,Lenexa City,"32,253","29,061","3,192",9.90%,Yes
city,May,Manhattan City,"27,766","25,627","2,139",7.70%,Yes
city,May,Olathe City,"78,740","71,671","7,069",9.00%,Yes
city,May,Overland Park City,"109,070","98,770","10,300",9.40%,Yes
city,May,Salina City,"26,395","23,985","2,410",9.10%,Yes
city,May,Shawnee City,"36,537","32,817","3,720",10.20%,Yes
city,May,Topeka City,"62,877","56,074","6,803",10.80%,Yes
city,May,Wichita City,"201,413","170,435","30,978",15.40%,Yes
state,June,Kansas,"1,480,512","1,369,711","110,801",7.50%,Yes
county,June,ALLEN COUNTY,"6,622","6,151",471,7.10%,Yes
county,June,ANDERSON COUNTY,"4,288","4,076",212,4.90%,Yes
county,June,ATCHISON COUNTY,"7,122","6,531",591,8.30%,Yes
county,June,BARBER COUNTY,"2,383","2,286",97,4.10%,Yes
county,June,BARTON COUNTY,"13,959","13,240",719,5.20%,Yes
county,June,BOURBON COUNTY,"6,735","6,288",447,6.60%,Yes
county,June,BROWN COUNTY,"5,475","5,215",260,4.70%,Yes
county,June,BUTLER COUNTY,"32,402","29,677","2,725",8.40%,Yes
county,June,CHASE COUNTY,"1,760","1,673",87,4.90%,Yes
county,June,CHAUTAUQUA COUNTY,"1,569","1,446",123,7.80%,Yes
county,June,CHEROKEE COUNTY,"10,164","9,491",673,6.60%,Yes
county,June,CHEYENNE COUNTY,"1,340","1,310",30,2.20%,Yes
county,June,CLARK COUNTY,"1,066","1,044",22,2.10%,Yes
county,June,CLAY COUNTY,"3,879","3,662",217,5.60%,Yes
county,June,CLOUD COUNTY,"3,857","3,677",180,4.70%,Yes
county,June,COFFEY COUNTY,"3,917","3,675",242,6.20%,Yes
county,June,COMANCHE COUNTY,914,873,41,4.50%,Yes
county,June,COWLEY COUNTY,"16,754","15,294","1,460",8.70%,Yes
county,June,CRAWFORD COUNTY,"19,228","17,945","1,283",6.70%,Yes
county,June,DECATUR COUNTY,"1,264","1,212",52,4.10%,Yes
county,June,DICKINSON COUNTY,"9,038","8,505",533,5.90%,Yes
county,June,DONIPHAN COUNTY,"4,087","3,840",247,6.00%,Yes
county,June,DOUGLAS COUNTY,"61,904","56,756","5,148",8.30%,Yes
county,June,EDWARDS COUNTY,"1,349","1,294",55,4.10%,Yes
county,June,ELK COUNTY,"1,202","1,133",69,5.70%,Yes
county,June,ELLIS COUNTY,"17,186","16,478",708,4.10%,Yes
county,June,ELLSWORTH COUNTY,"2,756","2,661",95,3.40%,Yes
county,June,FINNEY COUNTY,"20,916","20,026",890,4.30%,Yes
county,June,FORD COUNTY,"17,128","16,440",688,4.00%,Yes
county,June,FRANKLIN COUNTY,"14,439","13,474",965,6.70%,Yes
county,June,GEARY COUNTY,"11,393","10,348","1,045",9.20%,Yes
county,June,GOVE COUNTY,"1,525","1,480",45,3.00%,Yes
county,June,GRAHAM COUNTY,"1,150","1,081",69,6.00%,Yes
county,June,GRANT COUNTY,"3,204","3,043",161,5.00%,Yes
county,June,GRAY COUNTY,"3,301","3,228",73,2.20%,Yes
county,June,GREELEY COUNTY,821,805,16,1.90%,Yes
county,June,GREENWOOD COUNTY,"3,314","3,117",197,5.90%,Yes
county,June,HAMILTON COUNTY,"1,625","1,594",31,1.90%,Yes
county,June,HARPER COUNTY,"2,927","2,772",155,5.30%,Yes
county,June,HARVEY COUNTY,"16,665","15,582","1,083",6.50%,Yes
county,June,HASKELL COUNTY,"2,284","2,216",68,3.00%,Yes
county,June,HODGEMAN COUNTY,"1,036","1,006",30,2.90%,Yes
county,June,JACKSON COUNTY,"7,249","6,669",580,8.00%,Yes
county,June,JEFFERSON COUNTY,"9,970","9,383",587,5.90%,Yes
county,June,JEWELL COUNTY,"1,306","1,254",52,4.00%,Yes
county,June,JOHNSON COUNTY,"339,120","315,963","23,157",6.80%,Yes
county,June,KEARNY COUNTY,"2,093","2,025",68,3.20%,Yes
county,June,KINGMAN COUNTY,"3,361","3,168",193,5.70%,Yes
county,June,KIOWA COUNTY,"1,234","1,184",50,4.10%,Yes
county,June,LABETTE COUNTY,"10,051","9,371",680,6.80%,Yes
county,June,LANE COUNTY,778,754,24,3.10%,Yes
county,June,LEAVENWORTH COUNTY,"36,513","33,804","2,709",7.40%,Yes
county,June,LINCOLN COUNTY,"1,712","1,656",56,3.30%,Yes
county,June,LINN COUNTY,"4,388","4,016",372,8.50%,Yes
county,June,LOGAN COUNTY,"1,687","1,644",43,2.50%,Yes
county,June,LYON COUNTY,"17,073","16,132",941,5.50%,Yes
county,June,MARION COUNTY,"6,101","5,818",283,4.60%,Yes
county,June,MARSHALL COUNTY,"5,487","5,290",197,3.60%,Yes
county,June,MCPHERSON COUNTY,"17,454","16,746",708,4.10%,Yes
county,June,MEADE COUNTY,"2,171","2,105",66,3.00%,Yes
county,June,MIAMI COUNTY,"17,274","16,214","1,060",6.10%,Yes
county,June,MITCHELL COUNTY,"3,355","3,252",103,3.10%,Yes
county,June,MONTGOMERY COUNTY,"15,205","13,850","1,355",8.90%,Yes
county,June,MORRIS COUNTY,"3,058","2,918",140,4.60%,Yes
county,June,MORTON COUNTY,"1,098","1,062",36,3.30%,Yes
county,June,NEMAHA COUNTY,"5,279","5,088",191,3.60%,Yes
county,June,NEOSHO COUNTY,"6,224","5,754",470,7.60%,Yes
county,June,NESS COUNTY,"1,365","1,310",55,4.00%,Yes
county,June,NORTON COUNTY,"2,661","2,587",74,2.80%,Yes
county,June,OSAGE COUNTY,"7,829","7,369",460,5.90%,Yes
county,June,OSBORNE COUNTY,"2,031","1,963",68,3.30%,Yes
county,June,OTTAWA COUNTY,"3,054","2,914",140,4.60%,Yes
county,June,PAWNEE COUNTY,"2,841","2,723",118,4.20%,Yes
county,June,PHILLIPS COUNTY,"2,718","2,605",113,4.20%,Yes
county,June,POTTAWATOMIE COUNTY,"11,018","10,329",689,6.30%,Yes
county,June,PRATT COUNTY,"5,035","4,802",233,4.60%,Yes
county,June,RAWLINS COUNTY,"1,530","1,485",45,2.90%,Yes
county,June,RENO COUNTY,"30,887","28,912","1,975",6.40%,Yes
county,June,REPUBLIC COUNTY,"2,277","2,184",93,4.10%,Yes
county,June,RICE COUNTY,"5,408","5,171",237,4.40%,Yes
county,June,RILEY COUNTY,"31,380","28,977","2,403",7.70%,Yes
county,June,ROOKS COUNTY,"2,534","2,405",129,5.10%,Yes
county,June,RUSH COUNTY,"1,612","1,531",81,5.00%,Yes
county,June,RUSSELL COUNTY,"3,311","3,129",182,5.50%,Yes
county,June,SALINE COUNTY,"30,618","28,589","2,029",6.60%,Yes
county,June,SCOTT COUNTY,"2,927","2,838",89,3.00%,Yes
county,June,SEDGWICK COUNTY,"258,159","228,585","29,574",11.50%,Yes
county,June,SEWARD COUNTY,"9,413","8,878",535,5.70%,Yes
county,June,SHAWNEE COUNTY,"90,311","83,591","6,720",7.40%,Yes
county,June,SHERIDAN COUNTY,"1,449","1,412",37,2.60%,Yes
county,June,SHERMAN COUNTY,"2,854","2,745",109,3.80%,Yes
county,June,SMITH COUNTY,"2,026","1,969",57,2.80%,Yes
county,June,STAFFORD COUNTY,"2,035","1,946",89,4.40%,Yes
county,June,STANTON COUNTY,"1,017",990,27,2.70%,Yes
county,June,STEVENS COUNTY,"2,820","2,731",89,3.20%,Yes
county,June,SUMNER COUNTY,"11,124","9,976","1,148",10.30%,Yes
county,June,THOMAS COUNTY,"4,294","4,154",140,3.30%,Yes
county,June,TREGO COUNTY,"1,378","1,325",53,3.80%,Yes
county,June,WABAUNSEE COUNTY,"3,588","3,401",187,5.20%,Yes
county,June,WALLACE COUNTY,"1,005",986,19,1.90%,Yes
county,June,WASHINGTON COUNTY,"3,035","2,951",84,2.80%,Yes
county,June,WICHITA COUNTY,"1,403","1,378",25,1.80%,Yes
county,June,WILSON COUNTY,"4,141","3,808",333,8.00%,Yes
county,June,WOODSON COUNTY,"1,652","1,537",115,7.00%,Yes
county,June,WYANDOTTE COUNTY,"79,087","70,925","8,162",10.30%,Yes
city,June,Dodge City,"13,637","13,072",565,4.10%,Yes
city,June,Emporia City,"12,755","12,017",738,5.80%,Yes
city,June,Garden City,"15,254","14,570",684,4.50%,Yes
city,June,Hutchinson City,"19,729","18,297","1,432",7.30%,Yes
city,June,Junction City,"8,670","7,853",817,9.40%,Yes
city,June,Kansas City,"72,421","64,866","7,555",10.40%,Yes
city,June,Lawrence City,"50,003","45,727","4,276",8.60%,Yes
city,June,Leavenworth City,"14,051","12,825","1,226",8.70%,Yes
city,June,Leawood City,"17,326","16,379",947,5.50%,Yes
city,June,Lenexa City,"32,455","30,140","2,315",7.10%,Yes
city,June,Manhattan City,"26,010","24,095","1,915",7.40%,Yes
city,June,Olathe City,"79,568","74,331","5,237",6.60%,Yes
city,June,Overland Park City,"110,178","102,436","7,742",7.00%,Yes
city,June,Salina City,"26,076","24,270","1,806",6.90%,Yes
city,June,Shawnee City,"36,614","34,035","2,579",7.00%,Yes
city,June,Topeka City,"62,885","57,730","5,155",8.20%,Yes
city,June,Wichita City,"195,944","172,262","23,682",12.10%,Yes
