Number of Records,Region,Adjustment,area,Area,Area Type,areatype,Employed,Labor Force,Period,periodtype,Year,Period Type,Preliminary or Final,stfips,Unemployed,Unemployment Rate
1,MI,Not Adj,71,"Iron County, MI",County,4,5006,5317,July,3,2019,Monthly,Final,26,311,5.80%
1,MI,Not Adj,71,"Iron County, MI",County,4,5048,5301,August,3,2019,Monthly,Final,26,253,4.80%
1,MI,Not Adj,71,"Iron County, MI",County,4,4903,5101,September,3,2019,Monthly,Final,26,198,3.90%
1,MI,Not Adj,71,"Iron County, MI",County,4,4887,5092,October,3,2019,Monthly,Final,26,205,4.00%
1,MI,Not Adj,71,"Iron County, MI",County,4,4865,5055,November,3,2019,Monthly,Final,26,190,3.80%
1,MI,Not Adj,71,"Iron County, MI",County,4,4807,5093,December,3,2019,Monthly,Final,26,286,5.60%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33058,34598,January,3,2019,Monthly,Final,26,1540,4.50%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33289,34808,February,3,2019,Monthly,Final,26,1519,4.40%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33116,34714,March,3,2019,Monthly,Final,26,1598,4.60%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33512,34720,April,3,2019,Monthly,Final,26,1208,3.50%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33545,34786,May,3,2019,Monthly,Final,26,1241,3.60%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33499,35001,June,3,2019,Monthly,Final,26,1502,4.30%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33418,34862,January,3,2020,Monthly,Final,26,1444,4.10%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33859,35124,February,3,2020,Monthly,Final,26,1265,3.60%
1,MI,Not Adj,73,"Isabella County, MI",County,4,32997,34263,March,3,2020,Monthly,Final,26,1266,3.70%
1,MI,Not Adj,73,"Isabella County, MI",County,4,26381,33802,April,3,2020,Monthly,Final,26,7421,22.00%
1,MI,Not Adj,73,"Isabella County, MI",County,4,29873,36153,May,3,2020,Monthly,Preliminary,26,6280,17.40%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33182,34945,July,3,2019,Monthly,Final,26,1763,5.00%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33342,34678,August,3,2019,Monthly,Final,26,1336,3.90%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33540,34691,September,3,2019,Monthly,Final,26,1151,3.30%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33596,34601,October,3,2019,Monthly,Final,26,1005,2.90%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33756,34737,November,3,2019,Monthly,Final,26,981,2.80%
1,MI,Not Adj,73,"Isabella County, MI",County,4,33430,34613,December,3,2019,Monthly,Final,26,1183,3.40%
1,MI,Not Adj,75,"Jackson County, MI",County,4,70762,74158,January,3,2019,Monthly,Final,26,3396,4.60%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71418,74632,February,3,2019,Monthly,Final,26,3214,4.30%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71640,74845,March,3,2019,Monthly,Final,26,3205,4.30%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71799,74315,April,3,2019,Monthly,Final,26,2516,3.40%
1,MI,Not Adj,75,"Jackson County, MI",County,4,72195,74728,May,3,2019,Monthly,Final,26,2533,3.40%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71759,74817,June,3,2019,Monthly,Final,26,3058,4.10%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71341,74238,January,3,2020,Monthly,Final,26,2897,3.90%
1,MI,Not Adj,75,"Jackson County, MI",County,4,72487,75042,February,3,2020,Monthly,Final,26,2555,3.40%
1,MI,Not Adj,75,"Jackson County, MI",County,4,70591,73061,March,3,2020,Monthly,Final,26,2470,3.40%
1,MI,Not Adj,75,"Jackson County, MI",County,4,54265,71979,April,3,2020,Monthly,Final,26,17714,24.60%
1,MI,Not Adj,75,"Jackson County, MI",County,4,61641,77077,May,3,2020,Monthly,Preliminary,26,15436,20.00%
1,MI,Not Adj,75,"Jackson County, MI",County,4,70443,74064,July,3,2019,Monthly,Final,26,3621,4.90%
1,MI,Not Adj,75,"Jackson County, MI",County,4,70847,73669,August,3,2019,Monthly,Final,26,2822,3.80%
1,MI,Not Adj,75,"Jackson County, MI",County,4,70668,72954,September,3,2019,Monthly,Final,26,2286,3.10%
1,MI,Not Adj,75,"Jackson County, MI",County,4,70947,73197,October,3,2019,Monthly,Final,26,2250,3.10%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71956,74151,November,3,2019,Monthly,Final,26,2195,3.00%
1,MI,Not Adj,75,"Jackson County, MI",County,4,71582,73961,December,3,2019,Monthly,Final,26,2379,3.20%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,128338,133284,January,3,2019,Monthly,Final,26,4946,3.70%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,129875,134532,February,3,2019,Monthly,Final,26,4657,3.50%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,129871,134833,March,3,2019,Monthly,Final,26,4962,3.70%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,129624,133506,April,3,2019,Monthly,Final,26,3882,2.90%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,129306,133510,May,3,2019,Monthly,Final,26,4204,3.10%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,129525,134354,June,3,2019,Monthly,Final,26,4829,3.60%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,129586,133818,January,3,2020,Monthly,Final,26,4232,3.20%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,132295,135993,February,3,2020,Monthly,Final,26,3698,2.70%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,128173,131892,March,3,2020,Monthly,Final,26,3719,2.80%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,101575,122798,April,3,2020,Monthly,Final,26,21223,17.30%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,112273,132478,May,3,2020,Monthly,Preliminary,26,20205,15.30%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,126956,132780,July,3,2019,Monthly,Final,26,5824,4.40%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,127985,132661,August,3,2019,Monthly,Final,26,4676,3.50%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,128632,132591,September,3,2019,Monthly,Final,26,3959,3.00%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,130000,133751,October,3,2019,Monthly,Final,26,3751,2.80%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,131372,134891,November,3,2019,Monthly,Final,26,3519,2.60%
1,MI,Not Adj,77,"Kalamazoo County, MI",County,4,130309,133921,December,3,2019,Monthly,Final,26,3612,2.70%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7095,7744,January,3,2019,Monthly,Final,26,649,8.40%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7128,7748,February,3,2019,Monthly,Final,26,620,8.00%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7110,7710,March,3,2019,Monthly,Final,26,600,7.80%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7197,7658,April,3,2019,Monthly,Final,26,461,6.00%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7525,7887,May,3,2019,Monthly,Final,26,362,4.60%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7885,8311,June,3,2019,Monthly,Final,26,426,5.10%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7275,7860,January,3,2020,Monthly,Final,26,585,7.40%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7375,7885,February,3,2020,Monthly,Final,26,510,6.50%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7192,7653,March,3,2020,Monthly,Final,26,461,6.00%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,5786,8097,April,3,2020,Monthly,Final,26,2311,28.50%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,6638,8553,May,3,2020,Monthly,Preliminary,26,1915,22.40%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,8036,8503,July,3,2019,Monthly,Final,26,467,5.50%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7917,8294,August,3,2019,Monthly,Final,26,377,4.50%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7579,7884,September,3,2019,Monthly,Final,26,305,3.90%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7528,7821,October,3,2019,Monthly,Final,26,293,3.70%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7461,7816,November,3,2019,Monthly,Final,26,355,4.50%
1,MI,Not Adj,79,"Kalkaska County, MI",County,4,7380,7836,December,3,2019,Monthly,Final,26,456,5.80%
1,MI,Not Adj,81,"Kent County, MI",County,4,347313,359239,January,3,2019,Monthly,Final,26,11926,3.30%
1,MI,Not Adj,81,"Kent County, MI",County,4,350899,362068,February,3,2019,Monthly,Final,26,11169,3.10%
1,MI,Not Adj,81,"Kent County, MI",County,4,350291,361986,March,3,2019,Monthly,Final,26,11695,3.20%
1,MI,Not Adj,81,"Kent County, MI",County,4,349868,358971,April,3,2019,Monthly,Final,26,9103,2.50%
1,MI,Not Adj,81,"Kent County, MI",County,4,351533,361569,May,3,2019,Monthly,Final,26,10036,2.80%
1,MI,Not Adj,81,"Kent County, MI",County,4,353191,364887,June,3,2019,Monthly,Final,26,11696,3.20%
1,MI,Not Adj,81,"Kent County, MI",County,4,349608,359770,January,3,2020,Monthly,Final,26,10162,2.80%
1,MI,Not Adj,81,"Kent County, MI",County,4,356838,365532,February,3,2020,Monthly,Final,26,8694,2.40%
1,MI,Not Adj,81,"Kent County, MI",County,4,348007,356891,March,3,2020,Monthly,Final,26,8884,2.50%
1,MI,Not Adj,81,"Kent County, MI",County,4,264763,336464,April,3,2020,Monthly,Final,26,71701,21.30%
1,MI,Not Adj,81,"Kent County, MI",County,4,298571,360955,May,3,2020,Monthly,Preliminary,26,62384,17.30%
1,MI,Not Adj,81,"Kent County, MI",County,4,347427,361442,July,3,2019,Monthly,Final,26,14015,3.90%
1,MI,Not Adj,81,"Kent County, MI",County,4,349072,360011,August,3,2019,Monthly,Final,26,10939,3.00%
1,MI,Not Adj,81,"Kent County, MI",County,4,346580,355687,September,3,2019,Monthly,Final,26,9107,2.60%
1,MI,Not Adj,81,"Kent County, MI",County,4,348499,356789,October,3,2019,Monthly,Final,26,8290,2.30%
1,MI,Not Adj,81,"Kent County, MI",County,4,351206,359449,November,3,2019,Monthly,Final,26,8243,2.30%
1,MI,Not Adj,81,"Kent County, MI",County,4,348545,356995,December,3,2019,Monthly,Final,26,8450,2.40%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,777,850,January,3,2019,Monthly,Final,26,73,8.60%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,854,919,February,3,2019,Monthly,Final,26,65,7.10%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,837,909,March,3,2019,Monthly,Final,26,72,7.90%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,828,903,April,3,2019,Monthly,Final,26,75,8.30%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,786,850,May,3,2019,Monthly,Final,26,64,7.50%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,798,870,June,3,2019,Monthly,Final,26,72,8.30%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,783,841,January,3,2020,Monthly,Final,26,58,6.90%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,862,911,February,3,2020,Monthly,Final,26,49,5.40%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,830,881,March,3,2020,Monthly,Final,26,51,5.80%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,711,883,April,3,2020,Monthly,Final,26,172,19.50%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,759,916,May,3,2020,Monthly,Preliminary,26,157,17.10%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,801,865,July,3,2019,Monthly,Final,26,64,7.40%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,799,852,August,3,2019,Monthly,Final,26,53,6.20%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,851,890,September,3,2019,Monthly,Final,26,39,4.40%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,860,894,October,3,2019,Monthly,Final,26,34,3.80%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,850,905,November,3,2019,Monthly,Final,26,55,6.10%
1,MI,Not Adj,83,"Keweenaw County, MI",County,4,838,906,December,3,2019,Monthly,Final,26,68,7.50%
1,MI,Not Adj,85,"Lake County, MI",County,4,3629,3862,February,3,2020,Monthly,Final,26,233,6.00%
1,MI,Not Adj,85,"Lake County, MI",County,4,3566,3776,March,3,2020,Monthly,Final,26,210,5.60%
1,MI,Not Adj,85,"Lake County, MI",County,4,2343,3357,April,3,2020,Monthly,Final,26,1014,30.20%
1,MI,Not Adj,85,"Lake County, MI",County,4,3006,3843,May,3,2020,Monthly,Preliminary,26,837,21.80%
1,MI,Not Adj,85,"Lake County, MI",County,4,3518,3748,August,3,2019,Monthly,Final,26,230,6.10%
1,MI,Not Adj,85,"Lake County, MI",County,4,3482,3669,September,3,2019,Monthly,Final,26,187,5.10%
1,MI,Not Adj,85,"Lake County, MI",County,4,3666,3831,October,3,2019,Monthly,Final,26,165,4.30%
1,MI,Not Adj,85,"Lake County, MI",County,4,3626,3824,November,3,2019,Monthly,Final,26,198,5.20%
1,MI,Not Adj,85,"Lake County, MI",County,4,3565,3786,December,3,2019,Monthly,Final,26,221,5.80%
1,MI,Not Adj,85,"Lake County, MI",County,4,3576,3850,January,3,2020,Monthly,Final,26,274,7.10%
1,MI,Not Adj,85,"Lake County, MI",County,4,3319,3604,February,3,2019,Monthly,Final,26,285,7.90%
1,MI,Not Adj,85,"Lake County, MI",County,4,3329,3613,March,3,2019,Monthly,Final,26,284,7.90%
1,MI,Not Adj,85,"Lake County, MI",County,4,3360,3591,April,3,2019,Monthly,Final,26,231,6.40%
1,MI,Not Adj,85,"Lake County, MI",County,4,3460,3679,May,3,2019,Monthly,Final,26,219,6.00%
1,MI,Not Adj,85,"Lake County, MI",County,4,3526,3772,June,3,2019,Monthly,Final,26,246,6.50%
1,MI,Not Adj,85,"Lake County, MI",County,4,3506,3778,July,3,2019,Monthly,Final,26,272,7.20%
1,MI,Not Adj,85,"Lake County, MI",County,4,3308,3614,January,3,2019,Monthly,Final,26,306,8.50%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39125,41485,February,3,2020,Monthly,Final,26,2360,5.70%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39147,41900,March,3,2020,Monthly,Final,26,2753,6.60%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,27326,39178,April,3,2020,Monthly,Final,26,11852,30.30%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,28261,38523,May,3,2020,Monthly,Preliminary,26,10262,26.60%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39652,41804,August,3,2019,Monthly,Final,26,2152,5.10%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39784,41561,September,3,2019,Monthly,Final,26,1777,4.30%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39765,41632,October,3,2019,Monthly,Final,26,1867,4.50%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39393,41036,November,3,2019,Monthly,Final,26,1643,4.00%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39344,41625,December,3,2019,Monthly,Final,26,2281,5.50%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,38951,41673,January,3,2020,Monthly,Final,26,2722,6.50%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,38925,41638,February,3,2019,Monthly,Final,26,2713,6.50%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,38956,41775,March,3,2019,Monthly,Final,26,2819,6.70%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,38795,40795,April,3,2019,Monthly,Final,26,2000,4.90%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39143,41041,May,3,2019,Monthly,Final,26,1898,4.60%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39298,41507,June,3,2019,Monthly,Final,26,2209,5.30%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,39660,42260,July,3,2019,Monthly,Final,26,2600,6.20%
1,MI,Not Adj,87,"Lapeer County, MI",County,4,38565,41531,January,3,2019,Monthly,Final,26,2966,7.10%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9569,10133,January,3,2019,Monthly,Final,26,564,5.60%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9633,10211,February,3,2019,Monthly,Final,26,578,5.70%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9609,10194,March,3,2019,Monthly,Final,26,585,5.70%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9732,10133,April,3,2019,Monthly,Final,26,401,4.00%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10202,10546,May,3,2019,Monthly,Final,26,344,3.30%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10675,11038,June,3,2019,Monthly,Final,26,363,3.30%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9778,10227,January,3,2020,Monthly,Final,26,449,4.40%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9950,10353,February,3,2020,Monthly,Final,26,403,3.90%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9721,10138,March,3,2020,Monthly,Final,26,417,4.10%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,7887,10108,April,3,2020,Monthly,Final,26,2221,22.00%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9046,10909,May,3,2020,Monthly,Preliminary,26,1863,17.10%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10918,11317,July,3,2019,Monthly,Final,26,399,3.50%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10751,11088,August,3,2019,Monthly,Final,26,337,3.00%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10311,10589,September,3,2019,Monthly,Final,26,278,2.60%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10215,10453,October,3,2019,Monthly,Final,26,238,2.30%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,10090,10364,November,3,2019,Monthly,Final,26,274,2.60%
1,MI,Not Adj,89,"Leelanau County, MI",County,4,9957,10295,December,3,2019,Monthly,Final,26,338,3.30%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,43777,45949,January,3,2019,Monthly,Final,26,2172,4.70%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44809,46863,February,3,2019,Monthly,Final,26,2054,4.40%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44561,46609,March,3,2019,Monthly,Final,26,2048,4.40%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44952,46510,April,3,2019,Monthly,Final,26,1558,3.30%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44949,46593,May,3,2019,Monthly,Final,26,1644,3.50%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44802,46655,June,3,2019,Monthly,Final,26,1853,4.00%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44121,46087,January,3,2020,Monthly,Final,26,1966,4.30%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,45393,47006,February,3,2020,Monthly,Final,26,1613,3.40%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44101,45671,March,3,2020,Monthly,Final,26,1570,3.40%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,31321,43542,April,3,2020,Monthly,Final,26,12221,28.10%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,36259,46752,May,3,2020,Monthly,Preliminary,26,10493,22.40%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44085,46372,July,3,2019,Monthly,Final,26,2287,4.90%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44648,46367,August,3,2019,Monthly,Final,26,1719,3.70%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44677,46094,September,3,2019,Monthly,Final,26,1417,3.10%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44388,46371,October,3,2019,Monthly,Final,26,1983,4.30%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,45380,46753,November,3,2019,Monthly,Final,26,1373,2.90%
1,MI,Not Adj,91,"Lenawee County, MI",County,4,44923,46306,December,3,2019,Monthly,Final,26,1383,3.00%
1,MI,Not Adj,93,"Livingston County, MI",County,4,99156,103035,January,3,2019,Monthly,Final,26,3879,3.80%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100057,103910,February,3,2019,Monthly,Final,26,3853,3.70%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100048,104109,March,3,2019,Monthly,Final,26,4061,3.90%
1,MI,Not Adj,93,"Livingston County, MI",County,4,99594,102603,April,3,2019,Monthly,Final,26,3009,2.90%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100407,103435,May,3,2019,Monthly,Final,26,3028,2.90%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100779,104271,June,3,2019,Monthly,Final,26,3492,3.30%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100134,103408,January,3,2020,Monthly,Final,26,3274,3.20%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100570,103681,February,3,2020,Monthly,Final,26,3111,3.00%
1,MI,Not Adj,93,"Livingston County, MI",County,4,100542,104406,March,3,2020,Monthly,Final,26,3864,3.70%
1,MI,Not Adj,93,"Livingston County, MI",County,4,69950,89264,April,3,2020,Monthly,Final,26,19314,21.60%
1,MI,Not Adj,93,"Livingston County, MI",County,4,72314,90012,May,3,2020,Monthly,Preliminary,26,17698,19.70%
1,MI,Not Adj,93,"Livingston County, MI",County,4,101522,105498,July,3,2019,Monthly,Final,26,3976,3.80%
1,MI,Not Adj,93,"Livingston County, MI",County,4,101478,105225,August,3,2019,Monthly,Final,26,3747,3.60%
1,MI,Not Adj,93,"Livingston County, MI",County,4,101907,105180,September,3,2019,Monthly,Final,26,3273,3.10%
1,MI,Not Adj,93,"Livingston County, MI",County,4,101938,105143,October,3,2019,Monthly,Final,26,3205,3.00%
1,MI,Not Adj,93,"Livingston County, MI",County,4,101199,104014,November,3,2019,Monthly,Final,26,2815,2.70%
1,MI,Not Adj,93,"Livingston County, MI",County,4,101131,104219,December,3,2019,Monthly,Final,26,3088,3.00%
1,MI,Not Adj,95,"Luce County, MI",County,4,2134,2322,January,3,2019,Monthly,Final,26,188,8.10%
1,MI,Not Adj,95,"Luce County, MI",County,4,2167,2340,February,3,2019,Monthly,Final,26,173,7.40%
1,MI,Not Adj,95,"Luce County, MI",County,4,2140,2309,March,3,2019,Monthly,Final,26,169,7.30%
1,MI,Not Adj,95,"Luce County, MI",County,4,2061,2228,April,3,2019,Monthly,Final,26,167,7.50%
1,MI,Not Adj,95,"Luce County, MI",County,4,2107,2245,May,3,2019,Monthly,Final,26,138,6.10%
1,MI,Not Adj,95,"Luce County, MI",County,4,2252,2391,June,3,2019,Monthly,Final,26,139,5.80%
1,MI,Not Adj,95,"Luce County, MI",County,4,2126,2285,January,3,2020,Monthly,Final,26,159,7.00%
1,MI,Not Adj,95,"Luce County, MI",County,4,2166,2301,February,3,2020,Monthly,Final,26,135,5.90%
1,MI,Not Adj,95,"Luce County, MI",County,4,2123,2254,March,3,2020,Monthly,Final,26,131,5.80%
1,MI,Not Adj,95,"Luce County, MI",County,4,1802,2249,April,3,2020,Monthly,Final,26,447,19.90%
1,MI,Not Adj,95,"Luce County, MI",County,4,2084,2448,May,3,2020,Monthly,Preliminary,26,364,14.90%
1,MI,Not Adj,95,"Luce County, MI",County,4,2299,2442,July,3,2019,Monthly,Final,26,143,5.90%
1,MI,Not Adj,95,"Luce County, MI",County,4,2292,2426,August,3,2019,Monthly,Final,26,134,5.50%
1,MI,Not Adj,95,"Luce County, MI",County,4,2204,2301,September,3,2019,Monthly,Final,26,97,4.20%
1,MI,Not Adj,95,"Luce County, MI",County,4,2171,2259,October,3,2019,Monthly,Final,26,88,3.90%
1,MI,Not Adj,95,"Luce County, MI",County,4,2127,2257,November,3,2019,Monthly,Final,26,130,5.80%
1,MI,Not Adj,95,"Luce County, MI",County,4,2107,2262,December,3,2019,Monthly,Final,26,155,6.90%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3527,4537,January,3,2019,Monthly,Final,26,1010,22.30%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3588,4564,February,3,2019,Monthly,Final,26,976,21.40%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3601,4536,March,3,2019,Monthly,Final,26,935,20.60%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3791,4429,April,3,2019,Monthly,Final,26,638,14.40%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,5208,5414,May,3,2019,Monthly,Final,26,206,3.80%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,5785,5981,June,3,2019,Monthly,Final,26,196,3.30%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3469,4351,January,3,2020,Monthly,Final,26,882,20.30%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3552,4324,February,3,2020,Monthly,Final,26,772,17.90%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3484,4190,March,3,2020,Monthly,Final,26,706,16.80%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,2703,4351,April,3,2020,Monthly,Final,26,1648,37.90%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3215,4614,May,3,2020,Monthly,Preliminary,26,1399,30.30%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,6162,6375,July,3,2019,Monthly,Final,26,213,3.30%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,6100,6288,August,3,2019,Monthly,Final,26,188,3.00%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,5619,5765,September,3,2019,Monthly,Final,26,146,2.50%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,5186,5322,October,3,2019,Monthly,Final,26,136,2.60%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3821,4221,November,3,2019,Monthly,Final,26,400,9.50%
1,MI,Not Adj,97,"Mackinac County, MI",County,4,3486,4188,December,3,2019,Monthly,Final,26,702,16.80%
1,MI,Not Adj,99,"Macomb County, MI",County,4,431762,448162,February,3,2020,Monthly,Final,26,16400,3.70%
1,MI,Not Adj,99,"Macomb County, MI",County,4,431443,452204,March,3,2020,Monthly,Final,26,20761,4.60%
1,MI,Not Adj,99,"Macomb County, MI",County,4,299135,410102,April,3,2020,Monthly,Final,26,110967,27.10%
1,MI,Not Adj,99,"Macomb County, MI",County,4,309117,414245,May,3,2020,Monthly,Preliminary,26,105128,25.40%
1,MI,Not Adj,99,"Macomb County, MI",County,4,434467,455437,August,3,2019,Monthly,Final,26,20970,4.60%
1,MI,Not Adj,99,"Macomb County, MI",County,4,436149,453633,September,3,2019,Monthly,Final,26,17484,3.90%
1,MI,Not Adj,99,"Macomb County, MI",County,4,436744,454616,October,3,2019,Monthly,Final,26,17872,3.90%
1,MI,Not Adj,99,"Macomb County, MI",County,4,433993,449612,November,3,2019,Monthly,Final,26,15619,3.50%
1,MI,Not Adj,99,"Macomb County, MI",County,4,434047,450438,December,3,2019,Monthly,Final,26,16391,3.60%
1,MI,Not Adj,99,"Macomb County, MI",County,4,430494,451659,January,3,2020,Monthly,Final,26,21165,4.70%
1,MI,Not Adj,99,"Macomb County, MI",County,4,429387,449023,February,3,2019,Monthly,Final,26,19636,4.40%
1,MI,Not Adj,99,"Macomb County, MI",County,4,429523,450368,March,3,2019,Monthly,Final,26,20845,4.60%
