Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
March,Greenville,"258,732","252,042","6,690",2.60%,No
March,Greenwood,"31,597","30,499","1,098",3.50%,No
March,Hampton,"8,431","8,190",241,2.90%,No
March,Horry,"149,105","143,233","5,872",3.90%,No
March,Jasper,"12,911","12,576",335,2.60%,No
March,Kershaw,"29,817","28,830",987,3.30%,No
March,Lancaster,"42,034","40,501","1,533",3.60%,No
March,Laurens,"30,624","29,624","1,000",3.30%,No
March,Lee,"6,722","6,377",345,5.10%,No
March,Lexington,"152,742","149,016","3,726",2.40%,No
March,Marion,"13,012","12,425",587,4.50%,No
March,Marlboro,"9,246","8,798",448,4.80%,No
March,McCormick,"3,393","3,256",137,4.00%,No
March,Newberry,"19,038","18,502",536,2.80%,No
March,Oconee,"35,468","34,454","1,014",2.90%,No
March,Orangeburg,"35,459","33,742","1,717",4.80%,No
March,Pickens,"58,314","56,594","1,720",2.90%,No
March,Richland,"202,793","197,020","5,773",2.80%,No
March,Saluda,"8,903","8,647",256,2.90%,No
March,Spartanburg,"156,207","151,913","4,294",2.70%,No
March,Sumter,"44,621","42,953","1,668",3.70%,No
March,Union,"11,921","11,447",474,4.00%,No
March,Williamsburg,"12,115","11,515",600,5.00%,No
March,York,"142,802","138,675","4,127",2.90%,No
February,Abbeville,"10,135","9,761",374,3.70%,No
February,Aiken,"75,719","73,387","2,332",3.10%,No
February,Allendale,"2,705","2,530",175,6.50%,No
February,Anderson,"92,313","89,639","2,674",2.90%,No
February,Bamberg,"5,011","4,723",288,5.70%,No
February,Barnwell,"8,274","7,890",384,4.60%,No
February,Beaufort,"78,918","76,709","2,209",2.80%,No
February,Berkeley,"105,429","102,563","2,866",2.70%,No
February,Calhoun,"6,687","6,453",234,3.50%,No
February,Charleston,"214,939","209,712","5,227",2.40%,No
February,Cherokee,"25,323","24,463",860,3.40%,No
February,Chester,"13,625","13,031",594,4.40%,No
February,Chesterfield,"22,305","21,607",698,3.10%,No
February,Clarendon,"12,797","12,263",534,4.20%,No
February,Colleton,"16,920","16,346",574,3.40%,No
February,Darlington,"30,392","29,351","1,041",3.40%,No
February,Dillon,"13,309","12,732",577,4.30%,No
February,Dorchester,"79,178","77,110","2,068",2.60%,No
February,Edgefield,"10,872","10,545",327,3.00%,No
February,Fairfield,"9,750","9,301",449,4.60%,No
February,Florence,"67,084","65,024","2,060",3.10%,No
February,Georgetown,"25,769","24,686","1,083",4.20%,No
February,Greenville,"257,896","251,124","6,772",2.60%,No
February,Greenwood,"31,571","30,468","1,103",3.50%,No
February,Hampton,"8,467","8,217",250,3.00%,No
February,Horry,"147,606","141,363","6,243",4.20%,No
February,Jasper,"12,977","12,630",347,2.70%,No
February,Kershaw,"29,769","28,765","1,004",3.40%,No
February,Lancaster,"41,982","40,464","1,518",3.60%,No
February,Laurens,"30,618","29,624",994,3.20%,No
February,Lee,"6,718","6,363",355,5.30%,No
February,Lexington,"152,218","148,460","3,758",2.50%,No
February,Marion,"12,950","12,363",587,4.50%,No
February,Marlboro,"9,223","8,788",435,4.70%,No
February,McCormick,"3,446","3,303",143,4.10%,No
February,Newberry,"19,364","18,814",550,2.80%,No
February,Oconee,"35,400","34,356","1,044",2.90%,No
February,Orangeburg,"35,556","33,862","1,694",4.80%,No
February,Pickens,"58,179","56,460","1,719",3.00%,No
February,Richland,"201,174","195,433","5,741",2.90%,No
February,Saluda,"9,059","8,805",254,2.80%,No
February,Spartanburg,"154,756","150,474","4,282",2.80%,No
February,Sumter,"44,352","42,722","1,630",3.70%,No
February,Union,"11,811","11,354",457,3.90%,No
February,Williamsburg,"12,128","11,530",598,4.90%,No
February,York,"142,455","138,377","4,078",2.90%,No
February,South Carolina,"2,397,123","2,323,944","73,179",3.10%,No
March,South Carolina,"2,403,025","2,330,172","72,853",3.00%,No
April,South Carolina,"2,370,275","2,081,253","289,022",12.20%,No
May,South Carolina,"2,427,358","2,132,042","295,316",12.20%,Yes
June,South Carolina,"2,462,989","2,243,820","219,169",8.90%,
June,Abbeville,"10,440","9,448",992,9.5%,Yes
June,Aiken,"76,324","70,996","5,328",7.0%,Yes
June,Allendale,"2,700","2,383",317,11.7%,Yes
June,Anderson,"95,081","86,941","8,140",8.6%,Yes
June,Bamberg,"5,162","4,543",619,12.0%,Yes
June,Barnwell,"8,239","7,491",748,9.1%,Yes
June,Beaufort,"82,372","76,246","6,126",7.4%,Yes
June,Berkeley,"106,504","97,661","8,843",8.3%,Yes
June,Calhoun,"6,731","6,146",585,8.7%,Yes
June,Charleston,"219,754","198,915","20,839",9.5%,Yes
June,Cherokee,"27,039","24,058","2,981",11.0%,Yes
June,Chester,"14,138","12,281","1,857",13.1%,Yes
June,Chesterfield,"22,813","20,846","1,967",8.6%,Yes
June,Clarendon,"13,147","11,958","1,189",9.0%,Yes
June,Colleton,"17,353","15,924","1,429",8.2%,Yes
June,Darlington,"32,444","29,480","2,964",9.1%,Yes
June,Dillon,"13,523","12,457","1,066",7.9%,Yes
June,Dorchester,"80,361","73,367","6,994",8.7%,Yes
June,Edgefield,"10,887","10,115",772,7.1%,Yes
June,Fairfield,"9,959","8,891","1,068",10.7%,Yes
June,Florence,"70,743","65,356","5,387",7.6%,Yes
June,Georgetown,"27,324","24,570","2,754",10.1%,Yes
June,Greenville,"265,940","243,716","22,224",8.4%,Yes
June,Greenwood,"32,436","29,527","2,909",9.0%,Yes
June,Hampton,"8,643","8,024",619,7.2%,Yes
June,Horry,"157,430","139,549","17,881",11.4%,Yes
June,Jasper,"13,349","12,373",976,7.3%,Yes
June,Kershaw,"29,726","27,502","2,224",7.5%,Yes
June,Lancaster,"42,601","38,102","4,499",10.6%,Yes
June,Laurens,"31,733","28,648","3,085",9.7%,Yes
June,Lee,"6,912","6,208",704,10.2%,Yes
June,Lexington,"151,999","142,123","9,876",6.5%,Yes
June,Marion,"13,633","12,188","1,445",10.6%,Yes
June,Marlboro,"9,911","8,523","1,388",14.0%,Yes
June,McCormick,"3,479","3,154",325,9.3%,Yes
June,Newberry,"19,178","17,899","1,279",6.7%,Yes
June,Oconee,"36,246","33,515","2,731",7.5%,Yes
June,Orangeburg,"37,214","32,722","4,492",12.1%,Yes
June,Pickens,"59,299","54,717","4,582",7.7%,Yes
June,Richland,"205,581","187,839","17,742",8.6%,Yes
June,Saluda,"8,820","8,272",548,6.2%,Yes
June,Spartanburg,"160,476","144,572","15,904",9.9%,Yes
June,Sumter,"45,883","41,978","3,905",8.5%,Yes
June,Union,"12,540","10,894","1,646",13.1%,Yes
June,Williamsburg,"12,654","11,279","1,375",10.9%,Yes
June,York,"144,273","130,424","13,849",9.6%,Yes
