weekEnding,county,claims
1/26/19,Nodaway,5
1/26/19,Dunklin,27
1/26/19,Howell,14
1/26/19,Andrew,10
1/26/19,New Madrid,10
1/26/19,Reynolds,2
1/26/19,Laclede,25
1/26/19,Iron,10
1/26/19,Pike,23
1/26/19,Caldwell,11
1/26/19,Washington,45
1/26/19,Butler,26
1/26/19,Adair,13
1/26/19,Pemiscot,3
1/26/19,Scotland,2
1/26/19,Cape Girardeau,49
1/19/19,Shannon,6
1/19/19,Webster,17
1/19/19,Andrew,9
1/19/19,Jackson,512
1/19/19,Livingston,8
1/19/19,DeKalb,6
1/19/19,Scott,24
1/19/19,Clinton,19
1/19/19,Dade,6
1/19/19,Wayne,10
1/19/19,Iron,9
1/19/19,Franklin,150
1/19/19,Ralls,12
1/19/19,Gasconade,20
1/19/19,Pike,23
1/19/19,Bollinger,8
1/19/19,Johnson,43
1/19/19,Mississippi,6
1/19/19,Clark,4
1/19/19,Shelby,6
1/19/19,Putnam,1
1/19/19,Marion,21
1/19/19,Pemiscot,7
1/19/19,Greene,135
1/19/19,Ripley,11
1/19/19,St. Louis City,236
1/19/19,Worth,1
1/19/19,Audrain,14
1/19/19,Pettis,38
1/19/19,Gentry,4
1/19/19,Howell,30
1/19/19,Jefferson,304
1/19/19,St. Louis,636
1/19/19,Vernon,5
1/19/19,Taney,354
1/19/19,Henry,24
1/19/19,Clay,131
1/19/19,Phelps,38
1/19/19,Lincoln,112
1/19/19,Carter,4
1/19/19,Ozark,9
1/19/19,Dunklin,27
1/19/19,Callaway,44
1/19/19,Barton,4
1/19/19,Dallas,8
1/19/19,Bates,20
1/19/19,St. Clair,6
1/19/19,Cooper,28
1/19/19,Randolph,26
1/19/19,Holt,3
1/19/19,Moniteau,27
1/19/19,Lewis,3
1/19/19,Newton,16
1/19/19,Grundy,7
1/19/19,Scotland,4
1/19/19,Linn,14
1/19/19,Saline,18
1/19/19,Carroll,19
1/19/19,Perry,8
1/19/19,Laclede,28
1/19/19,Boone,90
1/19/19,Benton,10
1/19/19,Sullivan,7
1/19/19,Reynolds,6
1/19/19,Cole,68
1/19/19,Barry,12
1/19/19,Warren,47
1/19/19,Knox,1
1/19/19,Christian,45
1/19/19,Macon,15
1/19/19,Texas,27
1/19/19,Crawford,37
1/19/19,Hickory,4
1/19/19,Schuyler,1
1/19/19,Miller,39
1/19/19,St. Charles,273
1/19/19,Morgan,8
1/19/19,Douglas,13
1/19/19,Washington,43
1/19/19,Chariton,4
1/19/19,Wright,20
1/19/19,Montgomery,19
1/19/19,Camden,55
1/19/19,Nodaway,7
1/19/19,Cass,81
1/19/19,Buchanan,49
1/19/19,St. Francois,66
1/19/19,Cape Girardeau,38
1/19/19,Certified Mail,0
1/19/19,Lawrence,24
1/19/19,Oregon,3
1/19/19,Dent,5
1/19/19,Maries,13
1/19/19,Jasper,41
1/19/19,Harrison,4
1/19/19,Cedar,10
1/19/19,McDonald,9
1/19/19,Stone,106
1/19/19,Madison,7
1/19/19,Ray,27
1/19/19,New Madrid,9
1/19/19,Osage,20
1/19/19,Daviess,7
1/19/19,Platte,40
1/19/19,Adair,9
1/19/19,Polk,10
1/19/19,Pulaski,25
