weekEnding,county,claims
1/30/16,MERCER,1
1/30/16,DAVIESS,8
1/30/16,ST. FRANCOIS,80
1/30/16,CARTER,11
1/30/16,RANDOLPH,30
1/30/16,WEBSTER,27
1/30/16,GREENE,177
1/30/16,SCHUYLER,3
1/30/16,DEKALB,11
1/30/16,HENRY,18
1/30/16,STODDARD,45
1/30/16,CALLAWAY,51
1/30/16,OREGON,9
1/30/16,CASS,82
1/30/16,LINN,12
1/30/16,HOWARD,9
1/30/16,ADAIR,13
1/30/16,TANEY,189
1/30/16,JACKSON,604
1/30/16,WORTH,0
1/30/16,PHELPS,42
1/30/16,CLARK,4
1/30/16,CLINTON,27
1/30/16,ST. LOUIS CITY,295
1/30/16,MARIES,6
1/30/16,PEMISCOT,19
1/30/16,MACON,24
1/30/16,PUTNAM,1
1/30/16,KNOX,1
1/30/16,CRAWFORD,30
1/30/16,DADE,5
1/30/16,AUDRAIN,57
1/30/16,BUTLER,47
1/30/16,JEFFERSON,316
1/30/16,HARRISON,7
1/30/16,JASPER,76
1/30/16,ST. CHARLES,325
1/30/16,COLE,70
1/30/16,CAPE GIRARDEAU,75
1/30/16,LINCOLN,84
1/30/16,OSAGE,12
1/30/16,HOLT,4
1/30/16,NODAWAY,7
1/30/16,PERRY,19
1/30/16,CLAY,143
1/30/16,PIKE,22
1/30/16,ANDREW,13
1/30/16,RAY,20
1/30/16,JOHNSON,46
1/30/16,WRIGHT,10
1/30/16,ATCHISON,2
1/30/16,GRUNDY,12
1/30/16,FRANKLIN,145
1/30/16,SCOTT,57
1/30/16,BARRY,26
1/30/16,LAWRENCE,26
1/30/16,MCDONALD,9
1/30/16,MADISON,19
1/30/16,LIVINGSTON,12
1/30/16,GENTRY,3
1/30/16,CAMDEN,56
1/30/16,MILLER,46
1/30/16,WASHINGTON,40
1/30/16,STE. GENEVIEVE,28
1/30/16,BOONE,94
1/23/16,WARREN,57
1/23/16,SCHUYLER,3
1/23/16,CLAY,136
1/23/16,ANDREW,16
1/23/16,ST. LOUIS,875
1/23/16,PETTIS,51
1/23/16,AUDRAIN,28
1/23/16,REYNOLDS,6
1/23/16,JEFFERSON,370
1/23/16,RAY,25
1/23/16,MONROE,7
1/23/16,HOWARD,9
1/23/16,PULASKI,21
1/23/16,GENTRY,3
1/23/16,MILLER,50
1/23/16,NEWTON,36
1/23/16,PIKE,29
1/23/16,SHANNON,6
1/23/16,IRON,10
1/23/16,BARTON,4
1/23/16,BOONE,111
1/23/16,CALLAWAY,72
1/23/16,ST. FRANCOIS,86
1/23/16,CAPE GIRARDEAU,87
1/23/16,BUCHANAN,77
1/23/16,LAWRENCE,24
1/23/16,BATES,15
1/23/16,SULLIVAN,3
1/23/16,ST. LOUIS CITY,266
1/23/16,ATCHISON,4
1/23/16,KNOX,5
1/23/16,ST. CLAIR,10
1/23/16,SALINE,19
1/23/16,CAMDEN,84
1/23/16,HOLT,3
1/23/16,BUTLER,45
1/23/16,COLE,64
1/23/16,STONE,76
1/23/16,CASS,68
1/23/16,MORGAN,36
1/23/16,CHARITON,10
1/23/16,RIPLEY,16
1/23/16,MERCER,1
1/23/16,MCDONALD,10
1/23/16,STE. GENEVIEVE,29
1/23/16,CLARK,1
1/23/16,CALDWELL,7
1/23/16,MISSISSIPPI,43
1/23/16,DENT,13
1/23/16,ST. CHARLES,399
1/23/16,SCOTLAND,5
1/23/16,TEXAS,24
1/23/16,LINN,14
1/23/16,HARRISON,3
1/23/16,LIVINGSTON,18
1/23/16,LINCOLN,118
1/23/16,OREGON,3
1/23/16,WAYNE,16
1/23/16,VERNON,9
1/23/16,GASCONADE,21
1/23/16,STODDARD,61
1/23/16,CLINTON,20
1/23/16,DOUGLAS,14
1/23/16,RALLS,8
1/23/16,PHELPS,46
1/23/16,MACON,9
1/23/16,SCOTT,115
1/23/16,LACLEDE,30
1/23/16,GREENE,209
1/23/16,WRIGHT,13
1/23/16,FRANKLIN,162
1/23/16,COOPER,22
1/23/16,HICKORY,6
1/23/16,PERRY,27
1/23/16,MARION,20
1/23/16,DUNKLIN,71
1/23/16,MADISON,21
1/23/16,DEKALB,4
1/23/16,LAFAYETTE,20
1/23/16,BENTON,16
1/23/16,CARTER,7
1/23/16,NEW MADRID,117
1/23/16,WEBSTER,36
1/23/16,BOLLINGER,16
1/23/16,BARRY,19
1/23/16,RANDOLPH,27
1/23/16,DALLAS,16
1/23/16,OSAGE,13
1/23/16,MARIES,7
1/23/16,JASPER,72
1/23/16,JACKSON,562
1/23/16,CRAWFORD,63
1/23/16,GRUNDY,7
1/23/16,TANEY,263
1/23/16,PLATTE,53
1/23/16,OZARK,5
1/23/16,LEWIS,4
1/23/16,NODAWAY,16
1/23/16,ADAIR,18
1/23/16,CHRISTIAN,64
1/23/16,POLK,25
1/23/16,PUTNAM,1
1/23/16,WORTH,2
1/23/16,MONTGOMERY,21
1/23/16,JOHNSON,44
1/23/16,PEMISCOT,24
1/23/16,SHELBY,10
1/23/16,WASHINGTON,70
1/23/16,DADE,6
1/23/16,CARROLL,13
1/23/16,CEDAR,7
1/23/16,HENRY,30
1/23/16,HOWELL,43
1/23/16,DAVIESS,9
1/23/16,MONITEAU,38
1/16/16,LEWIS,4
1/16/16,ST. CLAIR,9
1/16/16,DAVIESS,4
1/16/16,COLE,70
1/16/16,PIKE,28
1/16/16,CEDAR,6
1/16/16,FRANKLIN,161
1/16/16,SULLIVAN,6
1/16/16,VERNON,11
1/16/16,PERRY,22
1/16/16,CALDWELL,9
1/16/16,NODAWAY,10
1/16/16,RAY,19
1/16/16,KNOX,1
1/16/16,SCOTT,68
1/16/16,GRUNDY,8
1/16/16,DADE,9
1/16/16,CAPE GIRARDEAU,77
1/16/16,AUDRAIN,25
1/16/16,BENTON,15
1/16/16,SHANNON,14
1/16/16,CRAWFORD,33
1/16/16,RANDOLPH,37
1/16/16,BATES,11
1/16/16,ANDREW,20
1/16/16,STODDARD,35
1/16/16,MONROE,16
1/16/16,MISSISSIPPI,14
1/16/16,OZARK,12
1/16/16,BARTON,8
1/16/16,HOWARD,7
1/16/16,WASHINGTON,59
1/16/16,JEFFERSON,373
1/16/16,DENT,11
1/16/16,PEMISCOT,21
1/16/16,LINN,11
1/16/16,MARIES,10
1/16/16,MADISON,19
1/16/16,MACON,18
1/16/16,LIVINGSTON,13
1/16/16,ST. LOUIS CITY,403
1/16/16,CLINTON,17
1/16/16,GENTRY,0
1/16/16,CHRISTIAN,96
1/16/16,ST. FRANCOIS,90
1/16/16,WAYNE,16
1/16/16,WRIGHT,13
1/16/16,PLATTE,47
1/16/16,BOONE,124
1/16/16,CLAY,159
1/16/16,PUTNAM,2
1/16/16,RALLS,15
1/16/16,HARRISON,2
1/16/16,MONTGOMERY,14
1/16/16,GASCONADE,19
1/16/16,WARREN,60
1/16/16,ST. CHARLES,357
1/16/16,HOLT,4
1/16/16,BARRY,33
1/16/16,ST. LOUIS,1116
1/16/16,NEW MADRID,30
1/16/16,CALLAWAY,53
1/16/16,COOPER,22
1/16/16,IRON,11
1/16/16,MERCER,6
1/16/16,PULASKI,32
1/16/16,REYNOLDS,5
1/16/16,LAWRENCE,32
1/16/16,TEXAS,36
1/16/16,TANEY,588
1/16/16,MCDONALD,9
1/16/16,JASPER,69
1/16/16,DEKALB,12
1/16/16,OREGON,4
1/16/16,CARTER,9
1/16/16,ATCHISON,5
1/16/16,HICKORY,9
1/16/16,STE. GENEVIEVE,35
1/16/16,SCHUYLER,6
1/16/16,PHELPS,46
1/16/16,LACLEDE,49
1/16/16,JOHNSON,44
1/16/16,LAFAYETTE,34
1/16/16,OSAGE,15
1/16/16,DOUGLAS,13
1/16/16,BOLLINGER,13
1/16/16,MONITEAU,22
1/16/16,NEWTON,31
1/16/16,MILLER,58
1/16/16,CASS,103
1/16/16,HOWELL,29
1/16/16,GREENE,232
1/16/16,WORTH,2
1/16/16,MARION,38
1/16/16,MORGAN,28
1/16/16,POLK,24
1/16/16,DALLAS,14
1/16/16,LINCOLN,130
1/16/16,STONE,169
1/16/16,WEBSTER,28
1/16/16,RIPLEY,15
1/16/16,SCOTLAND,3
1/16/16,BUCHANAN,104
1/16/16,DUNKLIN,46
1/16/16,CARROLL,14
1/16/16,BUTLER,39
1/16/16,PETTIS,48
1/16/16,SALINE,21
1/16/16,CHARITON,7
1/16/16,HENRY,20
1/16/16,JACKSON,754
1/16/16,SHELBY,3
1/16/16,CLARK,4
1/16/16,CAMDEN,78
1/16/16,ADAIR,41
1/9/16,MACON,16
1/9/16,STE. GENEVIEVE,47
1/9/16,LINCOLN,563
1/9/16,CLARK,6
1/9/16,TANEY,1178
1/9/16,CARROLL,19
1/9/16,SHELBY,7
1/9/16,PEMISCOT,34
1/9/16,BENTON,42
1/9/16,ANDREW,23
1/9/16,FRANKLIN,388
1/9/16,LACLEDE,114
1/9/16,CASS,155
1/9/16,JACKSON,998
1/9/16,BATES,26
1/9/16,HOWARD,14
1/9/16,CALDWELL,18
1/9/16,BUCHANAN,121
1/9/16,PULASKI,74
1/9/16,CALLAWAY,50
1/9/16,LIVINGSTON,29
1/9/16,PIKE,64
1/9/16,DOUGLAS,27
1/9/16,OZARK,16
1/9/16,ST. FRANCOIS,120
1/9/16,RIPLEY,26
1/9/16,HOLT,7
1/9/16,ST. LOUIS,2443
1/9/16,NEWTON,55
1/9/16,ATCHISON,4
1/9/16,GENTRY,3
1/9/16,MARIES,17
1/9/16,STONE,437
1/9/16,WARREN,288
1/9/16,CHARITON,10
1/9/16,BARTON,17
1/9/16,WEBSTER,59
1/9/16,MCDONALD,19
1/9/16,CARTER,15
1/9/16,PETTIS,92
1/9/16,SCOTLAND,10
1/9/16,MERCER,9
1/9/16,DADE,9
1/9/16,BOONE,175
1/9/16,OREGON,4
1/9/16,DAVIESS,9
1/9/16,GRUNDY,21
1/9/16,MARION,52
1/9/16,NEW MADRID,39
1/9/16,COOPER,38
1/9/16,MISSISSIPPI,26
1/9/16,JASPER,95
1/9/16,MONROE,15
1/9/16,GREENE,368
1/9/16,BUTLER,70
1/9/16,CEDAR,13
1/9/16,ST. CHARLES,1790
1/9/16,DUNKLIN,65
1/9/16,VERNON,18
1/9/16,RANDOLPH,33
1/9/16,DENT,23
1/9/16,KNOX,2
1/9/16,SCOTT,72
1/9/16,HENRY,50
1/9/16,DALLAS,29
1/9/16,BARRY,59
1/9/16,ADAIR,29
1/9/16,SCHUYLER,12
1/9/16,MILLER,87
1/9/16,IRON,25
1/9/16,BOLLINGER,25
1/9/16,STODDARD,77
1/9/16,POLK,32
1/9/16,PUTNAM,7
1/9/16,TEXAS,23
1/9/16,HARRISON,7
1/9/16,MONTGOMERY,73
1/9/16,MORGAN,40
1/9/16,HICKORY,14
1/9/16,PHELPS,59
1/9/16,CRAWFORD,69
1/9/16,LEWIS,14
1/9/16,GASCONADE,51
1/9/16,SALINE,37
1/9/16,PERRY,17
1/9/16,REYNOLDS,4
1/9/16,LAWRENCE,70
1/9/16,COLE,108
1/9/16,CAMDEN,112
1/9/16,CLINTON,32
1/9/16,RAY,42
1/9/16,WORTH,2
1/9/16,AUDRAIN,35
1/9/16,CHRISTIAN,185
1/9/16,PLATTE,106
1/9/16,HOWELL,50
1/9/16,MADISON,16
1/9/16,OSAGE,15
1/9/16,WAYNE,21
1/9/16,DEKALB,20
1/9/16,WASHINGTON,85
1/9/16,LINN,21
1/9/16,JEFFERSON,525
1/9/16,SULLIVAN,10
1/9/16,JOHNSON,73
1/9/16,ST. LOUIS CITY,629
1/9/16,CAPE GIRARDEAU,107
1/9/16,SHANNON,10
1/9/16,ST. CLAIR,10
1/9/16,WRIGHT,40
1/9/16,CLAY,250
1/9/16,RALLS,21
1/9/16,LAFAYETTE,68
1/9/16,NODAWAY,30
1/9/16,MONITEAU,28
1/2/16,GREENE,163
1/2/16,RANDOLPH,23
1/2/16,ATCHISON,1
1/2/16,DALLAS,41
1/2/16,JEFFERSON,374
1/2/16,NEWTON,57
1/2/16,ST. FRANCOIS,103
1/2/16,OREGON,17
1/2/16,MONROE,9
1/2/16,GASCONADE,29
1/2/16,WORTH,1
1/2/16,RAY,34
1/2/16,CRAWFORD,46
1/2/16,BARTON,7
1/2/16,MERCER,3
1/2/16,ST. CLAIR,7
1/2/16,VERNON,20
1/2/16,BENTON,41
1/2/16,ST. CHARLES,475
1/2/16,WRIGHT,55
1/2/16,LINN,32
1/2/16,PLATTE,75
1/2/16,STODDARD,87
1/2/16,CALDWELL,7
1/2/16,WAYNE,34
1/2/16,KNOX,6
1/2/16,NODAWAY,39
1/2/16,HARRISON,8
1/2/16,HICKORY,6
1/2/16,ST. LOUIS CITY,326
1/2/16,SHANNON,10
1/2/16,SALINE,23
1/2/16,MILLER,61
1/2/16,STONE,140
1/2/16,IRON,21
1/2/16,HOWELL,101
1/2/16,MONTGOMERY,46
1/2/16,TANEY,366
1/2/16,LEWIS,8
1/2/16,FRANKLIN,219
1/2/16,PULASKI,80
1/2/16,MARIES,9
1/2/16,PIKE,38
1/2/16,JACKSON,699
1/2/16,CAMDEN,91
1/2/16,WARREN,118
1/2/16,RALLS,14
1/2/16,PETTIS,71
1/2/16,DADE,9
1/2/16,SCHUYLER,12
1/2/16,AUDRAIN,18
1/2/16,TEXAS,28
1/2/16,WEBSTER,50
1/2/16,CLARK,4
1/2/16,BUCHANAN,111
1/2/16,BARRY,29
1/2/16,SHELBY,17
1/2/16,MADISON,20
1/2/16,CHRISTIAN,103
1/2/16,JOHNSON,92
1/2/16,CASS,165
1/2/16,OSAGE,19
1/2/16,LACLEDE,413
1/2/16,GENTRY,5
1/2/16,SCOTLAND,3
1/2/16,HOLT,7
1/2/16,STE. GENEVIEVE,29
1/2/16,CARTER,20
1/2/16,HOWARD,23
1/2/16,MORGAN,31
1/2/16,REYNOLDS,5
1/2/16,PHELPS,54
1/2/16,HENRY,56
1/2/16,DUNKLIN,72
1/2/16,BATES,24
1/2/16,BOONE,144
1/2/16,PERRY,24
1/2/16,NEW MADRID,53
1/2/16,DENT,17
1/2/16,ANDREW,28
1/2/16,ADAIR,20
1/2/16,DOUGLAS,20
1/2/16,JASPER,93
1/2/16,RIPLEY,27
1/2/16,MACON,24
1/2/16,WASHINGTON,65
1/2/16,LINCOLN,180
1/2/16,SULLIVAN,14
1/2/16,GRUNDY,14
1/2/16,DEKALB,18
1/2/16,MONITEAU,36
1/2/16,CALLAWAY,55
1/2/16,BOLLINGER,21
1/2/16,DAVIESS,6
1/2/16,PEMISCOT,32
1/2/16,LAWRENCE,43
1/2/16,SCOTT,87
1/2/16,CHARITON,15
1/2/16,LIVINGSTON,29
1/2/16,CLAY,227
1/2/16,COOPER,36
1/2/16,CARROLL,17
1/2/16,LAFAYETTE,55
1/2/16,OZARK,7
1/2/16,POLK,21
1/2/16,MARION,33
1/2/16,CLINTON,38
1/2/16,BUTLER,76
1/2/16,MISSISSIPPI,36
1/2/16,COLE,89
1/2/16,PUTNAM,11
1/2/16,CAPE GIRARDEAU,87
1/2/16,ST. LOUIS,1085
1/2/16,MCDONALD,22
1/2/16,CEDAR,8
12/26/15,MISSISSIPPI,59
12/26/15,BENTON,21
12/26/15,CHRISTIAN,95
12/26/15,COOPER,28
12/26/15,FRANKLIN,210
12/26/15,SCHUYLER,9
12/26/15,CARROLL,4
12/26/15,COLE,68
12/26/15,DALLAS,25
12/26/15,TANEY,287
12/26/15,PEMISCOT,43
12/26/15,MONITEAU,14
12/26/15,LAWRENCE,36
12/26/15,ATCHISON,6
12/26/15,OZARK,12
12/26/15,CLINTON,43
12/26/15,MARIES,11
12/26/15,NODAWAY,50
12/26/15,KNOX,5
12/26/15,BARRY,21
12/26/15,SALINE,35
12/26/15,BUTLER,135
12/26/15,BOLLINGER,28
12/26/15,DENT,16
12/26/15,DAVIESS,4
12/26/15,REYNOLDS,6
12/26/15,WORTH,5
12/26/15,LACLEDE,211
12/26/15,BARTON,14
12/26/15,MCDONALD,36
12/26/15,HOLT,6
12/26/15,WARREN,42
12/26/15,CALLAWAY,47
12/26/15,ST. CLAIR,14
12/26/15,LIVINGSTON,9
12/26/15,BATES,28
12/26/15,LAFAYETTE,49
12/26/15,PLATTE,98
12/26/15,JEFFERSON,339
12/26/15,RANDOLPH,41
12/26/15,HENRY,42
12/26/15,PETTIS,91
12/26/15,STONE,99
12/26/15,WASHINGTON,61
12/26/15,CHARITON,4
12/26/15,DADE,5
12/26/15,DUNKLIN,89
12/26/15,HICKORY,13
12/26/15,CASS,113
12/26/15,PULASKI,197
12/26/15,ADAIR,35
12/26/15,SCOTLAND,2
12/26/15,OSAGE,16
12/26/15,HOWARD,21
12/26/15,SHELBY,13
12/26/15,WAYNE,39
12/26/15,PHELPS,45
12/26/15,CALDWELL,12
12/26/15,NEWTON,76
12/26/15,AUDRAIN,21
12/26/15,RIPLEY,18
12/26/15,WRIGHT,40
12/26/15,LINN,30
12/26/15,GREENE,176
12/26/15,JOHNSON,65
12/26/15,LINCOLN,108
12/26/15,CAMDEN,73
12/26/15,HOWELL,78
12/26/15,GENTRY,11
12/26/15,MERCER,4
12/26/15,BUCHANAN,103
12/26/15,CLAY,218
12/26/15,JACKSON,719
12/26/15,GRUNDY,7
12/26/15,SULLIVAN,5
12/26/15,ANDREW,25
12/26/15,DEKALB,15
12/26/15,GASCONADE,35
12/26/15,VERNON,21
12/26/15,MACON,16
12/26/15,CLARK,7
12/26/15,ST. LOUIS CITY,484
12/26/15,MONTGOMERY,37
12/26/15,RALLS,12
12/26/15,STE. GENEVIEVE,31
12/26/15,BOONE,177
12/26/15,SHANNON,19
12/26/15,CAPE GIRARDEAU,91
12/26/15,PERRY,21
12/26/15,IRON,20
12/26/15,CRAWFORD,45
12/26/15,ST. CHARLES,414
12/26/15,MORGAN,33
12/26/15,WEBSTER,44
12/26/15,CEDAR,27
12/26/15,MILLER,51
12/26/15,NEW MADRID,64
12/26/15,STODDARD,180
12/26/15,LEWIS,4
12/26/15,RAY,44
12/26/15,MADISON,26
12/26/15,PIKE,25
12/26/15,CARTER,16
12/26/15,DOUGLAS,20
12/26/15,POLK,30
12/26/15,OREGON,14
12/26/15,PUTNAM,4
12/26/15,MARION,41
12/26/15,MONROE,13
12/26/15,ST. LOUIS,1156
12/26/15,HARRISON,3
12/26/15,TEXAS,49
12/26/15,JASPER,89
12/26/15,SCOTT,97
12/26/15,ST. FRANCOIS,106
12/19/15,MONTGOMERY,11
12/19/15,GREENE,191
12/19/15,MADISON,14
12/19/15,GASCONADE,15
12/19/15,OSAGE,10
12/19/15,ATCHISON,1
12/19/15,DEKALB,12
12/19/15,PEMISCOT,23
12/19/15,LIVINGSTON,11
12/19/15,OREGON,8
12/19/15,STODDARD,49
12/19/15,CLINTON,22
12/19/15,WASHINGTON,36
12/19/15,ST. CLAIR,10
12/19/15,KNOX,6
12/19/15,SCHUYLER,4
12/19/15,HENRY,27
12/19/15,MARION,30
12/19/15,WAYNE,22
12/19/15,MISSISSIPPI,17
12/19/15,WRIGHT,13
12/19/15,GRUNDY,9
12/19/15,BUCHANAN,71
12/19/15,DALLAS,15
12/19/15,DOUGLAS,15
12/19/15,ST. LOUIS CITY,444
12/19/15,NODAWAY,11
12/19/15,CAMDEN,79
12/19/15,CLAY,134
12/19/15,PLATTE,43
12/19/15,TEXAS,29
12/19/15,SCOTT,43
12/19/15,WARREN,50
12/19/15,PHELPS,42
12/19/15,SULLIVAN,3
12/19/15,MONROE,9
12/19/15,OZARK,7
12/19/15,CHRISTIAN,63
12/19/15,ST. LOUIS,972
12/19/15,DENT,9
12/19/15,PULASKI,103
12/19/15,PIKE,18
12/19/15,MONITEAU,8
12/19/15,NEWTON,69
12/19/15,JASPER,75
12/19/15,JEFFERSON,258
12/19/15,STE. GENEVIEVE,18
12/19/15,BOLLINGER,13
12/19/15,ADAIR,38
12/19/15,MERCER,1
12/19/15,CALLAWAY,52
12/19/15,PUTNAM,4
12/19/15,MILLER,64
12/19/15,RALLS,6
12/19/15,WORTH,0
12/19/15,SALINE,30
12/19/15,AUDRAIN,12
12/19/15,MACON,12
12/19/15,POLK,16
12/19/15,BOONE,102
12/19/15,CHARITON,4
12/19/15,HARRISON,3
12/19/15,SHANNON,3
12/19/15,LINCOLN,54
12/19/15,BENTON,22
12/19/15,CASS,75
12/19/15,HOLT,7
12/19/15,REYNOLDS,3
12/19/15,CEDAR,6
12/19/15,FRANKLIN,110
12/19/15,MARIES,9
12/19/15,COLE,46
12/19/15,BARTON,5
12/19/15,HICKORY,5
12/19/15,BARRY,21
12/19/15,COOPER,12
12/19/15,PERRY,10
12/19/15,CAPE GIRARDEAU,63
12/19/15,LINN,8
12/19/15,DADE,1
12/19/15,PETTIS,81
12/19/15,GENTRY,4
12/19/15,ST. FRANCOIS,63
12/19/15,HOWARD,13
12/19/15,WEBSTER,23
12/19/15,STONE,83
12/19/15,CARTER,7
12/19/15,SCOTLAND,2
12/19/15,JACKSON,527
12/19/15,CLARK,4
12/19/15,SHELBY,12
12/19/15,LACLEDE,64
12/19/15,TANEY,360
12/19/15,CRAWFORD,23
12/19/15,DUNKLIN,56
12/19/15,VERNON,11
12/19/15,NEW MADRID,26
12/19/15,MORGAN,25
12/19/15,RIPLEY,10
12/19/15,MCDONALD,17
12/19/15,CARROLL,9
12/19/15,ST. CHARLES,282
12/19/15,JOHNSON,49
12/19/15,LAFAYETTE,43
12/19/15,ANDREW,7
12/19/15,DAVIESS,4
12/19/15,IRON,15
12/19/15,BATES,14
12/19/15,LAWRENCE,28
12/19/15,RANDOLPH,16
12/19/15,HOWELL,26
12/19/15,CALDWELL,4
12/19/15,BUTLER,45
12/19/15,RAY,19
12/19/15,LEWIS,3
12/12/15,CARTER,5
12/12/15,CLAY,106
12/12/15,MONTGOMERY,13
12/12/15,WARREN,26
12/12/15,DOUGLAS,9
12/12/15,BOONE,89
12/12/15,CEDAR,3
12/12/15,CHRISTIAN,46
12/12/15,POLK,15
12/12/15,GASCONADE,15
12/12/15,MCDONALD,12
12/12/15,PIKE,23
12/12/15,RAY,13
12/12/15,JASPER,42
12/12/15,SCOTLAND,16
12/12/15,STE. GENEVIEVE,9
12/12/15,CARROLL,5
12/12/15,CASS,48
12/12/15,HARRISON,6
12/12/15,SCOTT,44
12/12/15,COLE,42
12/12/15,CLINTON,15
12/12/15,DENT,12
12/12/15,MACON,36
12/12/15,CALDWELL,1
12/12/15,RALLS,8
12/12/15,BARTON,7
12/12/15,MERCER,1
12/12/15,PETTIS,55
12/12/15,OZARK,7
12/12/15,DALLAS,10
12/12/15,MORGAN,27
12/12/15,RANDOLPH,23
12/12/15,LAWRENCE,18
12/12/15,STODDARD,37
12/12/15,MISSISSIPPI,12
12/12/15,MADISON,12
12/12/15,HICKORY,1
12/12/15,BUCHANAN,59
12/12/15,ST. CHARLES,234
12/12/15,HOWELL,36
12/12/15,LIVINGSTON,9
12/12/15,DEKALB,3
12/12/15,CLARK,1
12/12/15,JOHNSON,42
12/12/15,COOPER,17
12/12/15,MILLER,34
12/12/15,ST. LOUIS,755
12/12/15,NEW MADRID,24
12/12/15,LINN,11
12/12/15,LINCOLN,68
12/12/15,HOWARD,8
12/12/15,KNOX,25
12/12/15,CRAWFORD,27
12/12/15,DADE,8
12/12/15,NODAWAY,8
12/12/15,BOLLINGER,6
12/12/15,ADAIR,232
12/12/15,PEMISCOT,13
12/12/15,SCHUYLER,50
12/12/15,FRANKLIN,103
12/12/15,STONE,71
12/12/15,ST. FRANCOIS,57
12/12/15,ATCHISON,0
12/12/15,BATES,13
12/12/15,GREENE,182
12/12/15,ST. LOUIS CITY,299
12/12/15,GRUNDY,7
12/12/15,HENRY,9
12/12/15,MONITEAU,9
12/12/15,CHARITON,1
12/12/15,ANDREW,14
12/12/15,REYNOLDS,8
12/12/15,JEFFERSON,227
12/12/15,NEWTON,31
12/12/15,IRON,11
12/12/15,OSAGE,9
12/12/15,RIPLEY,8
12/12/15,ST. CLAIR,5
12/12/15,MARIES,6
12/12/15,MONROE,5
12/12/15,JACKSON,496
12/12/15,TANEY,215
12/12/15,WRIGHT,15
12/12/15,PHELPS,29
12/12/15,PUTNAM,10
12/12/15,BUTLER,37
12/12/15,BENTON,19
12/12/15,SHELBY,22
12/12/15,SALINE,35
12/12/15,PERRY,12
12/12/15,LACLEDE,40
12/12/15,SHANNON,10
12/12/15,LEWIS,11
12/12/15,PULASKI,31
12/12/15,DUNKLIN,41
12/12/15,MARION,24
12/12/15,WORTH,0
12/12/15,OREGON,4
12/12/15,SULLIVAN,18
12/12/15,WASHINGTON,43
12/12/15,HOLT,1
12/12/15,CAMDEN,89
12/12/15,TEXAS,25
12/12/15,CAPE GIRARDEAU,46
12/12/15,AUDRAIN,14
12/12/15,CALLAWAY,38
12/12/15,VERNON,8
12/12/15,WEBSTER,24
12/12/15,WAYNE,12
12/12/15,BARRY,26
12/12/15,LAFAYETTE,35
12/12/15,GENTRY,4
12/12/15,PLATTE,43
12/12/15,DAVIESS,5
12/5/15,MADISON,13
12/5/15,MERCER,3
12/5/15,HARRISON,5
12/5/15,PIKE,16
12/5/15,MCDONALD,10
12/5/15,MARIES,9
12/5/15,MONTGOMERY,13
12/5/15,LIVINGSTON,11
12/5/15,STE. GENEVIEVE,22
12/5/15,MACON,19
12/5/15,RANDOLPH,17
12/5/15,NEW MADRID,33
12/5/15,TANEY,141
12/5/15,OREGON,6
12/5/15,NODAWAY,7
12/5/15,GRUNDY,8
12/5/15,STODDARD,60
12/5/15,JACKSON,654
12/5/15,KNOX,7
12/5/15,BOLLINGER,16
12/5/15,CLINTON,24
12/5/15,DOUGLAS,7
12/5/15,WEBSTER,46
12/5/15,CARTER,10
12/5/15,PUTNAM,3
12/5/15,RIPLEY,15
12/5/15,MARION,31
12/5/15,CALDWELL,7
12/5/15,OZARK,20
12/5/15,POLK,21
12/5/15,PLATTE,48
12/5/15,CAPE GIRARDEAU,63
12/5/15,RAY,18
12/5/15,DALLAS,22
12/5/15,LEWIS,4
12/5/15,JEFFERSON,261
12/5/15,PERRY,9
12/5/15,MORGAN,32
12/5/15,DAVIESS,4
12/5/15,CLARK,3
12/5/15,DEKALB,9
12/5/15,HENRY,21
12/5/15,LINN,11
12/5/15,IRON,17
12/5/15,LINCOLN,84
12/5/15,CLAY,124
12/5/15,CASS,99
12/5/15,WORTH,3
12/5/15,SCOTLAND,7
12/5/15,ATCHISON,1
12/5/15,JASPER,76
12/5/15,WARREN,48
12/5/15,CARROLL,11
12/5/15,CRAWFORD,35
12/5/15,CAMDEN,98
12/5/15,MONITEAU,9
12/5/15,CEDAR,7
12/5/15,ST. LOUIS,947
12/5/15,BOONE,114
12/5/15,BENTON,21
12/5/15,BUCHANAN,82
12/5/15,CHRISTIAN,82
12/5/15,ST. CHARLES,310
12/5/15,HOWELL,46
12/5/15,ST. FRANCOIS,86
12/5/15,SULLIVAN,10
12/5/15,DUNKLIN,88
12/5/15,HICKORY,12
12/5/15,OSAGE,7
12/5/15,JOHNSON,42
12/5/15,MISSISSIPPI,31
12/5/15,SHANNON,10
12/5/15,WAYNE,15
12/5/15,COLE,51
12/5/15,ANDREW,16
12/5/15,FRANKLIN,165
12/5/15,COOPER,18
12/5/15,PETTIS,52
12/5/15,BARTON,8
12/5/15,PHELPS,38
12/5/15,GENTRY,1
12/5/15,SALINE,42
12/5/15,REYNOLDS,7
12/5/15,LAWRENCE,26
12/5/15,GASCONADE,16
12/5/15,MONROE,12
12/5/15,ST. CLAIR,7
12/5/15,HOLT,1
12/5/15,DADE,8
12/5/15,HOWARD,16
12/5/15,ADAIR,25
12/5/15,WRIGHT,29
12/5/15,DENT,16
12/5/15,ST. LOUIS CITY,300
12/5/15,TEXAS,23
12/5/15,LACLEDE,84
12/5/15,VERNON,14
12/5/15,BATES,16
12/5/15,MILLER,70
