state_name,state_fips,state_abbrev,county_name,county_fips,year,date,initial_claims,,,,,
Nevada,32,NV,Humboldt,32013,2020,2/8/20,17,,,,,
Nevada,32,NV,Lander,32015,2020,2/8/20,5,,,,,
Nevada,32,NV,Lincoln,32017,2020,2/8/20,1,,,,,
Nevada,32,NV,Lyon,32019,2020,2/8/20,55,,,,,
Nevada,32,NV,Mineral,32021,2020,2/8/20,1,,,,,
Nevada,32,NV,Nye,32023,2020,2/8/20,23,,,,,
Nevada,32,NV,Pershing,32027,2020,2/8/20,1,,,,,
Nevada,32,NV,Storey,32029,2020,2/8/20,2,,,,,
Nevada,32,NV,Washoe,32031,2020,2/8/20,332,,,,,
Nevada,32,NV,White Pine,32033,2020,2/8/20,11,,,,,
Nevada,32,NV,Carson City,32510,2020,2/15/20,37,,,,,
Nevada,32,NV,Churchill,32001,2020,2/15/20,14,,,,,
Nevada,32,NV,Clark,32003,2020,2/15/20,2297,,,,,
Nevada,32,NV,Douglas,32005,2020,2/15/20,23,,,,,
Nevada,32,NV,Elko,32007,2020,2/15/20,38,,,,,
Nevada,32,NV,Esmeralda,32009,2020,2/15/20,0,,,,,
Nevada,32,NV,Eureka,32011,2020,2/15/20,0,,,,,
Nevada,32,NV,Humboldt,32013,2020,2/15/20,10,,,,,
Nevada,32,NV,Lander,32015,2020,2/15/20,1,,,,,
Nevada,32,NV,Lincoln,32017,2020,2/15/20,0,,,,,
Nevada,32,NV,Lyon,32019,2020,2/15/20,62,,,,,
Nevada,32,NV,Mineral,32021,2020,2/15/20,2,,,,,
Nevada,32,NV,Nye,32023,2020,2/15/20,31,,,,,
Nevada,32,NV,Pershing,32027,2020,2/15/20,0,,,,,
Nevada,32,NV,Storey,32029,2020,2/15/20,2,,,,,
Nevada,32,NV,Washoe,32031,2020,2/15/20,290,,,,,
Nevada,32,NV,White Pine,32033,2020,2/15/20,5,,,,,
Nevada,32,NV,Carson City,32510,2020,2/22/20,44,,,,,
Nevada,32,NV,Churchill,32001,2020,2/22/20,12,,,,,
Nevada,32,NV,Clark,32003,2020,2/22/20,1810,,,,,
Nevada,32,NV,Douglas,32005,2020,2/22/20,26,,,,,
Nevada,32,NV,Elko,32007,2020,2/22/20,19,,,,,
Nevada,32,NV,Esmeralda,32009,2020,2/22/20,0,,,,,
Nevada,32,NV,Eureka,32011,2020,2/22/20,1,,,,,
Nevada,32,NV,Humboldt,32013,2020,2/22/20,1,,,,,
Nevada,32,NV,Lander,32015,2020,2/22/20,1,,,,,
Nevada,32,NV,Lincoln,32017,2020,2/22/20,1,,,,,
Nevada,32,NV,Lyon,32019,2020,2/22/20,29,,,,,
Nevada,32,NV,Mineral,32021,2020,2/22/20,4,,,,,
Nevada,32,NV,Nye,32023,2020,2/22/20,19,,,,,
Nevada,32,NV,Pershing,32027,2020,2/22/20,3,,,,,
Nevada,32,NV,Storey,32029,2020,2/22/20,2,,,,,
Nevada,32,NV,Washoe,32031,2020,2/22/20,295,,,,,
Nevada,32,NV,White Pine,32033,2020,2/22/20,0,,,,,
Nevada,32,NV,Carson City,32510,2020,2/29/20,41,,,,,
Nevada,32,NV,Churchill,32001,2020,2/29/20,9,,,,,
Nevada,32,NV,Clark,32003,2020,2/29/20,2139,,,,,
Nevada,32,NV,Douglas,32005,2020,2/29/20,21,,,,,
Nevada,32,NV,Elko,32007,2020,2/29/20,19,,,,,
Nevada,32,NV,Esmeralda,32009,2020,2/29/20,1,,,,,
Nevada,32,NV,Eureka,32011,2020,2/29/20,1,,,,,
Nevada,32,NV,Humboldt,32013,2020,2/29/20,7,,,,,
Nevada,32,NV,Lander,32015,2020,2/29/20,4,,,,,
Nevada,32,NV,Lincoln,32017,2020,2/29/20,2,,,,,
Nevada,32,NV,Lyon,32019,2020,2/29/20,54,,,,,
Nevada,32,NV,Mineral,32021,2020,2/29/20,2,,,,,
Nevada,32,NV,Nye,32023,2020,2/29/20,23,,,,,
Nevada,32,NV,Pershing,32027,2020,2/29/20,0,,,,,
Nevada,32,NV,Storey,32029,2020,2/29/20,4,,,,,
Nevada,32,NV,Washoe,32031,2020,2/29/20,298,,,,,
Nevada,32,NV,White Pine,32033,2020,2/29/20,2,,,,,
Nevada,32,NV,Carson City,32510,2020,3/7/20,37,,,,,
Nevada,32,NV,Churchill,32001,2020,3/7/20,16,,,,,
Nevada,32,NV,Clark,32003,2020,3/7/20,2106,,,,,
Nevada,32,NV,Douglas,32005,2020,3/7/20,21,,,,,
Nevada,32,NV,Elko,32007,2020,3/7/20,17,,,,,
Nevada,32,NV,Esmeralda,32009,2020,3/7/20,0,,,,,
Nevada,32,NV,Eureka,32011,2020,3/7/20,2,,,,,
Nevada,32,NV,Humboldt,32013,2020,3/7/20,6,,,,,
Nevada,32,NV,Lander,32015,2020,3/7/20,5,,,,,
Nevada,32,NV,Lincoln,32017,2020,3/7/20,2,,,,,
Nevada,32,NV,Lyon,32019,2020,3/7/20,45,,,,,
Nevada,32,NV,Mineral,32021,2020,3/7/20,1,,,,,
Nevada,32,NV,Nye,32023,2020,3/7/20,16,,,,,
Nevada,32,NV,Pershing,32027,2020,3/7/20,0,,,,,
Nevada,32,NV,Storey,32029,2020,3/7/20,0,,,,,
Nevada,32,NV,Washoe,32031,2020,3/7/20,306,,,,,
