county,1/4/20,1/11/20,1/18/20,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20
Vinton,34,21,16,8,13,27,29,5,6,4,29,77,242,203,122,66,69,44,29,30,43,44,28
Warren,109,113,76,69,75,106,66,64,60,91,86,"3,233","4,034","4,085","2,469",1920,"1,545","1,122",997,706,631,491,506
Washington,68,60,50,43,41,42,42,35,37,37,43,617,856,773,498,356,379,202,181,215,270,178,135
Wayne,76,57,40,59,44,29,38,56,34,42,34,"1,378","2,567","1,710",1108,816,609,411,292,315,321,219,334
Williams,43,35,18,19,17,15,19,12,13,19,16,401,"1,751","1,041",534,326,246,188,165,146,117,97,94
Wood,105,101,88,59,68,68,69,67,279,95,82,"2,179","4,029","2,727","2,018",1263,953,603,511,502,434,317,328
Wyandot,14,20,10,10,9,4,10,6,100,17,7,288,"1,236",556,370,388,254,149,96,115,93,57,63
Out of State,413,422,365,306,292,313,275,278,893,310,252,"3,402","7,121",5124,3816,2781,"2,104",1404,1298,1056,989,850,788
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
