Area,Time Period,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
Benson County,"May, 2020","2,375","2,091",284,12.00%,Yes
Billings County,"May, 2020",356,333,23,6.50%,Yes
Bottineau County,"May, 2020","2,815","2,588",227,8.10%,Yes
Bowman County,"May, 2020","1,572","1,485",87,5.50%,Yes
Burke County,"May, 2020","1,038",949,89,8.60%,Yes
Burleigh County,"May, 2020","48,450","44,712","3,738",7.70%,Yes
Cass County,"May, 2020","104,158","96,035","8,123",7.80%,Yes
Cavalier County,"May, 2020","1,828","1,724",104,5.70%,Yes
Dickey County,"May, 2020","2,221","2,105",116,5.20%,Yes
Divide County,"May, 2020","1,340","1,277",63,4.70%,Yes
Dunn County,"May, 2020","3,312","3,093",219,6.60%,Yes
Eddy County,"May, 2020","1,178","1,097",81,6.90%,Yes
Emmons County,"May, 2020","1,376","1,279",97,7.00%,Yes
Foster County,"May, 2020","1,429","1,352",77,5.40%,Yes
Golden Valley County,"May, 2020",805,766,39,4.80%,Yes
Grand Forks County,"May, 2020","36,851","33,684","3,167",8.60%,Yes
Grant County,"January, 2020","1,181","1,149",32,2.70%,No
Griggs County,"January, 2020",986,963,23,2.30%,No
Hettinger County,"January, 2020","1,333","1,289",44,3.30%,No
Kidder County,"January, 2020","1,240","1,167",73,5.90%,No
LaMoure County,"January, 2020","1,973","1,930",43,2.20%,No
Logan County,"January, 2020",870,842,28,3.20%,No
McHenry County,"January, 2020","2,988","2,842",146,4.90%,No
McIntosh County,"January, 2020","1,083","1,048",35,3.20%,No
McKenzie County,"January, 2020","10,274","10,065",209,2.00%,No
McLean County,"January, 2020","4,530","4,333",197,4.30%,No
Mercer County,"January, 2020","3,330","3,151",179,5.40%,No
Morton County,"January, 2020","16,216","15,581",635,3.90%,No
Mountrail County,"January, 2020","7,343","7,225",118,1.60%,No
Nelson County,"January, 2020","1,342","1,292",50,3.70%,No
Oliver County,"January, 2020",858,817,41,4.80%,No
Pembina County,"January, 2020","3,213","3,074",139,4.30%,No
Pierce County,"January, 2020","1,658","1,597",61,3.70%,No
Ramsey County,"January, 2020","5,401","5,217",184,3.40%,No
Ransom County,"January, 2020","2,787","2,715",72,2.60%,No
Renville County,"January, 2020","1,203","1,161",42,3.50%,No
Grant County,"February, 2020","1,174","1,143",31,2.60%,No
Griggs County,"February, 2020",988,966,22,2.20%,No
Hettinger County,"February, 2020","1,306","1,271",35,2.70%,No
Kidder County,"February, 2020","1,233","1,167",66,5.40%,No
LaMoure County,"February, 2020","1,980","1,931",49,2.50%,No
Logan County,"February, 2020",866,835,31,3.60%,No
McHenry County,"February, 2020","3,007","2,853",154,5.10%,No
McIntosh County,"February, 2020","1,090","1,054",36,3.30%,No
McKenzie County,"February, 2020","10,268","10,063",205,2.00%,No
McLean County,"February, 2020","4,521","4,321",200,4.40%,No
Mercer County,"February, 2020","3,348","3,159",189,5.60%,No
Morton County,"February, 2020","16,258","15,638",620,3.80%,No
Mountrail County,"February, 2020","7,345","7,223",122,1.70%,No
Nelson County,"February, 2020","1,350","1,298",52,3.90%,No
Oliver County,"February, 2020",867,817,50,5.80%,No
Pembina County,"February, 2020","3,207","3,072",135,4.20%,No
Pierce County,"February, 2020","1,663","1,599",64,3.80%,No
Ramsey County,"February, 2020","5,403","5,220",183,3.40%,No
Ransom County,"February, 2020","2,772","2,710",62,2.20%,No
Renville County,"February, 2020","1,199","1,158",41,3.40%,No
Grant County,"March, 2020","1,208","1,188",20,1.70%,No
Griggs County,"March, 2020","1,034","1,008",26,2.50%,No
Hettinger County,"March, 2020","1,388","1,347",41,3.00%,No
Kidder County,"March, 2020","1,273","1,217",56,4.40%,No
LaMoure County,"March, 2020","2,046","2,007",39,1.90%,No
Logan County,"March, 2020",886,864,22,2.50%,No
McHenry County,"March, 2020","3,106","2,961",145,4.70%,No
McIntosh County,"March, 2020","1,116","1,081",35,3.10%,No
McKenzie County,"March, 2020","9,844","9,605",239,2.40%,No
McLean County,"March, 2020","4,681","4,498",183,3.90%,No
Mercer County,"March, 2020","3,480","3,328",152,4.40%,No
Morton County,"March, 2020","16,225","15,672",553,3.40%,No
Mountrail County,"March, 2020","7,340","7,228",112,1.50%,No
Nelson County,"March, 2020","1,372","1,320",52,3.80%,No
Oliver County,"March, 2020",872,832,40,4.60%,No
Pembina County,"March, 2020","3,294","3,161",133,4.00%,No
Pierce County,"March, 2020","1,672","1,609",63,3.80%,No
Ramsey County,"March, 2020","5,517","5,345",172,3.10%,No
Ransom County,"March, 2020","2,797","2,745",52,1.90%,No
Renville County,"March, 2020","1,211","1,171",40,3.30%,No
Grant County,"April, 2020","1,192","1,143",49,4.10%,No
Griggs County,"April, 2020","1,003",964,39,3.90%,No
Hettinger County,"April, 2020","1,363","1,295",68,5.00%,No
Kidder County,"April, 2020","1,278","1,174",104,8.10%,No
LaMoure County,"April, 2020","2,043","1,932",111,5.40%,No
Logan County,"April, 2020",872,826,46,5.30%,No
McHenry County,"April, 2020","3,078","2,825",253,8.20%,No
McIntosh County,"April, 2020","1,065","1,028",37,3.50%,No
McKenzie County,"April, 2020","9,946","9,034",912,9.20%,No
McLean County,"April, 2020","4,574","4,265",309,6.80%,No
Mercer County,"April, 2020","3,416","3,126",290,8.50%,No
Morton County,"April, 2020","16,231","14,541","1,690",10.40%,No
Mountrail County,"April, 2020","7,238","6,802",436,6.00%,No
Nelson County,"April, 2020","1,358","1,258",100,7.40%,No
Oliver County,"April, 2020",850,782,68,8.00%,No
Pembina County,"April, 2020","3,453","3,006",447,12.90%,No
Pierce County,"April, 2020","1,677","1,531",146,8.70%,No
Ramsey County,"April, 2020","5,520","5,036",484,8.80%,No
Ransom County,"April, 2020","3,086","2,606",480,15.60%,No
Renville County,"April, 2020","1,210","1,118",92,7.60%,No
Grant County,"May, 2020","1,154","1,112",42,3.60%,Yes
Griggs County,"May, 2020",984,943,41,4.20%,Yes
Hettinger County,"May, 2020","1,341","1,268",73,5.40%,Yes
Kidder County,"May, 2020","1,217","1,135",82,6.70%,Yes
LaMoure County,"May, 2020","1,953","1,880",73,3.70%,Yes
Logan County,"May, 2020",847,808,39,4.60%,Yes
McHenry County,"May, 2020","3,011","2,777",234,7.80%,Yes
McIntosh County,"May, 2020","1,046","1,006",40,3.80%,Yes
McKenzie County,"May, 2020","10,149","9,002","1,147",11.30%,Yes
McLean County,"May, 2020","4,527","4,215",312,6.90%,Yes
Mercer County,"May, 2020","3,411","3,129",282,8.30%,Yes
Morton County,"May, 2020","15,944","14,632","1,312",8.20%,Yes
Mountrail County,"May, 2020","7,348","6,778",570,7.80%,Yes
Nelson County,"May, 2020","1,332","1,231",101,7.60%,Yes
Oliver County,"May, 2020",828,775,53,6.40%,Yes
Pembina County,"May, 2020","3,432","2,962",470,13.70%,Yes
Pierce County,"May, 2020","1,618","1,507",111,6.90%,Yes
Ramsey County,"May, 2020","5,469","5,007",462,8.40%,Yes
Ransom County,"May, 2020","2,749","2,585",164,6.00%,Yes
Renville County,"May, 2020","1,198","1,102",96,8.00%,Yes
Richland County,"January, 2020","8,333","8,121",212,2.50%,No
Rolette County,"January, 2020","4,530","4,138",392,8.70%,No
Sargent County,"January, 2020","2,623","2,576",47,1.80%,No
Sheridan County,"January, 2020",656,606,50,7.60%,No
Sioux County,"January, 2020","1,201","1,170",31,2.60%,No
