Alaska Labor Force -- All Areas, Not Seasonally Adjusted,,,,,,,,,
,,,,,,,,,,
Area Name,Area Type,Area Code,Year,Month,period,Preliminary if value is 1,Labor Force,Employment,Unemployment,Unemployment Rate
Alaska,1,0,1983,September,9,0,236563,216276,20287,8.6
Alaska,1,0,1983,October,10,0,234285,213187,21098,9
Alaska,1,0,1983,November,11,0,234216,211535,22681,9.7
Alaska,1,0,1983,December,12,0,233847,210181,23666,10.1
Alaska,1,0,1983,Annual,0,0,231720,208713,23007,9.9
Alaska,1,0,1984,January,1,0,235097,207503,27594,11.7
Alaska,1,0,1984,February,2,0,236447,208562,27885,11.8
Alaska,1,0,1984,March,3,0,237598,210721,26877,11.3
Alaska,1,0,1984,April,4,0,237765,212197,25568,10.8
Alaska,1,0,1984,May,5,0,245290,220425,24865,10.1
Alaska,1,0,1984,June,6,0,252909,227701,25208,10
Alaska,1,0,1984,July,7,0,257724,235318,22406,8.7
Alaska,1,0,1984,August,8,0,253459,232848,20611,8.1
Alaska,1,0,1984,September,9,0,248451,227350,21101,8.5
Alaska,1,0,1984,October,10,0,247425,225782,21643,8.7
Alaska,1,0,1984,November,11,0,247446,224294,23152,9.4
Alaska,1,0,1984,December,12,0,245817,222995,22822,9.3
Alaska,1,0,1984,Annual,0,0,245452,221308,24144,9.8
Alaska,1,0,1985,January,1,0,245907,219795,26112,10.6
Alaska,1,0,1985,February,2,0,246715,219564,27151,11
Alaska,1,0,1985,March,3,0,247553,220640,26913,10.9
Alaska,1,0,1985,April,4,0,246780,220963,25817,10.5
Alaska,1,0,1985,May,5,0,251274,226870,24404,9.7
Alaska,1,0,1985,June,6,0,258217,232762,25455,9.9
Alaska,1,0,1985,July,7,0,262854,239559,23295,8.9
Alaska,1,0,1985,August,8,0,258520,237427,21093,8.2
Alaska,1,0,1985,September,9,0,253891,232706,21185,8.3
Alaska,1,0,1985,October,10,0,251512,229266,22246,8.8
Alaska,1,0,1985,November,11,0,251082,226822,24260,9.7
Alaska,1,0,1985,December,12,0,251225,225943,25282,10.1
Alaska,1,0,1985,Annual,0,0,252127,227693,24434,9.7
Alaska,1,0,1986,January,1,0,251346,222784,28562,11.4
Alaska,1,0,1986,February,2,0,252745,222319,30426,12
Alaska,1,0,1986,March,3,0,253083,222783,30300,12
Alaska,1,0,1986,April,4,0,252505,222520,29985,11.9
Alaska,1,0,1986,May,5,0,256827,228347,28480,11.1
Alaska,1,0,1986,June,6,0,263152,233515,29637,11.3
Alaska,1,0,1986,July,7,0,266798,239523,27275,10.2
Alaska,1,0,1986,August,8,0,261256,235678,25578,9.8
Alaska,1,0,1986,September,9,0,254184,228996,25188,9.9
Alaska,1,0,1986,October,10,0,251111,225494,25617,10.2
Alaska,1,0,1986,November,11,0,250013,223447,26566,10.6
Alaska,1,0,1986,December,12,0,248551,221331,27220,11
Alaska,1,0,1986,Annual,0,0,255130,227228,27902,10.9
Alaska,1,0,1987,January,1,0,246676,217059,29617,12
Alaska,1,0,1987,February,2,0,246508,216324,30184,12.2
