Claims Week Ending,County,Continued Week claims,Total Initial Claims
7/4/20,Polk?,383,58
7/4/20,Putnam?,"2,394",218
7/4/20,Rhea?,"1,092",120
7/4/20,Roane?,"1,389",140
7/4/20,Robertson?,"2,512",206
7/4/20,Rutherford?,"16,359","1,007"
7/4/20,Scott?,663,74
7/4/20,Sequatchie?,374,31
7/4/20,Sevier?,"5,592",273
7/4/20,Shelby?,"53,703","6,199"
7/4/20,Smith?,480,48
7/4/20,Stewart?,247,35
7/4/20,Sullivan?,"4,476",394
7/4/20,Sumner?,"7,392",488
7/4/20,Tipton?,"1,652",170
7/4/20,Trousdale?,310,20
7/4/20,Unicoi?,444,24
7/4/20,Union?,412,36
7/4/20,Van Buren?,158,18
7/4/20,Warren?,"1,836",120
7/4/20,Washington?,"3,901",278
7/4/20,Wayne?,259,46
7/4/20,Weakley?,740,96
7/4/20,White?,859,88
7/4/20,Williamson?,"6,080",445
7/4/20,Wilson?,"5,577",330
6/27/20,Anderson?,"2,245",137
6/27/20,Bedford?,"1,707",90
6/27/20,Benton?,421,58
6/27/20,Bledsoe?,202,22
6/27/20,Blount?,"4,159",204
6/27/20,Bradley?,"3,684",318
6/27/20,Campbell?,855,65
6/27/20,Cannon?,410,17
6/27/20,Carroll?,772,66
6/27/20,Carter?,"1,197",78
6/27/20,Cheatham?,"1,295",69
6/27/20,Chester?,405,23
6/27/20,Claiborne?,711,47
6/27/20,Clay?,119,9
6/27/20,Cocke?,"1,633",117
6/27/20,Coffee?,"2,227",102
6/27/20,Crockett?,327,29
6/27/20,Cumberland?,"1,515",96
6/27/20,Davidson?,"46,639","2,407"
6/27/20,Decatur?,323,17
6/27/20,DeKalb?,778,52
6/27/20,Dickson?,"1,493",72
6/27/20,Dyer?,"1,219",102
6/27/20,Fayette?,"1,212",129
6/27/20,Fentress?,374,42
6/27/20,Franklin?,"1,521",77
6/27/20,Gibson?,"1,480",104
6/27/20,Giles?,"1,059",58
6/27/20,Grainger?,610,49
6/27/20,Greene?,"2,422",182
6/27/20,Grundy?,476,25
6/27/20,Hamblen?,"2,089",165
6/27/20,Hamilton?,"14,361",972
6/27/20,Hancock?,135,20
6/27/20,Hardeman?,682,103
6/27/20,Hardin?,555,45
6/27/20,Hawkins?,"1,598",127
6/27/20,Haywood?,726,90
6/27/20,Henderson?,917,48
6/27/20,Henry?,791,73
6/27/20,Hickman?,613,45
6/27/20,Houston?,205,23
6/27/20,Humphreys?,408,34
6/27/20,Jackson?,290,15
6/27/20,Jefferson?,"1,719",104
6/27/20,Johnson?,318,49
6/27/20,Knox?,"16,208",970
6/27/20,Lake?,116,16
6/27/20,Lauderdale?,895,108
6/27/20,Lawrence?,"1,447",140
6/27/20,Lewis?,318,22
6/27/20,Lincoln?,"1,070",41
6/27/20,Loudon?,"1,587",92
6/27/20,Macon?,621,69
6/27/20,Madison?,"4,149",320
6/27/20,Marion?,901,64
6/27/20,Marshall?,"1,528",49
6/27/20,Maury?,"5,164",255
6/27/20,McMinn?,"1,787",127
6/27/20,McNairy?,577,62
6/27/20,Meigs?,437,36
6/27/20,Monroe?,"1,550",105
6/27/20,Montgomery?,"6,781",518
6/27/20,Moore?,153,4
6/27/20,Morgan?,360,34
6/27/20,Obion?,632,62
6/27/20,Overton?,460,45
6/27/20,Perry?,191,15
6/27/20,Pickett?,84,10
6/27/20,Polk?,387,40
6/27/20,Putnam?,"2,466",162
6/27/20,Rhea?,"1,083",86
6/27/20,Roane?,"1,421",115
6/27/20,Robertson?,"2,606",191
6/27/20,Rutherford?,"16,711",789
6/27/20,Scott?,697,96
6/27/20,Sequatchie?,376,34
6/27/20,Sevier?,"6,198",180
6/27/20,Shelby?,"53,678","5,921"
6/27/20,Smith?,504,35
6/27/20,Stewart?,264,21
6/27/20,Sullivan?,"4,599",273
6/27/20,Sumner?,"7,462",382
6/27/20,Tipton?,"1,691",152
6/27/20,Trousdale?,312,23
6/27/20,Unicoi?,473,29
6/27/20,Union?,411,32
6/27/20,Van Buren?,139,8
6/27/20,Warren?,"1,524",110
6/27/20,Washington?,"4,008",246
6/27/20,Wayne?,255,24
6/27/20,Weakley?,775,64
6/27/20,White?,856,63
6/27/20,Williamson?,"6,360",381
6/27/20,Wilson?,"5,714",284
6/20/20,Anderson,"2,436",146
6/20/20,Bedford,"1,974",111
6/20/20,Benton,464,57
6/20/20,Bledsoe,213,21
6/20/20,Blount,"4,372",215
6/20/20,Bradley,"3,803",320
6/20/20,Campbell,886,74
6/20/20,Cannon,443,24
6/20/20,Carroll,800,55
6/20/20,Carter,"1,242",82
6/20/20,Cheatham,"1,312",89
6/20/20,Chester,410,33
6/20/20,Claiborne,721,44
6/20/20,Clay,113,14
6/20/20,Cocke,"1,798",110
6/20/20,Coffee,"2,577",113
6/20/20,Crockett,331,50
6/20/20,Cumberland,"1,529",135
6/20/20,Davidson,"47,062","2,411"
6/20/20,Decatur,330,27
6/20/20,DeKalb,763,55
6/20/20,Dickson,"1,589",92
6/20/20,Dyer,"1,187",104
6/20/20,Fayette,"1,220",118
6/20/20,Fentress,405,47
6/20/20,Franklin,"1,658",77
6/20/20,Gibson,"1,514",101
6/20/20,Giles,"1,097",75
6/20/20,Grainger,627,47
6/20/20,Greene,"2,484",165
6/20/20,Grundy,545,42
6/20/20,Hamblen,"2,177",149
6/20/20,Hamilton,"14,689",984
6/20/20,Hancock,135,23
6/20/20,Hardeman,664,58
6/20/20,Hardin,543,54
6/20/20,Hawkins,"1,656",202
6/20/20,Haywood,715,59
6/20/20,Henderson,"1,005",69
6/20/20,Henry,919,58
6/20/20,Hickman,602,44
6/20/20,Houston,217,23
6/20/20,Humphreys,418,42
6/20/20,Jackson,279,24
6/20/20,Jefferson,"1,882",96
6/20/20,Johnson,325,35
6/20/20,Knox,"16,500",931
6/20/20,Lake,119,14
6/20/20,Lauderdale,911,110
6/20/20,Lawrence,"1,536",96
6/20/20,Lewis,312,22
6/20/20,Lincoln,"1,250",61
6/20/20,Loudon,"1,645",103
6/20/20,Macon,672,57
6/20/20,Madison,"4,165",303
6/20/20,Marion,889,77
6/20/20,Marshall,"1,774",63
6/20/20,Maury,"5,304",277
6/20/20,McMinn,"1,885",151
6/20/20,McNairy,581,56
6/20/20,Meigs,475,40
6/20/20,Monroe,"1,627",90
6/20/20,Montgomery,"7,103",461
6/20/20,Moore,158,13
6/20/20,Morgan,346,54
6/20/20,Obion,624,69
6/20/20,Overton,435,34
6/20/20,Perry,224,17
6/20/20,Pickett,92,7
6/20/20,Polk,409,45
6/20/20,Putnam,"2,524",173
6/20/20,Rhea,"1,143",87
6/20/20,Roane,"1,347",228
6/20/20,Robertson,"2,684",169
6/20/20,Rutherford,"17,832",820
6/20/20,Scott,646,58
6/20/20,Sequatchie,405,28
6/20/20,Sevier,"6,795",172
6/20/20,Shelby,"52,099","5,545"
6/20/20,Smith,521,30
6/20/20,Stewart,255,27
6/20/20,Sullivan,"4,721",279
6/20/20,Sumner,"7,654",441
6/20/20,Tipton,"1,684",156
6/20/20,Trousdale,320,29
6/20/20,Unicoi,468,29
6/20/20,Union,422,31
6/20/20,Van Buren,148,10
6/20/20,Warren,"1,777",67
6/20/20,Washington,"4,192",220
6/20/20,Wayne,278,16
6/20/20,Weakley,759,59
6/20/20,White,868,56
6/20/20,Williamson,"6,361",345
6/20/20,Wilson,"5,878",288
6/13/20,Anderson,"2,591",149
6/13/20,Bedford,"2,523",90
6/13/20,Benton,584,39
6/13/20,Bledsoe,240,24
6/13/20,Blount,"4,623",213
6/13/20,Bradley,"4,138",329
6/13/20,Campbell,971,72
6/13/20,Cannon,648,25
6/13/20,Carroll,874,52
6/13/20,Carter,"1,264",96
6/13/20,Cheatham,"1,356",84
6/13/20,Chester,455,23
6/13/20,Claiborne,813,55
6/13/20,Clay,116,19
6/13/20,Cocke,"1,890",111
6/13/20,Coffee,"3,556",112
6/13/20,Crockett,379,46
6/13/20,Cumberland,"1,476",107
6/13/20,Davidson,"48,816","2,324"
6/13/20,Decatur,408,16
6/13/20,DeKalb,"1,080",44
6/13/20,Dickson,"1,722",99
6/13/20,Dyer,"1,383",114
6/13/20,Fayette,"1,240",128
6/13/20,Fentress,394,50
6/13/20,Franklin,"2,937",63
6/13/20,Gibson,"1,549",114
6/13/20,Giles,"1,305",49
6/13/20,Grainger,707,41
6/13/20,Greene,"2,647",205
6/13/20,Grundy,889,25
6/13/20,Hamblen,"2,309",131
6/13/20,Hamilton,"15,190",980
6/13/20,Hancock,138,18
6/13/20,Hardeman,668,69
6/13/20,Hardin,603,52
6/13/20,Hawkins,"1,842",119
6/13/20,Haywood,719,49
6/13/20,Henderson,"1,054",78
6/13/20,Henry,913,53
6/13/20,Hickman,640,56
6/13/20,Houston,206,15
6/13/20,Humphreys,450,41
6/13/20,Jackson,297,9
6/13/20,Jefferson,"2,082",119
6/13/20,Johnson,390,28
6/13/20,Knox,"17,200",899
6/13/20,Lake,103,19
6/13/20,Lauderdale,969,107
6/13/20,Lawrence,"1,758",88
6/13/20,Lewis,357,18
6/13/20,Lincoln,"1,432",121
6/13/20,Loudon,"1,738",81
6/13/20,Macon,762,56
6/13/20,Madison,"4,419",258
6/13/20,Marion,"1,118",71
6/13/20,Marshall,"2,097",63
6/13/20,Maury,"5,875",260
6/13/20,McMinn,"2,243",161
6/13/20,McNairy,681,52
6/13/20,Meigs,512,55
6/13/20,Monroe,"1,910",91
6/13/20,Montgomery,"6,928",519
6/13/20,Moore,242,13
6/13/20,Morgan,356,39
6/13/20,Obion,658,52
6/13/20,Overton,494,29
6/13/20,Perry,273,16
6/13/20,Pickett,89,6
6/13/20,Polk,482,38
6/13/20,Putnam,"2,752",153
6/13/20,Rhea,"1,259",67
6/13/20,Roane,"1,346",121
6/13/20,Robertson,"2,907",157
6/13/20,Rutherford,"21,143",789
6/13/20,Scott,684,67
6/13/20,Sequatchie,413,21
6/13/20,Sevier,"7,521",190
6/13/20,Shelby,"51,199","5,143"
6/13/20,Smith,565,16
6/13/20,Stewart,239,16
6/13/20,Sullivan,"4,972",275
6/13/20,Sumner,"8,250",406
6/13/20,Tipton,"1,714",183
6/13/20,Trousdale,354,22
6/13/20,Unicoi,479,34
6/13/20,Union,447,23
6/13/20,Van Buren,177,9
6/13/20,Warren,"2,322",72
6/13/20,Washington,"4,376",261
6/13/20,Wayne,286,18
6/13/20,Weakley,777,61
6/13/20,White,999,46
6/13/20,Williamson,"6,776",381
6/13/20,Wilson,"6,263",279
6/6/20,Anderson?,"2,738",221
6/6/20,Bedford?,"2,616",142
6/6/20,Benton?,589,63
6/6/20,Bledsoe?,273,28
6/6/20,Blount?,"4,896",251
6/6/20,Bradley?,"4,142",390
6/6/20,Campbell?,"1,125",87
6/6/20,Cannon?,610,29
6/6/20,Carroll?,950,75
6/6/20,Carter?,"1,285",140
6/6/20,Cheatham?,"1,470",95
6/6/20,Chester?,487,24
6/6/20,Claiborne?,"1,070",58
6/6/20,Clay?,130,21
6/6/20,Cocke?,"2,183",116
6/6/20,Coffee?,"3,543",194
6/6/20,Crockett?,384,150
6/6/20,Cumberland?,"1,526",143
6/6/20,Davidson?,"49,022","2,622"
6/6/20,Decatur?,448,19
6/6/20,DeKalb?,"1,119",47
6/6/20,Dickson?,"1,866",111
6/6/20,Dyer?,"1,435",112
6/6/20,Fayette?,"1,209",140
6/6/20,Fentress?,381,69
6/6/20,Franklin?,"2,481",81
6/6/20,Gibson?,"1,672",90
6/6/20,Giles?,"1,557",65
6/6/20,Grainger?,834,59
6/6/20,Greene?,"3,026",205
6/6/20,Grundy?,797,51
6/6/20,Hamblen?,"2,756",167
6/6/20,Hamilton?,"15,746","1,079"
6/6/20,Hancock?,155,67
6/6/20,Hardeman?,659,79
6/6/20,Hardin?,559,56
6/6/20,Hawkins?,"2,119",157
6/6/20,Haywood?,755,87
6/6/20,Henderson?,"1,139",59
6/6/20,Henry?,"1,022",90
6/6/20,Hickman?,695,84
6/6/20,Houston?,240,13
6/6/20,Humphreys?,493,43
6/6/20,Jackson?,332,44
6/6/20,Jefferson?,"2,391",147
6/6/20,Johnson?,508,38
6/6/20,Knox?,"18,009","1,107"
6/6/20,Lake?,119,31
6/6/20,Lauderdale?,989,111
6/6/20,Lawrence?,"2,035",136
