Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
April,Dixon County,"3,056","2,870",186,6.10%,No
April,Dodge County,"20,480","19,091","1,389",6.80%,No
April,Douglas County,"304,076","272,165","31,911",10.50%,No
April,Dundy County,"1,222","1,189",33,2.70%,No
April,Fillmore County,"3,280","3,122",158,4.80%,No
April,Franklin County,"1,551","1,469",82,5.30%,No
April,Frontier County,"1,613","1,553",60,3.70%,No
April,Furnas County,"2,687","2,549",138,5.10%,No
April,Gage County,"11,554","10,476","1,078",9.30%,No
April,Garden County,"1,105","1,043",62,5.60%,No
April,Garfield County,"1,131","1,097",34,3.00%,No
April,Gosper County,"1,103","1,054",49,4.40%,No
April,Grant County,435,425,10,2.30%,No
April,Greeley County,"1,280","1,217",63,4.90%,No
April,Hall County,"33,108","29,157","3,951",11.90%,No
April,Hamilton County,"4,816","4,461",355,7.40%,No
April,Harlan County,"1,832","1,753",79,4.30%,No
April,Hayes County,651,634,17,2.60%,No
April,Hitchcock County,"1,286","1,223",63,4.90%,No
April,Holt County,"5,942","5,704",238,4.00%,No
April,Hooker County,388,368,20,5.20%,No
April,Howard County,"3,484","3,130",354,10.20%,No
April,Jefferson County,"4,277","4,073",204,4.80%,No
April,Johnson County,"2,132","1,990",142,6.70%,No
April,Kearney County,"4,028","3,751",277,6.90%,No
April,Keith County,"4,677","4,376",301,6.40%,No
April,Keya Paha County,630,612,18,2.90%,No
April,Kimball County,"2,026","1,933",93,4.60%,No
April,Knox County,"4,787","4,563",224,4.70%,No
April,Lancaster County,"180,731","163,826","16,905",9.40%,No
April,Lincoln County,"19,034","17,598","1,436",7.50%,No
April,Logan County,502,473,29,5.80%,No
April,Loup County,419,407,12,2.90%,No
April,Madison County,"20,495","19,195","1,300",6.30%,No
April,McPherson County,456,439,17,3.70%,No
April,Merrick County,"4,113","3,751",362,8.80%,No
April,Morrill County,"2,718","2,570",148,5.40%,No
April,Nance County,"2,066","1,955",111,5.40%,No
April,Nemaha County,"3,704","3,481",223,6.00%,No
April,Nuckolls County,"2,457","2,357",100,4.10%,No
April,Otoe County,"8,604","8,007",597,6.90%,No
April,Pawnee County,"1,530","1,459",71,4.60%,No
April,Perkins County,"1,876","1,832",44,2.30%,No
April,Phelps County,"5,148","4,863",285,5.50%,No
April,Pierce County,"4,217","4,013",204,4.80%,No
April,Platte County,"18,565","17,021","1,544",8.30%,No
April,Polk County,"3,099","2,918",181,5.80%,No
April,Red Willow County,"5,966","5,669",297,5.00%,No
April,Richardson County,"4,355","4,122",233,5.40%,No
April,Rock County,914,877,37,4.00%,No
April,Saline County,"7,604","7,140",464,6.10%,No
April,Sarpy County,"96,954","88,105","8,849",9.10%,No
April,Saunders County,"11,148","10,290",858,7.70%,No
April,Scotts Bluff County,"18,618","17,233","1,385",7.40%,No
April,Seward County,"9,111","8,364",747,8.20%,No
April,Sheridan County,"2,700","2,612",88,3.30%,No
April,Sherman County,"1,724","1,624",100,5.80%,No
April,Sioux County,780,747,33,4.20%,No
April,Stanton County,"3,618","3,423",195,5.40%,No
April,Thayer County,"2,888","2,738",150,5.20%,No
April,Thomas County,429,417,12,2.80%,No
April,Thurston County,"3,289","2,968",321,9.80%,No
April,Valley County,"2,238","2,117",121,5.40%,No
April,Washington County,"11,160","10,372",788,7.10%,No
April,Wayne County,"5,875","5,604",271,4.60%,No
April,Webster County,"1,759","1,650",109,6.20%,No
April,Wheeler County,616,597,19,3.10%,No
April,York County,"7,591","7,123",468,6.20%,No
March,Adams County,"16,954","16,223",731,4.30%,No
March,Antelope County,"3,705","3,578",127,3.40%,No
March,Arthur County,243,227,16,6.60%,No
March,Banner County,403,385,18,4.50%,No
March,Blaine County,285,267,18,6.30%,No
March,Boone County,"3,082","2,973",109,3.50%,No
March,Box Butte County,"5,445","5,190",255,4.70%,No
March,Boyd County,"1,147","1,103",44,3.80%,No
March,Brown County,"1,436","1,376",60,4.20%,No
March,Buffalo County,"27,863","26,859","1,004",3.60%,No
March,Burt County,"3,559","3,372",187,5.30%,No
March,Butler County,"4,636","4,443",193,4.20%,No
March,Cass County,"13,966","13,280",686,4.90%,No
March,Cedar County,"4,643","4,474",169,3.60%,No
March,Chase County,"2,389","2,318",71,3.00%,No
March,Cherry County,"3,499","3,384",115,3.30%,No
March,Cheyenne County,"4,368","4,153",215,4.90%,No
March,Clay County,"3,402","3,255",147,4.30%,No
March,Colfax County,"5,676","5,476",200,3.50%,No
March,Cuming County,"4,826","4,646",180,3.70%,No
March,Custer County,"6,627","6,414",213,3.20%,No
March,Dakota County,"10,995","10,384",611,5.60%,No
March,Dawes County,"5,052","4,865",187,3.70%,No
March,Dawson County,"13,425","12,899",526,3.90%,No
March,Deuel County,983,941,42,4.30%,No
March,Dixon County,"3,151","3,007",144,4.60%,No
March,Dodge County,"19,899","19,057",842,4.20%,No
March,Douglas County,"306,479","292,228","14,251",4.60%,No
March,Dundy County,"1,238","1,198",40,3.20%,No
March,Fillmore County,"3,222","3,104",118,3.70%,No
March,Franklin County,"1,511","1,451",60,4.00%,No
March,Frontier County,"1,706","1,628",78,4.60%,No
March,Furnas County,"2,642","2,542",100,3.80%,No
March,Gage County,"11,271","10,749",522,4.60%,No
March,Garden County,"1,131","1,069",62,5.50%,No
March,Garfield County,"1,180","1,140",40,3.40%,No
March,Gosper County,"1,127","1,089",38,3.40%,No
March,Grant County,452,439,13,2.90%,No
March,Greeley County,"1,284","1,231",53,4.10%,No
March,Hall County,"32,165","30,601","1,564",4.90%,No
March,Hamilton County,"4,870","4,663",207,4.30%,No
March,Harlan County,"1,838","1,760",78,4.20%,No
March,Hayes County,659,635,24,3.60%,No
March,Hitchcock County,"1,304","1,244",60,4.60%,No
March,Holt County,"5,991","5,793",198,3.30%,No
March,Hooker County,403,385,18,4.50%,No
March,Howard County,"3,410","3,270",140,4.10%,No
March,Jefferson County,"4,273","4,126",147,3.40%,No
March,Johnson County,"2,126","2,026",100,4.70%,No
March,Kearney County,"3,899","3,772",127,3.30%,No
March,Keith County,"4,577","4,393",184,4.00%,No
March,Keya Paha County,648,628,20,3.10%,No
March,Kimball County,"2,061","1,974",87,4.20%,No
March,Knox County,"4,789","4,589",200,4.20%,No
March,Lancaster County,"182,330","175,602","6,728",3.70%,No
March,Lincoln County,"18,580","17,756",824,4.40%,No
March,Logan County,497,479,18,3.60%,No
March,Loup County,433,413,20,4.60%,No
March,Madison County,"20,095","19,289",806,4.00%,No
March,McPherson County,465,445,20,4.30%,No
March,Merrick County,"4,067","3,918",149,3.70%,No
March,Morrill County,"2,722","2,598",124,4.60%,No
March,Nance County,"2,051","1,967",84,4.10%,No
March,Nemaha County,"3,713","3,555",158,4.30%,No
March,Nuckolls County,"2,520","2,413",107,4.20%,No
March,Otoe County,"8,674","8,319",355,4.10%,No
March,Pawnee County,"1,528","1,475",53,3.50%,No
March,Perkins County,"1,885","1,829",56,3.00%,No
March,Phelps County,"5,134","4,970",164,3.20%,No
March,Pierce County,"4,179","4,024",155,3.70%,No
March,Platte County,"17,991","17,307",684,3.80%,No
March,Polk County,"3,048","2,933",115,3.80%,No
March,Red Willow County,"5,985","5,765",220,3.70%,No
March,Richardson County,"4,350","4,175",175,4.00%,No
March,Rock County,922,891,31,3.40%,No
March,Saline County,"7,627","7,263",364,4.80%,No
March,Sarpy County,"98,595","94,579","4,016",4.10%,No
March,Saunders County,"11,475","11,024",451,3.90%,No
March,Scotts Bluff County,"18,321","17,426",895,4.90%,No
March,Seward County,"9,300","8,922",378,4.10%,No
March,Sheridan County,"2,775","2,673",102,3.70%,No
March,Sherman County,"1,726","1,664",62,3.60%,No
March,Sioux County,772,745,27,3.50%,No
March,Stanton County,"3,607","3,463",144,4.00%,No
March,Thayer County,"2,848","2,748",100,3.50%,No
March,Thomas County,460,427,33,7.20%,No
March,Thurston County,"3,178","3,023",155,4.90%,No
March,Valley County,"2,182","2,098",84,3.80%,No
March,Washington County,"11,588","11,102",486,4.20%,No
March,Wayne County,"6,047","5,820",227,3.80%,No
March,Webster County,"1,742","1,658",84,4.80%,No
March,Wheeler County,607,589,18,3.00%,No
March,York County,"7,376","7,107",269,3.60%,No
February,Adams County,"16,816","16,284",532,3.20%,No
February,Antelope County,"3,599","3,495",104,2.90%,No
February,Arthur County,231,218,13,5.60%,No
February,Banner County,389,377,12,3.10%,No
February,Blaine County,265,253,12,4.50%,No
February,Boone County,"2,977","2,893",84,2.80%,No
February,Box Butte County,"5,359","5,192",167,3.10%,No
February,Boyd County,"1,103","1,070",33,3.00%,No
February,Brown County,"1,403","1,361",42,3.00%,No
February,Buffalo County,"27,792","27,084",708,2.50%,No
February,Burt County,"3,493","3,347",146,4.20%,No
February,Butler County,"4,511","4,382",129,2.90%,No
February,Cass County,"13,685","13,232",453,3.30%,No
February,Cedar County,"4,507","4,388",119,2.60%,No
February,Chase County,"2,304","2,260",44,1.90%,No
February,Cherry County,"3,356","3,277",79,2.40%,No
February,Cheyenne County,"4,276","4,134",142,3.30%,No
February,Clay County,"3,309","3,207",102,3.10%,No
February,Colfax County,"5,571","5,437",134,2.40%,No
February,Cuming County,"4,694","4,575",119,2.50%,No
February,Custer County,"6,438","6,302",136,2.10%,No
February,Dakota County,"10,861","10,368",493,4.50%,No
February,Dawes County,"4,906","4,789",117,2.40%,No
February,Dawson County,"13,176","12,769",407,3.10%,No
February,Deuel County,957,934,23,2.40%,No
February,Dixon County,"3,070","2,966",104,3.40%,No
February,Dodge County,"19,534","18,958",576,2.90%,No
February,Douglas County,"301,739","291,893","9,846",3.30%,No
February,Dundy County,"1,195","1,168",27,2.30%,No
February,Fillmore County,"3,116","3,047",69,2.20%,No
February,Franklin County,"1,460","1,418",42,2.90%,No
February,Frontier County,"1,646","1,586",60,3.60%,No
February,Furnas County,"2,536","2,475",61,2.40%,No
February,Gage County,"11,049","10,667",382,3.50%,No
February,Garden County,"1,087","1,049",38,3.50%,No
February,Garfield County,"1,155","1,128",27,2.30%,No
February,Gosper County,"1,098","1,075",23,2.10%,No
February,Grant County,438,428,10,2.30%,No
February,Greeley County,"1,226","1,191",35,2.90%,No
February,Hall County,"31,907","30,713","1,194",3.70%,No
February,Hamilton County,"4,775","4,637",138,2.90%,No
February,Harlan County,"1,773","1,719",54,3.00%,No
February,Hayes County,633,614,19,3.00%,No
February,Hitchcock County,"1,267","1,223",44,3.50%,No
February,Holt County,"5,817","5,667",150,2.60%,No
February,Hooker County,375,362,13,3.50%,No
February,Howard County,"3,354","3,254",100,3.00%,No
February,Jefferson County,"4,190","4,081",109,2.60%,No
February,Johnson County,"2,086","2,005",81,3.90%,No
February,Kearney County,"3,831","3,745",86,2.20%,No
February,Keith County,"4,463","4,327",136,3.00%,No
February,Keya Paha County,615,602,13,2.10%,No
February,Kimball County,"2,022","1,968",54,2.70%,No
February,Knox County,"4,657","4,494",163,3.50%,No
February,Lancaster County,"180,252","175,492","4,760",2.60%,No
February,Lincoln County,"18,180","17,569",611,3.40%,No
February,Logan County,479,467,12,2.50%,No
February,Loup County,415,398,17,4.10%,No
February,Madison County,"19,803","19,212",591,3.00%,No
February,McPherson County,447,430,17,3.80%,No
February,Merrick County,"4,013","3,896",117,2.90%,No
February,Morrill County,"2,649","2,549",100,3.80%,No
February,Nance County,"1,992","1,936",56,2.80%,No
February,Nemaha County,"3,620","3,516",104,2.90%,No
February,Nuckolls County,"2,460","2,379",81,3.30%,No
February,Otoe County,"8,475","8,237",238,2.80%,No
February,Pawnee County,"1,488","1,452",36,2.40%,No
February,Perkins County,"1,834","1,798",36,2.00%,No
February,Phelps County,"5,003","4,888",115,2.30%,No
February,Pierce County,"4,076","3,968",108,2.60%,No
