county,date,claims,,,,,,,,,,
Broome,4/4/20,"2,948",,,,,,,,,,
Cattaraugus,4/4/20,"1,118",,,,,,,,,,
Cayuga,4/4/20,"1,233",,,,,,,,,,
Chautauqua,4/4/20,"1,971",,,,,,,,,,
Chemung,4/4/20,"1,292",,,,,,,,,,
Chenango,4/4/20,571,,,,,,,,,,
Clinton,4/4/20,"1,406",,,,,,,,,,
Columbia,4/4/20,702,,,,,,,,,,
Cortland,4/4/20,675,,,,,,,,,,
Delaware,4/4/20,465,,,,,,,,,,
Dutchess,4/4/20,"4,459",,,,,,,,,,
Erie,4/4/20,"17,355",,,,,,,,,,
Essex,4/4/20,254,,,,,,,,,,
Franklin,4/4/20,646,,,,,,,,,,
Fulton,4/4/20,665,,,,,,,,,,
genesee,4/4/20,886,,,,,,,,,,
Greene,4/4/20,627,,,,,,,,,,
Hamilton,4/4/20,254,,,,,,,,,,
Herkimer,4/4/20,"1,094",,,,,,,,,,
Jefferson,4/4/20,"1,462",,,,,,,,,,
Kings,4/4/20,"43,658",,,,,,,,,,
Lewis,4/4/20,341,,,,,,,,,,
Livingston,4/4/20,996,,,,,,,,,,
Madison,4/4/20,"1,242",,,,,,,,,,
Monroe,4/4/20,"11,507",,,,,,,,,,
Montgomery,4/4/20,819,,,,,,,,,,
Nassau,4/4/20,"24,564",,,,,,,,,,
New York,4/4/20,"21,757",,,,,,,,,,
Niagara,4/4/20,"4,638",,,,,,,,,,
Oneida,4/4/20,"3,766",,,,,,,,,,
Onondaga,4/4/20,"8,327",,,,,,,,,,
Ontario,4/4/20,"1,033",,,,,,,,,,
Orange,4/4/20,"5,669",,,,,,,,,,
Orleans,4/4/20,595,,,,,,,,,,
Oswego,4/4/20,"2,137",,,,,,,,,,
Otsego,4/4/20,603,,,,,,,,,,
Putnam,4/4/20,"1,516",,,,,,,,,,
Queens,4/4/20,"50,458",,,,,,,,,,
Rensselaer,4/4/20,"2,038",,,,,,,,,,
Richmond,4/4/20,"8,064",,,,,,,,,,
Rockland,4/4/20,"3,736",,,,,,,,,,
St. Lawrence,4/4/20,"1,298",,,,,,,,,,
Saratoga,4/4/20,"3,355",,,,,,,,,,
Schenectady,4/4/20,"2,384",,,,,,,,,,
Schoharie,4/4/20,315,,,,,,,,,,
Schuyler,4/4/20,302,,,,,,,,,,
Seneca,4/4/20,469,,,,,,,,,,
Steuben,4/4/20,"1,507",,,,,,,,,,
Suffolk,4/4/20,"30,797",,,,,,,,,,
Sullivan,4/4/20,874,,,,,,,,,,
Tioga,4/4/20,799,,,,,,,,,,
Tompkins,4/4/20,"1,075",,,,,,,,,,
Ulster,4/4/20,"2,888",,,,,,,,,,
Warren,4/4/20,"1,086",,,,,,,,,,
Washington,4/4/20,799,,,,,,,,,,
Wayne,4/4/20,"1,402",,,,,,,,,,
Westchester,4/4/20,"12,617",,,,,,,,,,
Wyoming,4/4/20,603,,,,,,,,,,
Yates,4/4/20,1033,,,,,,,,,,
Out of State,4/4/20,"18,763",,,,,,,,,,
Albany,4/18/20,"1,856",,,,,,,,,,
Allegany,4/18/20,271,,,,,,,,,,
Bronx,4/18/20,"17,593",,,,,,,,,,
Broome,4/18/20,"1,622",,,,,,,,,,
Cattaraugus,4/18/20,741,,,,,,,,,,
Cayuga,4/18/20,637,,,,,,,,,,
Chautauqua,4/18/20,"1,127",,,,,,,,,,
Chemung,4/18/20,665,,,,,,,,,,
Chenango,4/18/20,295,,,,,,,,,,
Clinton,4/18/20,626,,,,,,,,,,
Columbia,4/18/20,324,,,,,,,,,,
Cortland,4/18/20,295,,,,,,,,,,
Delaware,4/18/20,232,,,,,,,,,,
Dutchess,4/18/20,"2,260",,,,,,,,,,
Erie,4/18/20,"9,178",,,,,,,,,,
Essex,4/18/20,115,,,,,,,,,,
Franklin,4/18/20,250,,,,,,,,,,
Fulton,4/18/20,345,,,,,,,,,,
genesee,4/18/20,421,,,,,,,,,,
Greene,4/18/20,311,,,,,,,,,,
Hamilton,4/18/20,115,,,,,,,,,,
Herkimer,4/18/20,393,,,,,,,,,,
Jefferson,4/18/20,671,,,,,,,,,,
Kings,4/18/20,"29,543",,,,,,,,,,
Lewis,4/18/20,166,,,,,,,,,,
Livingston,4/18/20,403,,,,,,,,,,
Madison,4/18/20,504,,,,,,,,,,
Monroe,4/18/20,"5,278",,,,,,,,,,
Montgomery,4/18/20,395,,,,,,,,,,
Nassau,4/18/20,"13,725",,,,,,,,,,
New York,4/18/20,"13,524",,,,,,,,,,
Niagara,4/18/20,"2,138",,,,,,,,,,
Oneida,4/18/20,"1,809",,,,,,,,,,
Onondaga,4/18/20,"4,082",,,,,,,,,,
Ontario,4/18/20,460,,,,,,,,,,
Orange,4/18/20,"3,590",,,,,,,,,,
Orleans,4/18/20,297,,,,,,,,,,
Oswego,4/18/20,"1,047",,,,,,,,,,
Otsego,4/18/20,360,,,,,,,,,,
Putnam,4/18/20,745,,,,,,,,,,
Queens,4/18/20,"37,374",,,,,,,,,,
Rensselaer,4/18/20,"1,033",,,,,,,,,,
Richmond,4/18/20,"5,131",,,,,,,,,,
Rockland,4/18/20,"2,168",,,,,,,,,,
St. Lawrence,4/18/20,295,,,,,,,,,,
Saratoga,4/18/20,1654,,,,,,,,,,
Schenectady,4/18/20,"1,196",,,,,,,,,,
Schoharie,4/18/20,170,,,,,,,,,,
Schuyler,4/18/20,342,,,,,,,,,,
Seneca,4/18/20,294,,,,,,,,,,
Steuben,4/18/20,342,,,,,,,,,,
Suffolk,4/18/20,15650,,,,,,,,,,
Sullivan,4/18/20,775,,,,,,,,,,
Tioga,4/18/20,338,,,,,,,,,,
Tompkins,4/18/20,496,,,,,,,,,,
Ulster,4/18/20,1477,,,,,,,,,,
Warren,4/18/20,552,,,,,,,,,,
Washington,4/18/20,433,,,,,,,,,,
Wayne,4/18/20,622,,,,,,,,,,
Westchester,4/18/20,7562,,,,,,,,,,
Wyoming,4/18/20,266,,,,,,,,,,
Yates,4/18/20,460,,,,,,,,,,
Out of State,4/18/20,9891,,,,,,,,,,
Albany,4/11/20,"3,776",,,,,,,,,,
Allegany,4/11/20,496,,,,,,,,,,
Bronx,4/11/20,"28,461",,,,,,,,,,
Broome,4/11/20,"3,079",,,,,,,,,,
Cattaraugus,4/11/20,"1,686",,,,,,,,,,
Cayuga,4/11/20,"1,237",,,,,,,,,,
Chautauqua,4/11/20,"2,289",,,,,,,,,,
Chemung,4/11/20,"1,138",,,,,,,,,,
Chenango,4/11/20,564,,,,,,,,,,
Clinton,4/11/20,"1,223",,,,,,,,,,
Columbia,4/11/20,744,,,,,,,,,,
Cortland,4/11/20,668,,,,,,,,,,
Delaware,4/11/20,474,,,,,,,,,,
Dutchess,4/11/20,"4,969",,,,,,,,,,
Erie,4/11/20,"18,040",,,,,,,,,,
Essex,4/11/20,246,,,,,,,,,,
Franklin,4/11/20,623,,,,,,,,,,
Fulton,4/11/20,663,,,,,,,,,,
genesee,4/11/20,931,,,,,,,,,,
Greene,4/11/20,651,,,,,,,,,,
Hamilton,4/11/20,246,,,,,,,,,,
Herkimer,4/11/20,790,,,,,,,,,,
Jefferson,4/11/20,"1,490",,,,,,,,,,
Kings,4/11/20,"53,275",,,,,,,,,,
Lewis,4/11/20,279,,,,,,,,,,
Livingston,4/11/20,918,,,,,,,,,,
Madison,4/11/20,"1,229",,,,,,,,,,
Monroe,4/11/20,"11,689",,,,,,,,,,
Montgomery,4/11/20,715,,,,,,,,,,
Nassau,4/11/20,"28,064",,,,,,,,,,
New York,4/11/20,"26,858",,,,,,,,,,
Niagara,4/11/20,"4,824",,,,,,,,,,
Oneida,4/11/20,"3,639",,,,,,,,,,
Onondaga,4/11/20,"8,336",,,,,,,,,,
Ontario,4/11/20,"1,013",,,,,,,,,,
Orange,4/11/20,"6,530",,,,,,,,,,
Orleans,4/11/20,581,,,,,,,,,,
Oswego,4/11/20,"2,188",,,,,,,,,,
Otsego,4/11/20,585,,,,,,,,,,
Putnam,4/11/20,"1,742",,,,,,,,,,
Queens,4/11/20,"66,128",,,,,,,,,,
Rensselaer,4/11/20,"2,066",,,,,,,,,,
Richmond,4/11/20,"9,803",,,,,,,,,,
Rockland,4/11/20,"4,475",,,,,,,,,,
St. Lawrence,4/11/20,"1,341",,,,,,,,,,
Saratoga,4/11/20,"3,453",,,,,,,,,,
Schenectady,4/11/20,"2,547",,,,,,,,,,
Schoharie,4/11/20,332,,,,,,,,,,
Schuyler,4/11/20,773,,,,,,,,,,
Seneca,4/11/20,573,,,,,,,,,,
Steuben,4/11/20,773,,,,,,,,,,
Suffolk,4/11/20,"31,462",,,,,,,,,,
Sullivan,4/11/20,993,,,,,,,,,,
Tioga,4/11/20,809,,,,,,,,,,
Tompkins,4/11/20,974,,,,,,,,,,
Ulster,4/11/20,"3,121",,,,,,,,,,
Warren,4/11/20,"1,039",,,,,,,,,,
Washington,4/11/20,753,,,,,,,,,,
Wayne,4/11/20,"1,489",,,,,,,,,,
Westchester,4/11/20,"15,008",,,,,,,,,,
Wyoming,4/11/20,601,,,,,,,,,,
Yates,4/11/20,1013,,,,,,,,,,
Out of State,4/11/20,"399,015",,,,,,,,,,
Albany,5/2/20,"2,053",,,,,,,,,,
Allegany,5/2/20,245,,,,,,,,,,
Bronx,5/2/20,"16,713",,,,,,,,,,
Broome,5/2/20,"1,314",,,,,,,,,,
Cattaraugus,5/2/20,615,,,,,,,,,,
Cayuga,5/2/20,511,,,,,,,,,,
Chautauqua,5/2/20,864,,,,,,,,,,
Chemung,5/2/20,620,,,,,,,,,,
Chenango,5/2/20,282,,,,,,,,,,
Clinton,5/2/20,541,,,,,,,,,,
Columbia,5/2/20,384,,,,,,,,,,
Cortland,5/2/20,296,,,,,,,,,,
Delaware,5/2/20,221,,,,,,,,,,
Dutchess,5/2/20,"2,343",,,,,,,,,,
Erie,5/2/20,"9,197",,,,,,,,,,
Essex,5/2/20,102,,,,,,,,,,
Franklin,5/2/20,334,,,,,,,,,,
Fulton,5/2/20,359,,,,,,,,,,
genesee,5/2/20,482,,,,,,,,,,
Greene,5/2/20,331,,,,,,,,,,
Hamilton,5/2/20,102,,,,,,,,,,
Herkimer,5/2/20,413,,,,,,,,,,
Jefferson,5/2/20,641,,,,,,,,,,
Kings,5/2/20,"29,812",,,,,,,,,,
Lewis,5/2/20,161,,,,,,,,,,
Livingston,5/2/20,355,,,,,,,,,,
Madison,5/2/20,453,,,,,,,,,,
Monroe,5/2/20,"5,480",,,,,,,,,,
Montgomery,5/2/20,389,,,,,,,,,,
Nassau,5/2/20,"12,821",,,,,,,,,,
New York,5/2/20,"14,205",,,,,,,,,,
Niagara,5/2/20,"2,185",,,,,,,,,,
Oneida,5/2/20,"1,811",,,,,,,,,,
Onondaga,5/2/20,"3,941",,,,,,,,,,
Ontario,5/2/20,416,,,,,,,,,,
Orange,5/2/20,"3,179",,,,,,,,,,
Orleans,5/2/20,285,,,,,,,,,,
Oswego,5/2/20,982,,,,,,,,,,
Otsego,5/2/20,350,,,,,,,,,,
Putnam,5/2/20,774,,,,,,,,,,
Queens,5/2/20,"32,610",,,,,,,,,,
Rensselaer,5/2/20,"1,039",,,,,,,,,,
Richmond,5/2/20,"4,454",,,,,,,,,,
Rockland,5/2/20,"2,412",,,,,,,,,,
St. Lawrence,5/2/20,568,,,,,,,,,,
Saratoga,5/2/20,"1,702",,,,,,,,,,
Schenectady,5/2/20,"1,381",,,,,,,,,,
Schoharie,5/2/20,158,,,,,,,,,,
Schuyler,5/2/20,384,,,,,,,,,,
Seneca,5/2/20,216,,,,,,,,,,
Steuben,5/2/20,384,,,,,,,,,,
Suffolk,5/2/20,"13,764",,,,,,,,,,
Sullivan,5/2/20,598,,,,,,,,,,
Tioga,5/2/20,298,,,,,,,,,,
Tompkins,5/2/20,521,,,,,,,,,,
Ulster,5/2/20,"1,454",,,,,,,,,,
Warren,5/2/20,542,,,,,,,,,,
Washington,5/2/20,460,,,,,,,,,,
Wayne,5/2/20,573,,,,,,,,,,
Westchester,5/2/20,"5,347",,,,,,,,,,
Wyoming,5/2/20,234,,,,,,,,,,
Yates,5/2/20,416,,,,,,,,,,
Out of State,5/2/20,"9,529",,,,,,,,,,
Albany,4/25/20,"2,278",,,,,,,,,,
Allegany,4/25/20,322,,,,,,,,,,
Bronx,4/25/20,"18,245",,,,,,,,,,
Broome,4/25/20,"1,503",,,,,,,,,,
Cattaraugus,4/25/20,694,,,,,,,,,,
Cayuga,4/25/20,643,,,,,,,,,,
Chautauqua,4/25/20,"1,233",,,,,,,,,,
Chemung,4/25/20,845,,,,,,,,,,
Chenango,4/25/20,369,,,,,,,,,,
Clinton,4/25/20,640,,,,,,,,,,
Columbia,4/25/20,457,,,,,,,,,,
Cortland,4/25/20,427,,,,,,,,,,
Delaware,4/25/20,274,,,,,,,,,,
Dutchess,4/25/20,"2,537",,,,,,,,,,
Erie,4/25/20,"10,086",,,,,,,,,,
Essex,4/25/20,140,,,,,,,,,,
Franklin,4/25/20,453,,,,,,,,,,
Fulton,4/25/20,409,,,,,,,,,,
genesee,4/25/20,589,,,,,,,,,,
Greene,4/25/20,402,,,,,,,,,,
Hamilton,4/25/20,140,,,,,,,,,,
Herkimer,4/25/20,600,,,,,,,,,,
Jefferson,4/25/20,955,,,,,,,,,,
Kings,4/25/20,"32,272",,,,,,,,,,
Lewis,4/25/20,195,,,,,,,,,,
Livingston,4/25/20,490,,,,,,,,,,
Madison,4/25/20,660,,,,,,,,,,
Monroe,4/25/20,"6,049",,,,,,,,,,
Montgomery,4/25/20,461,,,,,,,,,,
Nassau,4/25/20,"14,047",,,,,,,,,,
New York,4/25/20,"15,691",,,,,,,,,,
Niagara,4/25/20,"2,467",,,,,,,,,,
Oneida,4/25/20,"1,993",,,,,,,,,,
Onondaga,4/25/20,"4,796",,,,,,,,,,
Ontario,4/25/20,507,,,,,,,,,,
Orange,4/25/20,"3,661",,,,,,,,,,
Orleans,4/25/20,326,,,,,,,,,,
Oswego,4/25/20,"1,223",,,,,,,,,,
Otsego,4/25/20,399,,,,,,,,,,
Putnam,4/25/20,826,,,,,,,,,,
Queens,4/25/20,"37,109",,,,,,,,,,
Rensselaer,4/25/20,"1,241",,,,,,,,,,
Richmond,4/25/20,"5,711",,,,,,,,,,
Rockland,4/25/20,"2,551",,,,,,,,,,
St. Lawrence,4/25/20,914,,,,,,,,,,
Saratoga,4/25/20,"1,975",,,,,,,,,,
Schenectady,4/25/20,"1,611",,,,,,,,,,
Schoharie,4/25/20,179,,,,,,,,,,
Schuyler,4/25/20,459,,,,,,,,,,
Seneca,4/25/20,294,,,,,,,,,,
Steuben,4/25/20,459,,,,,,,,,,
