county,date,claims,,,,,,,,,,
Bronx,5/30/20,"10,662",,,,,,,,,,
Broome,5/30/20,550,,,,,,,,,,
Cattaraugus,5/30/20,177,,,,,,,,,,
Cayuga,5/30/20,203,,,,,,,,,,
Chautauqua,5/30/20,397,,,,,,,,,,
Chemung,5/30/20,572,,,,,,,,,,
Chenango,5/30/20,112,,,,,,,,,,
Clinton,5/30/20,308,,,,,,,,,,
Columbia,5/30/20,118,,,,,,,,,,
Cortland,5/30/20,131,,,,,,,,,,
Delaware,5/30/20,90,,,,,,,,,,
Dutchess,5/30/20,863,,,,,,,,,,
Erie,5/30/20,"3,042",,,,,,,,,,
Essex,5/30/20,40,,,,,,,,,,
Hamilton,5/30/20,40,,,,,,,,,,
Franklin,5/30/20,101,,,,,,,,,,
Fulton,5/30/20,121,,,,,,,,,,
genesee,5/30/20,178,,,,,,,,,,
Greene,5/30/20,145,,,,,,,,,,
Herkimer,5/30/20,152,,,,,,,,,,
Jefferson,5/30/20,142,,,,,,,,,,
Kings,5/30/20,"12,572",,,,,,,,,,
Lewis,5/30/20,142,,,,,,,,,,
Livingston,5/30/20,210,,,,,,,,,,
Madison,5/30/20,169,,,,,,,,,,
Monroe,5/30/20,"3,129",,,,,,,,,,
Montgomery,5/30/20,175,,,,,,,,,,
Nassau,5/30/20,"4,829",,,,,,,,,,
New York,5/30/20,"6,963",,,,,,,,,,
Niagara,5/30/20,734,,,,,,,,,,
Oneida,5/30/20,646,,,,,,,,,,
Onondaga,5/30/20,"1,496",,,,,,,,,,
Ontario,5/30/20,200,,,,,,,,,,
Yates,5/30/20,200,,,,,,,,,,
Orange,5/30/20,"1,118",,,,,,,,,,
Orleans,5/30/20,136,,,,,,,,,,
Oswego,5/30/20,371,,,,,,,,,,
Otsego,5/30/20,132,,,,,,,,,,
Putnam,5/30/20,258,,,,,,,,,,
Queens,5/30/20,"11,814",,,,,,,,,,
Rensselaer,5/30/20,382,,,,,,,,,,
Richmond,5/30/20,"1,692",,,,,,,,,,
Rockland,5/30/20,"1,047",,,,,,,,,,
St. Lawrence,5/30/20,165,,,,,,,,,,
Saratoga,5/30/20,556,,,,,,,,,,
Schenectady,5/30/20,565,,,,,,,,,,
Schoharie,5/30/20,68,,,,,,,,,,
Schuyler,5/30/20,600,,,,,,,,,,
Steuben,5/30/20,600,,,,,,,,,,
Seneca,5/30/20,66,,,,,,,,,,
Suffolk,5/30/20,5057,,,,,,,,,,
Sullivan,5/30/20,235,,,,,,,,,,
Tioga,5/30/20,122,,,,,,,,,,
Tompkins,5/30/20,289,,,,,,,,,,
Ulster,5/30/20,525,,,,,,,,,,
Warren,5/30/20,160,,,,,,,,,,
Washington,5/30/20,136,,,,,,,,,,
Wayne,5/30/20,220,,,,,,,,,,
Westchester,5/30/20,3250,,,,,,,,,,
Wyoming,5/30/20,75,,,,,,,,,,
Out of State,5/30/20,5280,,,,,,,,,,
Albany,5/23/20,"2,122",,,,,,,,,,
Allegany,5/23/20,243,,,,,,,,,,
Bronx,5/23/20,"20,048",,,,,,,,,,
Broome,5/23/20,"1,293",,,,,,,,,,
Cattaraugus,5/23/20,525,,,,,,,,,,
Cayuga,5/23/20,490,,,,,,,,,,
Chautauqua,5/23/20,865,,,,,,,,,,
Chemung,5/23/20,578,,,,,,,,,,
Chenango,5/23/20,285,,,,,,,,,,
Clinton,5/23/20,599,,,,,,,,,,
Columbia,5/23/20,426,,,,,,,,,,
Cortland,5/23/20,326,,,,,,,,,,
Delaware,5/23/20,229,,,,,,,,,,
Dutchess,5/23/20,"2,146",,,,,,,,,,
Erie,5/23/20,"7,818",,,,,,,,,,
Essex,5/23/20,116,,,,,,,,,,
Hamilton,5/23/20,116,,,,,,,,,,
Franklin,5/23/20,273,,,,,,,,,,
Fulton,5/23/20,359,,,,,,,,,,
genesee,5/23/20,383,,,,,,,,,,
Greene,5/23/20,355,,,,,,,,,,
Herkimer,5/23/20,365,,,,,,,,,,
Jefferson,5/23/20,407,,,,,,,,,,
Kings,5/23/20,"29,428",,,,,,,,,,
Lewis,5/23/20,407,,,,,,,,,,
Livingston,5/23/20,439,,,,,,,,,,
Madison,5/23/20,363,,,,,,,,,,
Monroe,5/23/20,"6,918",,,,,,,,,,
Montgomery,5/23/20,437,,,,,,,,,,
Nassau,5/23/20,"11,673",,,,,,,,,,
New York,5/23/20,"16,053",,,,,,,,,,
Niagara,5/23/20,"1,823",,,,,,,,,,
Oneida,5/23/20,"1,559",,,,,,,,,,
Onondaga,5/23/20,"3,683",,,,,,,,,,
Ontario,5/23/20,414,,,,,,,,,,
Yates,5/23/20,414,,,,,,,,,,
Orange,5/23/20,"2,850",,,,,,,,,,
Orleans,5/23/20,259,,,,,,,,,,
Oswego,5/23/20,865,,,,,,,,,,
Otsego,5/23/20,310,,,,,,,,,,
Putnam,5/23/20,708,,,,,,,,,,
Queens,5/23/20,"28,293",,,,,,,,,,
Rensselaer,5/23/20,"1,060",,,,,,,,,,
Richmond,5/23/20,"4,050",,,,,,,,,,
Rockland,5/23/20,"2,940",,,,,,,,,,
St. Lawrence,5/23/20,473,,,,,,,,,,
Saratoga,5/23/20,"1,426",,,,,,,,,,
Schenectady,5/23/20,"1,380",,,,,,,,,,
Schoharie,5/23/20,165,,,,,,,,,,
Schuyler,5/23/20,363,,,,,,,,,,
Steuben,5/23/20,363,,,,,,,,,,
Seneca,5/23/20,193,,,,,,,,,,
Suffolk,5/23/20,"12,444",,,,,,,,,,
Sullivan,5/23/20,608,,,,,,,,,,
Tioga,5/23/20,260,,,,,,,,,,
Tompkins,5/23/20,591,,,,,,,,,,
Ulster,5/23/20,"1,438",,,,,,,,,,
Warren,5/23/20,489,,,,,,,,,,
Washington,5/23/20,403,,,,,,,,,,
Wayne,5/23/20,584,,,,,,,,,,
Westchester,5/23/20,"7,471",,,,,,,,,,
Wyoming,5/23/20,256,,,,,,,,,,
Out of State,5/23/20,"11,728",,,,,,,,,,
