"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"05","05125",55862,50789,5073,9.1
"05","05127",4100,3846,254,6.2
"05","05129",2793,2488,305,10.9
"05","05131",54975,48886,6089,11.1
"05","05133",5226,4790,436,8.3
"05","05135",5619,4980,639,11.4
"05","05137",4584,4041,543,11.8
"05","05139",15225,13422,1803,11.8
"05","05141",5595,4945,650,11.6
"05","05143",119589,109705,9884,8.3
"05","05145",32600,29313,3287,10.1
"05","05147",2575,2365,210,8.2
"05","05149",8005,7415,590,7.4
"06","06001",800321,687821,112500,14.1
"06","06003",484,377,107,22.1
"06","06005",14391,12337,2054,14.3
"06","06007",98272,83668,14604,14.9
"06","06009",20564,17830,2734,13.3
"06","06011",11234,8274,2960,26.3
"06","06013",534109,456473,77636,14.5
"06","06015",9481,8241,1240,13.1
"06","06017",88112,74585,13527,15.4
"06","06019",457591,381109,76482,16.7
"06","06021",11304,9472,1832,16.2
"06","06023",62799,54195,8604,13.7
"06","06025",71484,51437,20047,28
"06","06027",8161,7041,1120,13.7
"06","06029",375771,305988,69783,18.6
"06","06031",58251,48441,9810,16.8
"06","06033",28316,24003,4313,15.2
"06","06035",8942,7902,1040,11.6
"06","06037",4759763,3791378,968385,20.3
"06","06039",63051,52601,10450,16.6
"06","06041",128788,114476,14312,11.1
"06","06043",7805,6413,1392,17.8
"06","06045",37245,31722,5523,14.8
"06","06047",116325,94488,21837,18.8
"06","06049",3044,2609,435,14.3
"06","06051",8170,6361,1809,22.1
"06","06053",207418,165571,41847,20.2
"06","06055",72717,61172,11545,15.9
"06","06057",45085,38554,6531,14.5
"06","06059",1529552,1317796,211756,13.8
"06","06061",176640,153204,23436,13.3
"06","06063",6890,5479,1411,20.5
"06","06065",1100140,931311,168829,15.3
"06","06067",677062,577737,99325,14.7
"06","06069",30755,24657,6098,19.8
"06","06071",947393,820692,126701,13.4
"06","06073",1543403,1312081,231322,15
"06","06075",551425,482070,69355,12.6
"06","06077",317154,259140,58014,18.3
"06","06079",135095,116543,18552,13.7
"06","06081",429534,380609,48925,11.4
"06","06083",215401,185864,29537,13.7
"06","06085",1013319,894471,118848,11.7
"06","06087",132798,109656,23142,17.4
"06","06089",70622,59394,11228,15.9
"06","06091",1234,1059,175,14.2
"06","06093",16583,13958,2625,15.8
"06","06095",203007,172744,30263,14.9
"06","06097",235793,199847,35946,15.2
"06","06099",239405,198593,40812,17
"06","06101",46076,37820,8256,17.9
"06","06103",25240,21576,3664,14.5
"06","06105",4348,3792,556,12.8
"06","06107",200705,162559,38146,19
"06","06109",21835,18090,3745,17.2
"06","06111",409293,351876,57417,14
"06","06113",99381,87530,11851,11.9
"06","06115",30349,25545,4804,15.8
"08","08001",269354,235826,33528,12.4
"08","08003",7660,6941,719,9.4
"08","08005",360277,316106,44171,12.3
"08","08007",6394,5374,1020,16
"08","08009",1840,1790,50,2.7
"08","08011",1663,1579,84,5.1
"08","08013",191331,172831,18500,9.7
"08","08014",39117,34846,4271,10.9
"08","08015",8874,7715,1159,13.1
"08","08017",1033,1008,25,2.4
"08","08019",6223,5256,967,15.5
"08","08021",3658,3354,304,8.3
"08","08023",1635,1504,131,8
"08","08025",1274,1191,83,6.5
"08","08027",1785,1657,128,7.2
"08","08029",12781,11476,1305,10.2
"08","08031",416427,361425,55002,13.2
"08","08033",1057,924,133,12.6
"08","08035",187467,168905,18562,9.9
"08","08037",37488,29818,7670,20.5
"08","08039",14358,13285,1073,7.5
"08","08041",335350,294308,41042,12.2
"08","08043",13341,11650,1691,12.7
"08","08045",29855,25866,3989,13.4
"08","08047",4271,3290,981,23
"08","08049",9269,7510,1759,19
"08","08051",10687,8981,1706,16
"08","08053",291,266,25,8.6
"08","08055",2192,1920,272,12.4
"08","08057",883,818,65,7.4
"08","08059",330351,291065,39286,11.9
"08","08061",851,829,22,2.6
"08","08063",3704,3561,143,3.9
"08","08065",4844,4035,809,16.7
"08","08067",28940,25079,3861,13.3
"08","08069",201895,179757,22138,11
"08","08071",5833,5219,614,10.5
"08","08073",1985,1863,122,6.1
"08","08075",9467,8806,661,7
"08","08077",73342,64072,9270,12.6
"08","08079",467,418,49,10.5
"08","08081",6341,5675,666,10.5
"08","08083",11314,9970,1344,11.9
"08","08085",19782,17410,2372,12
"08","08087",14281,13314,967,6.8
"08","08089",7289,6736,553,7.6
"08","08091",2210,1800,410,18.6
"08","08093",10790,9720,1070,9.9
"08","08095",2264,2178,86,3.8
"08","08097",11604,8921,2683,23.1
"08","08099",5536,5259,277,5
"08","08101",72044,63579,8465,11.7
"08","08103",2638,2445,193,7.3
"08","08105",4897,4375,522,10.7
"08","08107",15851,13038,2813,17.7
"08","08109",3186,2963,223,7
"08","08111",447,384,63,14.1
"08","08113",6022,4679,1343,22.3
"08","08115",1094,1051,43,3.9
"08","08117",23810,18782,5028,21.1
"08","08119",12942,11028,1914,14.8
"08","08121",2460,2370,90,3.7
"08","08123",165122,148975,16147,9.8
"08","08125",5240,5069,171,3.3
"09","09001",432344,398691,33653,7.8
"09","09003",456005,420248,35757,7.8
"09","09005",96900,89735,7165,7.4
"09","09007",88043,82021,6022,6.8
"09","09009",427171,393731,33440,7.8
"09","09011",120257,105712,14545,12.1
"09","09013",81576,76298,5278,6.5
"09","09015",59472,54670,4802,8.1
"10","10001",78850,66370,12480,15.8
"10","10003",283987,244003,39984,14.1
"10","10005",100509,84463,16046,16
"11","11001",403204,358366,44838,11.1
"12","12001",124349,113209,11140,9
"12","12003",10283,9500,783,7.6
"12","12005",76916,67038,9878,12.8
"12","12007",9871,9029,842,8.5
"12","12009",268858,234043,34815,12.9
"12","12011",935487,799479,136008,14.5
"12","12013",4234,3893,341,8.1
"12","12015",64362,54296,10066,15.6
"12","12017",44560,37536,7024,15.8
"12","12019",96175,86381,9794,10.2
"12","12021",164585,142513,22072,13.4
"12","12023",26743,24182,2561,9.6
"12","12027",13573,12565,1008,7.4
"12","12029",5231,4816,415,7.9
"12","12031",443680,393536,50144,11.3
"12","12033",137914,120324,17590,12.8
"12","12035",44185,37390,6795,15.4
"12","12037",4136,3711,425,10.3
"12","12039",16836,15562,1274,7.6
"12","12041",6258,5743,515,8.2
"12","12043",4920,4568,352,7.2
"12","12045",5017,4545,472,9.4
"12","12047",3840,3456,384,10
"12","12049",7916,7274,642,8.1
