Area,Year,Period,Period Value,Labor Force,Employment,Unemployment,Unemployment Rate,Adjusted,Preliminary,Benchmark
Neenah City,2020,February,202002,"13,922","13,477",445,3.2,0,0,2019
Neenah City,2020,January,202001,"13,882","13,410",472,3.4,0,0,2019
Neenah City,2019,December,201912,"13,874","13,485",389,2.8,0,0,2019
Neenah City,2019,November,201911,"13,925","13,530",395,2.8,0,0,2019
Neenah City,2019,October,201910,"13,919","13,543",376,2.7,0,0,2019
Neenah City,2019,September,201909,"13,877","13,502",375,2.7,0,0,2019
Neenah City,2019,August,201908,"14,005","13,510",495,3.5,0,0,2019
Neenah City,2019,July,201907,"14,131","13,650",481,3.4,0,0,2019
Neenah City,2019,June,201906,"14,051","13,549",502,3.6,0,0,2019
Neenah City,2019,May,201905,"13,878","13,492",386,2.8,0,0,2019
Neenah City,2019,April,201904,"13,874","13,502",372,2.7,0,0,2019
Neenah City,2019,March,201903,"13,984","13,553",431,3.1,0,0,2019
Neenah City,2019,February,201902,"14,009","13,595",414,3,0,0,2019
Neenah City,2019,January,201901,"13,848","13,425",423,3.1,0,0,2019
Oshkosh City,2020,May,202005,"34,450","30,642","3,808",11.1,0,1,2019
Oshkosh City,2020,April,202004,"33,897","29,391","4,506",13.3,0,0,2019
Oshkosh City,2020,March,202003,"33,940","33,048",892,2.6,0,0,2019
Oshkosh City,2020,February,202002,"34,332","33,302","1,030",3,0,0,2019
Oshkosh City,2020,January,202001,"34,337","33,137","1,200",3.5,0,0,2019
Oshkosh City,2019,December,201912,"34,268","33,322",946,2.8,0,0,2019
Oshkosh City,2019,November,201911,"34,409","33,435",974,2.8,0,0,2019
Oshkosh City,2019,October,201910,"34,429","33,466",963,2.8,0,0,2019
Oshkosh City,2019,September,201909,"34,371","33,364","1,007",2.9,0,0,2019
Oshkosh City,2019,August,201908,"34,624","33,384","1,240",3.6,0,0,2019
Oshkosh City,2019,July,201907,"34,982","33,730","1,252",3.6,0,0,2019
Oshkosh City,2019,June,201906,"34,828","33,481","1,347",3.9,0,0,2019
Oshkosh City,2019,May,201905,"34,410","33,340","1,070",3.1,0,0,2019
Oshkosh City,2019,April,201904,"34,348","33,366",982,2.9,0,0,2019
Oshkosh City,2019,March,201903,"34,564","33,491","1,073",3.1,0,0,2019
Oshkosh City,2019,February,201902,"34,649","33,596","1,053",3,0,0,2019
Oshkosh City,2019,January,201901,"34,198","33,174","1,024",3,0,0,2019
Appleton City - Winnebago County,2020,May,202005,855,778,77,9,0,1,2019
Appleton City - Winnebago County,2020,April,202004,827,746,81,9.8,0,0,2019
Appleton City - Winnebago County,2020,March,202003,865,839,26,3,0,0,2019
Appleton City - Winnebago County,2020,February,202002,875,845,30,3.4,0,0,2019
Appleton City - Winnebago County,2020,January,202001,871,841,30,3.4,0,0,2019
Appleton City - Winnebago County,2019,December,201912,873,846,27,3.1,0,0,2019
Appleton City - Winnebago County,2019,November,201911,865,848,17,2,0,0,2019
Appleton City - Winnebago County,2019,October,201910,868,849,19,2.2,0,0,2019
Appleton City - Winnebago County,2019,September,201909,866,847,19,2.2,0,0,2019
Appleton City - Winnebago County,2019,August,201908,876,847,29,3.3,0,0,2019
Appleton City - Winnebago County,2019,July,201907,881,856,25,2.8,0,0,2019
Appleton City - Winnebago County,2019,June,201906,876,850,26,3,0,0,2019
Appleton City - Winnebago County,2019,May,201905,869,846,23,2.6,0,0,2019
Appleton City - Winnebago County,2019,April,201904,869,847,22,2.5,0,0,2019
Appleton City - Winnebago County,2019,March,201903,874,850,24,2.7,0,0,2019
Appleton City - Winnebago County,2019,February,201902,874,852,22,2.5,0,0,2019
Appleton City - Winnebago County,2019,January,201901,870,842,28,3.2,0,0,2019
Eau Claire City -  Total All Counties,2020,May,202005,"39,135","34,807","4,328",11.1,0,1,2019
Eau Claire City -  Total All Counties,2020,April,202004,"38,130","33,526","4,604",12.1,0,0,2019
Eau Claire City -  Total All Counties,2020,March,202003,"39,518","38,476","1,042",2.6,0,0,2019
Eau Claire City -  Total All Counties,2020,February,202002,"39,719","38,464","1,255",3.2,0,0,2019
Eau Claire City -  Total All Counties,2020,January,202001,"39,157","37,733","1,424",3.6,0,0,2019
Eau Claire City -  Total All Counties,2019,December,201912,"39,636","38,541","1,095",2.8,0,0,2019
Eau Claire City -  Total All Counties,2019,November,201911,"39,805","38,800","1,005",2.5,0,0,2019
Eau Claire City -  Total All Counties,2019,October,201910,"39,950","38,934","1,016",2.5,0,0,2019
Eau Claire City -  Total All Counties,2019,September,201909,"39,664","38,630","1,034",2.6,0,0,2019
Eau Claire City -  Total All Counties,2019,August,201908,"39,750","38,421","1,329",3.3,0,0,2019
Eau Claire City -  Total All Counties,2019,July,201907,"39,913","38,526","1,387",3.5,0,0,2019
Eau Claire City -  Total All Counties,2019,June,201906,"39,735","38,277","1,458",3.7,0,0,2019
Eau Claire City -  Total All Counties,2019,May,201905,"39,900","38,764","1,136",2.8,0,0,2019
Eau Claire City -  Total All Counties,2019,April,201904,"39,807","38,734","1,073",2.7,0,0,2019
Eau Claire City -  Total All Counties,2019,March,201903,"39,686","38,474","1,212",3.1,0,0,2019
Eau Claire City -  Total All Counties,2019,February,201902,"39,660","38,463","1,197",3,0,0,2019
Eau Claire City -  Total All Counties,2019,January,201901,"39,038","37,813","1,225",3.1,0,0,2019
Appleton City - Total All Counties,2020,May,202005,"39,508","34,883","4,625",11.7,0,1,2019
Appleton City - Total All Counties,2020,April,202004,"39,193","33,496","5,697",14.5,0,0,2019
Appleton City - Total All Counties,2020,March,202003,"39,004","37,937","1,067",2.7,0,0,2019
Appleton City - Total All Counties,2020,February,202002,"39,301","38,067","1,234",3.1,0,0,2019
Appleton City - Total All Counties,2020,January,202001,"39,526","38,122","1,404",3.6,0,0,2019
Appleton City - Total All Counties,2019,December,201912,"39,336","38,206","1,130",2.9,0,0,2019
Appleton City - Total All Counties,2019,November,201911,"39,464","38,366","1,098",2.8,0,0,2019
Appleton City - Total All Counties,2019,October,201910,"39,450","38,420","1,030",2.6,0,0,2019
Appleton City - Total All Counties,2019,September,201909,"39,480","38,410","1,070",2.7,0,0,2019
Appleton City - Total All Counties,2019,August,201908,"40,013","38,690","1,323",3.3,0,0,2019
Appleton City - Total All Counties,2019,July,201907,"40,464","39,048","1,416",3.5,0,0,2019
Appleton City - Total All Counties,2019,June,201906,"40,448","39,032","1,416",3.5,0,0,2019
Appleton City - Total All Counties,2019,May,201905,"39,499","38,326","1,173",3,0,0,2019
Appleton City - Total All Counties,2019,April,201904,"39,409","38,251","1,158",2.9,0,0,2019
Appleton City - Total All Counties,2019,March,201903,"39,528","38,258","1,270",3.2,0,0,2019
Appleton City - Total All Counties,2019,February,201902,"39,620","38,375","1,245",3.1,0,0,2019
Appleton City - Total All Counties,2019,January,201901,"39,502","38,203","1,299",3.3,0,0,2019
