county,claims,date
Pawnee,18,4/11/20
Edwards,7,4/11/20
Kiowa,7,4/11/20
Comanche,4,4/11/20
Smith,10,4/11/20
Osborne,21,4/11/20
Russell,38,4/11/20
Barton,167,4/11/20
Stafford,15,4/11/20
Pratt,58,4/11/20
Barber,30,4/11/20
Jewell,4,4/11/20
Mitchell,24,4/11/20
Lincoln,5,4/11/20
Ellsworth,18,4/11/20
Rice,48,4/11/20
Reno,508,4/11/20
Kingman,85,4/11/20
Harper,34,4/11/20
Republic,18,4/11/20
Cloud,34,4/11/20
Ottawa,26,4/11/20
Saline,567,4/11/20
McPherson,160,4/11/20
Harvey,482,4/11/20
Sedgwick,9044,4/11/20
Sumner,400,4/11/20
Washington,12,4/11/20
Clay,45,4/11/20
Dickinson,133,4/11/20
Marion,90,4/11/20
Butler,826,4/11/20
Cowley,532,4/11/20
Marshall,33,4/11/20
Riley,589,4/11/20
Geary,269,4/11/20
Morris,27,4/11/20
Chase,24,4/11/20
Nemaha,48,4/11/20
Pottawatomie,162,4/11/20
Wabaunsee,44,4/11/20
Lyon,182,4/11/20
Greenwood,72,4/11/20
Elk,25,4/11/20
Chautauqua,21,4/11/20
Brown,63,4/11/20
Jackson,260,4/11/20
Shawnee,1625,4/11/20
Osage,88,4/11/20
Coffey,41,4/11/20
Woodson,35,4/11/20
Wilson,358,4/11/20
Montgomery,509,4/11/20
Doniphan,29,4/11/20
Atchison,97,4/11/20
Jefferson,156,4/11/20
Douglas,1259,4/11/20
Franklin,275,4/11/20
Anderson,43,4/11/20
Allen,99,4/11/20
Neosho,138,4/11/20
Labette,302,4/11/20
Leavenworth,614,4/11/20
Wyandotte,1425,4/11/20
Johnson,5032,4/11/20
Miami,207,4/11/20
Linn,47,4/11/20
Bourbon,83,4/11/20
Crawford,296,4/11/20
Cherokee,175,4/11/20
Cheyenne,3,4/18/20
Sherman,108,4/18/20
Wallace,5,4/18/20
Greeley,2,4/18/20
Hamilton,7,4/18/20
Stanton,1,4/18/20
Morton,7,4/18/20
Rawlins,7,4/18/20
Thomas,40,4/18/20
Logan,11,4/18/20
Wichita,8,4/18/20
Kearny,33,4/18/20
Grant,19,4/18/20
Stevens,15,4/18/20
Decatur,7,4/18/20
Sheridan,9,4/18/20
Gove,17,4/18/20
Scott,14,4/18/20
Lane,6,4/18/20
Finney,162,4/18/20
Haskell,11,4/18/20
Gray,8,4/18/20
Seward,64,4/18/20
Meade,11,4/18/20
Norton,8,4/18/20
Graham,8,4/18/20
Trego,60,4/18/20
Ness,3,4/18/20
Hodgeman,4,4/18/20
Ford,113,4/18/20
Clark,0,4/18/20
Phillips,41,4/18/20
Rooks,17,4/18/20
Ellis,172,4/18/20
Rush,26,4/18/20
Pawnee,25,4/18/20
Edwards,9,4/18/20
Kiowa,12,4/18/20
Comanche,7,4/18/20
Smith,12,4/18/20
Osborne,7,4/18/20
Russell,51,4/18/20
Barton,156,4/18/20
Stafford,21,4/18/20
Pratt,75,4/18/20
Barber,23,4/18/20
Jewell,7,4/18/20
Mitchell,23,4/18/20
Lincoln,13,4/18/20
Ellsworth,15,4/18/20
Rice,44,4/18/20
Reno,617,4/18/20
Kingman,80,4/18/20
Harper,26,4/18/20
Republic,18,4/18/20
Cloud,44,4/18/20
Ottawa,37,4/18/20
Saline,554,4/18/20
McPherson,172,4/18/20
Harvey,800,4/18/20
Sedgwick,9228,4/18/20
Sumner,580,4/18/20
Washington,18,4/18/20
Clay,42,4/18/20
Dickinson,104,4/18/20
Marion,45,4/18/20
Butler,936,4/18/20
Cowley,430,4/18/20
Marshall,33,4/18/20
Riley,594,4/18/20
Geary,227,4/18/20
Morris,26,4/18/20
Chase,20,4/18/20
Nemaha,43,4/18/20
Pottawatomie,168,4/18/20
Wabaunsee,45,4/18/20
Lyon,198,4/18/20
Greenwood,42,4/18/20
Elk,18,4/18/20
Chautauqua,18,4/18/20
Brown,87,4/18/20
Jackson,193,4/18/20
Shawnee,1731,4/18/20
Osage,135,4/18/20
Coffey,37,4/18/20
Woodson,20,4/18/20
Wilson,105,4/18/20
Montgomery,219,4/18/20
