county,claims,date
Norton,6,6/6/20
Graham,6,6/6/20
Trego,2,6/6/20
Ness,2,6/6/20
Hodgeman,1,6/6/20
Ford,94,6/6/20
Clark,4,6/6/20
Phillips,2,6/6/20
Rooks,8,6/6/20
Ellis,36,6/6/20
Rush,9,6/6/20
Pawnee,6,6/6/20
Edwards,2,6/6/20
Kiowa,3,6/6/20
Comanche,6,6/6/20
Smith,5,6/6/20
Osborne,4,6/6/20
Russell,9,6/6/20
Barton,68,6/6/20
Stafford,6,6/6/20
Pratt,20,6/6/20
Barber,3,6/6/20
Jewell,1,6/6/20
Mitchell,7,6/6/20
Lincoln,6,6/6/20
Ellsworth,10,6/6/20
Rice,24,6/6/20
Reno,159,6/6/20
Kingman,24,6/6/20
Harper,13,6/6/20
Republic,2,6/6/20
Cloud,20,6/6/20
Ottawa,14,6/6/20
Saline,243,6/6/20
McPherson,45,6/6/20
Harvey,75,6/6/20
Sedgwick,2669,6/6/20
Sumner,120,6/6/20
Washington,7,6/6/20
Clay,15,6/6/20
Dickinson,60,6/6/20
Marion,20,6/6/20
Butler,254,6/6/20
Cowley,75,6/6/20
Marshall,9,6/6/20
Riley,202,6/6/20
Geary,95,6/6/20
Morris,5,6/6/20
Chase,5,6/6/20
Nemaha,11,6/6/20
Pottawatomie,60,6/6/20
Wabaunsee,11,6/6/20
Lyon,82,6/6/20
Greenwood,22,6/6/20
Elk,6,6/6/20
Chautauqua,8,6/6/20
Brown,17,6/6/20
Jackson,29,6/6/20
Shawnee,504,6/6/20
Osage,33,6/6/20
Coffey,10,6/6/20
Woodson,7,6/6/20
Wilson,24,6/6/20
Montgomery,125,6/6/20
Doniphan,12,6/6/20
Atchison,48,6/6/20
Jefferson,42,6/6/20
Douglas,394,6/6/20
Franklin,77,6/6/20
Anderson,17,6/6/20
Allen,43,6/6/20
Neosho,33,6/6/20
Labette,72,6/6/20
Leavenworth,155,6/6/20
Wyandotte,562,6/6/20
Johnson,1418,6/6/20
Miami,70,6/6/20
Linn,21,6/6/20
Bourbon,45,6/6/20
Crawford,90,6/6/20
Cherokee,47,6/6/20
