SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 04",1585320,NV,Reno,2020,April,Not Adj,Nevada,"95,255","120,456","25,201",20.90%
"2020, 04",1585321,NV,North Las Vegas,2020,April,Not Adj,Nevada,"70,577","105,134","34,557",32.90%
"2020, 04",1585322,NV,Mesquite,2020,April,Not Adj,Nevada,"4,920","6,804","1,884",27.70%
"2020, 04",1585323,NV,Las Vegas,2020,April,Not Adj,Nevada,"193,727","285,344","91,617",32.10%
"2020, 04",1585324,NV,Henderson,2020,April,Not Adj,Nevada,"100,836","143,118","42,282",29.50%
"2020, 04",1585325,NV,Elko,2020,April,Not Adj,Nevada,"9,046","10,235","1,189",11.60%
"2020, 04",1585326,NV,Boulder City,2020,April,Not Adj,Nevada,"4,663","6,216","1,553",25.00%
"2020, 04",1585327,NV,Fernley City,2020,April,Not Adj,Nevada,"6,671","8,336","1,665",20.00%
"2020, 04",1585334,NV,"Carson City, Nevada",2020,April,Not Adj,Nevada,"18,607","23,589","4,982",21.10%
"2020, 04",1585335,NV,"White Pine County, Nevada",2020,April,Not Adj,Nevada,"4,025","4,359",334,7.70%
"2020, 04",1585336,NV,"Washoe County, Nevada",2020,April,Not Adj,Nevada,"176,614","221,873","45,259",20.40%
"2020, 04",1585337,NV,"Storey County, Nevada",2020,April,Not Adj,Nevada,"1,393","1,803",410,22.70%
"2020, 04",1585338,NV,"Pershing County, Nevada",2020,April,Not Adj,Nevada,"2,183","2,402",219,9.10%
"2020, 04",1585339,NV,"Nye County, Nevada",2020,April,Not Adj,Nevada,"13,870","17,238","3,368",19.50%
"2020, 04",1585340,NV,"Mineral County, Nevada",2020,April,Not Adj,Nevada,"1,755","1,969",214,10.90%
"2020, 04",1585341,NV,"Lyon County, Nevada",2020,April,Not Adj,Nevada,"17,959","22,136","4,177",18.90%
"2020, 04",1585342,NV,"Lincoln County, Nevada",2020,April,Not Adj,Nevada,"1,729","1,899",170,9.00%
"2020, 04",1585343,NV,"Lander County, Nevada",2020,April,Not Adj,Nevada,"2,721","2,954",233,7.90%
"2020, 04",1585344,NV,"Humboldt County, Nevada",2020,April,Not Adj,Nevada,"7,067","7,711",644,8.40%
"2020, 04",1585345,NV,"Eureka County, Nevada",2020,April,Not Adj,Nevada,941,"1,004",63,6.30%
"2020, 04",1585346,NV,"Esmeralda County, Nevada",2020,April,Not Adj,Nevada,370,397,27,6.80%
"2020, 04",1585347,NV,"Elko County, Nevada",2020,April,Not Adj,Nevada,"23,171","26,944","3,773",14.00%
"2020, 04",1585348,NV,"Douglas County, Nevada",2020,April,Not Adj,Nevada,"18,494","22,772","4,278",18.80%
"2020, 04",1585349,NV,"Clark County, Nevada",2020,April,Not Adj,Nevada,"696,527","1,055,879","359,352",34.00%
"2020, 04",1585350,NV,"Churchill County, Nevada",2020,April,Not Adj,Nevada,"9,421","10,621","1,200",11.30%
"2020, 04",1585351,NV,Nevada,2020,April,Not Adj,Nevada,"999,846","1,425,549","428,703",30.00%
"2020, 03",1585277,NV,Nevada,2020,March,Not Adj,Nevada,"1,454,249","1,561,501","107,252",7.00%
"2020, 03",1585279,NV,"Churchill County, Nevada",2020,March,Not Adj,Nevada,"10,783","11,478",695,6.10%
"2020, 03",1585280,NV,"Clark County, Nevada",2020,March,Not Adj,Nevada,"1,061,723","1,143,825","82,102",7.20%
"2020, 03",1585281,NV,"Douglas County, Nevada",2020,March,Not Adj,Nevada,"21,847","23,445","1,598",6.80%
"2020, 03",1585282,NV,"Elko County, Nevada",2020,March,Not Adj,Nevada,"25,942","27,343","1,401",5.10%
"2020, 03",1585283,NV,"Esmeralda County, Nevada",2020,March,Not Adj,Nevada,434,461,27,5.90%
"2020, 03",1585284,NV,"Eureka County, Nevada",2020,March,Not Adj,Nevada,"1,130","1,177",47,4.00%
"2020, 03",1585285,NV,"Humboldt County, Nevada",2020,March,Not Adj,Nevada,"8,062","8,501",439,5.20%
"2020, 03",1585286,NV,"Lander County, Nevada",2020,March,Not Adj,Nevada,"3,092","3,284",192,5.80%
"2020, 03",1585287,NV,"Lincoln County, Nevada",2020,March,Not Adj,Nevada,"2,068","2,203",135,6.10%
"2020, 03",1585288,NV,"Lyon County, Nevada",2020,March,Not Adj,Nevada,"21,967","23,918","1,951",8.20%
"2020, 03",1585289,NV,"Mineral County, Nevada",2020,March,Not Adj,Nevada,"1,969","2,104",135,6.40%
"2020, 03",1585290,NV,"Nye County, Nevada",2020,March,Not Adj,Nevada,"16,509","18,014","1,505",8.40%
